ROI_ID,ROI_Name,pIPS,LO,Abs_Difference,Rel_Difference,Z_Score,Is_Significant,Is_Top_10_Percent
27,ROI_13,1.4073494663083457,0.4769528493648622,0.9303966169434834,0.9303966169434834,0.9083171355162183,False,False
28,ROI_14,0.03867446563959561,0.01950750034817016,0.01916696529142545,0.01916696529142545,-0.6246493306214673,False,False
29,ROI_15,0.7415206913554341,0.08945434093475342,0.6520663504206806,0.6520663504206806,0.4400806549352062,False,False
30,ROI_16,0.4466156556688506,0.0,0.4466156556688506,0.4466156556688506,0.09444986369806514,False,False
31,ROI_1,1.9776521374941638,3.1624033408916263,1.1847512033974625,-1.1847512033974625,1.336219202613519,False,False
32,ROI_2,2.2949430368214894,2.565147761497558,0.2702047246760686,-0.2702047246760686,-0.20232717925896687,False,False
33,ROI_3,5.474205180086026,4.316229519818914,1.1579756602671116,1.1579756602671116,1.2911745646816486,False,False
34,ROI_4,0.5657377895746848,0.5586580659046826,0.007079723670002203,0.007079723670002203,-0.6449837611792877,False,False
35,ROI_5,2.3019012084194257,2.74405955917695,0.4421583507575244,-0.4421583507575244,0.08695131605310451,False,False
36,ROI_6,2.9443981156629673,3.287898549262215,0.34350043359924776,-0.34350043359924776,-0.0790214201813138,False,False
37,ROI_7,2.9498034408892404,1.8685946414059071,1.0812087994833333,1.0812087994833333,1.162029268456008,False,False
38,ROI_8,3.3704582365547737,3.552225460366505,0.18176722381173116,-0.18176722381173116,-0.3511060550651487,False,False
39,ROI_9,2.236881655508658,0.47447026172073226,1.7624113937879256,1.7624113937879256,2.3080199984785565,True,True
40,ROI_10,2.2453151427695026,1.1082255711426605,1.137089571626842,1.137089571626842,1.2560377872114858,False,False
41,ROI_1,1.1042021735509238,1.0106444044113159,0.0935577691396079,0.0935577691396079,-0.4995012875551139,False,False
42,ROI_2,0.7830179193320942,0.14842414774585502,0.6345937715862392,0.6345937715862392,0.41068644307918856,False,False
43,ROI_1,0.10479601281852538,0.49090310225740147,0.38610708943887606,-0.38610708943887606,-0.007344017544114317,False,False
44,ROI_1,0.10825884921683206,0.014181343217690786,0.09407750599914128,0.09407750599914128,-0.49862693148533954,False,False
45,ROI_2,0.04152654435137193,0.0,0.04152654435137193,0.04152654435137193,-0.5870336924190569,False,False
46,ROI_3,0.0,0.0,0.0,0.0,-0.656894017782503,False,False
47,ROI_1,0.0,0.0,0.0,0.0,-0.656894017782503,False,False
48,ROI_2,0.0,0.0,0.0,0.0,-0.656894017782503,False,False
49,ROI_3,0.0,0.0,0.0,0.0,-0.656894017782503,False,False
50,ROI_4,0.027246613935990767,0.017112388514509105,0.010134225421481662,0.010134225421481662,-0.6398451567152126,False,False
51,ROI_1,0.0,0.0,0.0,0.0,-0.656894017782503,False,False
52,ROI_1,0.13365515388186325,0.2856113526522351,0.15195619877037184,-0.15195619877037184,-0.40125730028279705,False,False
53,ROI_2,0.2108411165500405,0.0,0.2108411165500405,0.2108411165500405,-0.3021948914225827,False,False
54,ROI_3,0.4811938527886194,0.3314423879594293,0.1497514648291901,0.1497514648291901,-0.40496633586176406,False,False
55,ROI_1,0.0,0.0,0.0,0.0,-0.656894017782503,False,False
56,ROI_2,0.0,0.0,0.0,0.0,-0.656894017782503,False,False
57,ROI_1,0.0,0.0,0.0,0.0,-0.656894017782503,False,False
58,ROI_2,0.0,0.041394374004673516,0.041394374004673516,-0.041394374004673516,-0.5872560432928889,False,False
59,ROI_3,0.0,0.0,0.0,0.0,-0.656894017782503,False,False
60,ROI_4,0.0,0.0,0.0,0.0,-0.656894017782503,False,False
61,ROI_1,0.01826366330241109,0.03714179730677342,0.018878134004362335,-0.018878134004362335,-0.6251352330244855,False,False
62,ROI_2,1.6236688088412632,1.4339358913474696,0.18973291749379362,0.18973291749379362,-0.33770532642118084,False,False
63,ROI_3,1.1168614426324535,1.5821388000665708,0.46527735743411736,-0.46527735743411736,0.12584454335467046,False,False
64,ROI_1,0.22179338233224277,0.16818903609253893,0.05360434623970384,0.05360434623970384,-0.5667151423741809,False,False
65,ROI_1,0.0,0.0,0.0,0.0,-0.656894017782503,False,False
66,ROI_1,0.0,0.0,0.0,0.0,-0.656894017782503,False,False
67,ROI_2,0.0,0.0,0.0,0.0,-0.656894017782503,False,False
68,ROI_3,0.0,0.0,0.0,0.0,-0.656894017782503,False,False
69,ROI_4,0.44732521296410277,0.7674638830997113,0.3201386701356085,-0.3201386701356085,-0.11832303851064609,False,False
70,ROI_5,0.7835124310011657,1.7662950912282294,0.9827826602270636,-0.9827826602270636,0.9964464534129427,False,False
71,ROI_1,2.606706965354181,0.005421914909550994,2.60128505044463,2.60128505044463,3.7192615912533014,True,True
