subject,index,task,roi,hemisphere,x,y,z
sub-068,0,loc,pIPS,right,16.502661160659045,-64.98687258083373,33.530629344284534
sub-068,1,loc,LO,left,-39.439687305362895,-37.514942462556064,-12.357729576528072
sub-068,1,loc,LO,right,34.53932547895238,-56.60142579022795,-11.462285481393335
sub-068,1,loc,PFS,left,-39.9118609263096,-19.53505756985396,-25.643090210855007
sub-068,1,loc,PFS,right,30.38081260141917,-16.701373335905373,-21.29552499204874
sub-068,1,loc,aIPS,left,-23.548763149650767,-62.08262551296502,32.86292087286711
sub-068,1,loc,aIPS,right,26.58167079696432,-60.7757784826681,34.355292193591595
sub-068,1,loc,pIPS,left,-23.548763149650767,-62.08262551296502,32.86292087286711
sub-068,1,loc,pIPS,right,26.58167079696432,-60.7757784826681,34.355292193591595
sub-068,2,loc,LO,left,-38.48555325041525,-39.66448754630983,-13.04262551665306
sub-068,2,loc,LO,right,34.538722577737644,-55.61637564841658,-11.634552367031574
sub-068,2,loc,PFS,left,-38.44195329560898,-35.552175184711814,-12.74769076704979
sub-068,2,loc,PFS,right,30.3814155026339,-17.686423477716744,-21.123258106410503
sub-068,2,loc,aIPS,left,-24.68634054204449,-61.60657774843276,29.78407453000545
sub-068,2,loc,aIPS,right,35.43047702033073,-55.44781006686389,29.960837230086327
sub-068,2,loc,pIPS,left,-24.68634054204449,-61.60657774843276,29.78407453000545
sub-068,2,loc,pIPS,right,34.432743010576814,-57.41057734470815,30.350798420608044
sub-071,0,loc,LO,left,-53.88575541973114,-40.83095856010914,4.882818818092346
sub-071,0,loc,LO,right,59.471242520958185,-24.986795037984848,10.551774442195892
sub-071,0,loc,PFS,left,-47.10378444567323,-28.69068724662065,-2.902976557612419
sub-071,0,loc,PFS,right,45.584259532392025,-20.044869154691696,0.1244633197784423
sub-071,0,loc,aIPS,left,-23.090841256082054,-36.18252383172512,39.72623938322067
sub-071,0,loc,aIPS,right,37.93357741832733,-46.07548829168081,53.6956651955843
sub-071,0,loc,pIPS,left,-29.85092917084694,-60.41584511101246,29.1883442401886
sub-071,0,loc,pIPS,right,37.76171348243952,-51.42130765318871,33.2654755115509
sub-071,1,loc,LO,left,-41.15354301407933,-56.28244340419769,0.7425065338611603
sub-071,1,loc,LO,right,58.5052971765399,-26.01158534735441,10.681208208203316
sub-071,1,loc,PFS,left,-39.80861176922917,-26.38227865099907,-15.168849289417269
sub-071,1,loc,PFS,right,42.89480559900403,-17.290839217603207,-13.593486025929453
