Region,Strength,Normalized_Strength,Closeness,Betweenness,Eigenvector
L_PGi,45.092999254120514,0.2519161969503939,0.20951866005112865,0.026300922729269975,0.07415281675223882
L_PGs,15.14949824422365,0.08463406840348409,0.1399254173644903,0.0,0.022988842213151273
L_V6A,2.823819641584123,0.01577552872393365,0.04505113657599256,0.0,0.0044247777168175935
L_VMV1,50.67967704357579,0.28312668739427815,0.22075606130989706,0.0012554139727575166,0.08704253129690846
L_VMV3,40.737162954566884,0.22758191594730104,0.19221194313235976,0.0028246814387044125,0.0670159164160168
L_PHA2,53.488611000124365,0.29881905586661656,0.22884166532071157,0.0027619107400665365,0.09110182460545106
L_V4t,2.0728595745558778,0.011580221086904345,0.04695218622134024,0.0,0.0026595305787847673
L_FST,20.802894555032253,0.11621728801693997,0.14550388682734955,0.011549808549369153,0.031710589829995535
L_V3CD,5.676313130737981,0.031711246540435646,0.06627299265533404,0.0,0.008275533465793778
L_LO3,2.8450767224276206,0.015894283365517434,0.04936006110869775,0.0,0.003937144820517561
L_VMV2,40.57161497545894,0.22665706690200527,0.1925013097774865,0.00031385349318937915,0.06807591635212393
L_31pd,50.58295987098245,0.28258636799431536,0.21981513326429042,0.00031385349318937915,0.0877431076316638
L_31a,53.25611456646584,0.2975201931087477,0.2253796747776974,0.000376624191827255,0.09181373049769517
L_VVC,50.579266973305494,0.2825657372810363,0.22124808772214846,0.016320381645847717,0.08450270941631334
L_25,6.138094641821226,0.03429103151855434,0.08603830399723854,6.277069863787583e-05,0.00810541827000956
L_s32,8.35349681606749,0.04666757997803067,0.09440222284075138,0.0001883120959136275,0.011808957349820706
L_pOFC,18.52391267416533,0.10348554566572811,0.12038289439766221,0.013307388111229676,0.028262240453775664
L_PoI1,46.98855884204386,0.2625059153186808,0.2105485745807495,0.0,0.07999180466829824
L_Ig,45.61704285466112,0.25484381483050905,0.20511740364741518,0.0,0.07912227211453028
L_FOP5,41.62620979512576,0.23254865807332828,0.19312057260701787,0.0,0.07255968832170309
L_p10p,39.467139177024364,0.22048681104482884,0.18657354424999212,0.004833343795116439,0.06558792304016599
L_p47r,50.73609174112789,0.28344185330239047,0.22286723476215697,0.002950222835980164,0.08603250310001707
L_TGv,21.60813521791715,0.12071583920624107,0.14010209720115804,0.0,0.03659697384138318
L_MBelt,55.06632102932781,0.307633078376133,0.2341948412437438,0.0005649362877408825,0.09439859752777911
L_LBelt,56.77351469360292,0.3171704731486197,0.23903802602984306,0.0,0.09799992290726128
L_A4,55.83789063932636,0.3119435231247283,0.2390347526384828,0.0009415604795681375,0.09517292513691876
L_STSva,40.00486865275889,0.22349088632826195,0.19309703382041732,0.0001883120959136275,0.06675859093784703
L_TE1m,30.42311872751452,0.16996155713695263,0.16028076841473896,0.0,0.05056474542848421
L_PI,40.504255707608536,0.22628075814306445,0.19309712487504846,0.0006277069863787583,0.06795635330505685
L_a32pr,40.35010762663296,0.22541959567951375,0.1905516482720575,0.00301299353461804,0.06827453398792264
L_p24,26.539381201495416,0.14826469944969506,0.15422741111182178,0.0011926432741196408,0.043147007985865904
