subject,seed_roi,seed_hemi,target_roi,target_hemi,run_combo,value
sub-spaceloc1002,LO,right,pIPS,right,1to2,-0.07250996164284716
sub-spaceloc1002,LO,right,pIPS,right,2to1,0.01574712723840264
sub-spaceloc1002,LO,right,aIPS,left,1to2,-0.03437439117906581
sub-spaceloc1002,LO,right,aIPS,left,2to1,0.014923268339338163
sub-spaceloc1002,LO,right,aIPS,right,1to2,0.008474566887267592
sub-spaceloc1002,LO,right,aIPS,right,2to1,0.04084917600978046
sub-spaceloc1002,LO,right,LO,left,1to2,0.11489043983470353
sub-spaceloc1002,LO,right,LO,left,2to1,0.12687723375071688
sub-spaceloc1003,pIPS,left,pIPS,right,1to2,0.029060302093958816
sub-spaceloc1003,pIPS,left,pIPS,right,2to1,-0.030332470993910926
sub-spaceloc1003,pIPS,left,aIPS,left,1to2,-0.026282303496039546
sub-spaceloc1003,pIPS,left,aIPS,left,2to1,-0.002176015422747559
sub-spaceloc1003,pIPS,left,aIPS,right,1to2,-0.0034960776532500046
sub-spaceloc1003,pIPS,left,aIPS,right,2to1,-0.03306002713004895
sub-spaceloc1003,pIPS,left,LO,left,1to2,-0.05547411133855484
sub-spaceloc1003,pIPS,left,LO,left,2to1,-0.010312173691132624
sub-spaceloc1003,pIPS,left,LO,right,1to2,-0.07074839697815122
sub-spaceloc1003,pIPS,left,LO,right,2to1,-0.021747427050091667
sub-spaceloc1003,pIPS,right,pIPS,left,1to2,0.027535272704221268
sub-spaceloc1003,pIPS,right,pIPS,left,2to1,-0.029142714624853867
sub-spaceloc1003,pIPS,right,aIPS,left,1to2,-0.011379530725139187
sub-spaceloc1003,pIPS,right,aIPS,left,2to1,-0.001141535763858368
sub-spaceloc1003,pIPS,right,aIPS,right,1to2,-0.014170491689514942
sub-spaceloc1003,pIPS,right,aIPS,right,2to1,-0.013694087127965365
sub-spaceloc1003,pIPS,right,LO,left,1to2,0.011305309076048762
sub-spaceloc1003,pIPS,right,LO,left,2to1,-0.0018225517449969805
sub-spaceloc1003,pIPS,right,LO,right,1to2,-0.0038409437951897186
sub-spaceloc1003,pIPS,right,LO,right,2to1,-0.012665452020582932
sub-spaceloc1003,aIPS,left,pIPS,left,1to2,-0.025629457645292075
sub-spaceloc1003,aIPS,left,pIPS,left,2to1,-0.001938938957636048
sub-spaceloc1003,aIPS,left,pIPS,right,1to2,-0.011381803253854848
sub-spaceloc1003,aIPS,left,pIPS,right,2to1,-0.0013124623501661159
sub-spaceloc1003,aIPS,left,aIPS,right,1to2,-0.026093415843741554
sub-spaceloc1003,aIPS,left,aIPS,right,2to1,-0.0035815612892618753
sub-spaceloc1003,aIPS,left,LO,left,1to2,-0.03967907040564655
sub-spaceloc1003,aIPS,left,LO,left,2to1,-0.011830963182464944
sub-spaceloc1003,aIPS,left,LO,right,1to2,-0.04176358619433962
sub-spaceloc1003,aIPS,left,LO,right,2to1,-0.02524563092536017
sub-spaceloc1003,aIPS,right,pIPS,left,1to2,0.005370714277298983
sub-spaceloc1003,aIPS,right,pIPS,left,2to1,-0.03157855761679173
sub-spaceloc1003,aIPS,right,pIPS,right,1to2,-0.010176580100698366
sub-spaceloc1003,aIPS,right,pIPS,right,2to1,-0.013718489846671277
sub-spaceloc1003,aIPS,right,aIPS,left,1to2,-0.025782410945931134
sub-spaceloc1003,aIPS,right,aIPS,left,2to1,-0.003509251115880094
sub-spaceloc1003,aIPS,right,LO,left,1to2,-0.030079652353902076
sub-spaceloc1003,aIPS,right,LO,left,2to1,-0.0021362870818570773
sub-spaceloc1003,aIPS,right,LO,right,1to2,-0.04313284395993267
sub-spaceloc1003,aIPS,right,LO,right,2to1,-0.013349387139971768
sub-spaceloc1003,LO,left,pIPS,left,1to2,-0.05295618301304078
sub-spaceloc1003,LO,left,pIPS,left,2to1,-0.009221095499738919
sub-spaceloc1003,LO,left,pIPS,right,1to2,0.011326388236081742
sub-spaceloc1003,LO,left,pIPS,right,2to1,-0.0025083154593522057
sub-spaceloc1003,LO,left,aIPS,left,1to2,-0.039690457517497495
sub-spaceloc1003,LO,left,aIPS,left,2to1,-0.012004735179126856
sub-spaceloc1003,LO,left,aIPS,right,1to2,-0.02867837121312593
sub-spaceloc1003,LO,left,aIPS,right,2to1,-0.002472973397339122
sub-spaceloc1003,LO,left,LO,right,1to2,0.027078919226610113
sub-spaceloc1003,LO,left,LO,right,2to1,0.016428378281922684
sub-spaceloc1003,LO,right,pIPS,left,1to2,-0.06724163726479016
sub-spaceloc1003,LO,right,pIPS,left,2to1,-0.02040466908333515
sub-spaceloc1003,LO,right,pIPS,right,1to2,-0.003842286298311644
sub-spaceloc1003,LO,right,pIPS,right,2to1,-0.013295921151761156
sub-spaceloc1003,LO,right,aIPS,left,1to2,-0.041781584413769834
sub-spaceloc1003,LO,right,aIPS,left,2to1,-0.025435260431829813
sub-spaceloc1003,LO,right,aIPS,right,1to2,-0.03957925848509637
sub-spaceloc1003,LO,right,aIPS,right,2to1,-0.013667327946438922
sub-spaceloc1003,LO,right,LO,left,1to2,0.02709080978232634
sub-spaceloc1003,LO,right,LO,left,2to1,0.016424639053919263
sub-spaceloc1004,pIPS,left,pIPS,right,1to2,0.003019073242110021
sub-spaceloc1004,pIPS,left,pIPS,right,2to1,-0.011353100173054671
sub-spaceloc1004,pIPS,left,aIPS,left,1to2,0.0027108299479272125
sub-spaceloc1004,pIPS,left,aIPS,left,2to1,-0.04351879806224322
sub-spaceloc1004,pIPS,left,aIPS,right,1to2,-0.003352693828737508
sub-spaceloc1004,pIPS,left,aIPS,right,2to1,-0.023798884595058002
sub-spaceloc1004,pIPS,left,LO,left,1to2,0.041246644718611274
sub-spaceloc1004,pIPS,left,LO,left,2to1,0.0022132486590236687
sub-spaceloc1004,pIPS,left,LO,right,1to2,0.033794418184432046
sub-spaceloc1004,pIPS,left,LO,right,2to1,-0.00378559633661441
sub-spaceloc1004,pIPS,right,pIPS,left,1to2,0.003001961081148731
sub-spaceloc1004,pIPS,right,pIPS,left,2to1,-0.011356856411952054
sub-spaceloc1004,pIPS,right,aIPS,left,1to2,-0.1063269746760638
sub-spaceloc1004,pIPS,right,aIPS,left,2to1,-0.03802354504310495
sub-spaceloc1004,pIPS,right,aIPS,right,1to2,-0.15807922946723654
sub-spaceloc1004,pIPS,right,aIPS,right,2to1,-0.019153878668759405
sub-spaceloc1004,pIPS,right,LO,left,1to2,0.015559040741804243
sub-spaceloc1004,pIPS,right,LO,left,2to1,0.020591339762435077
sub-spaceloc1004,pIPS,right,LO,right,1to2,-0.026167497662191088
sub-spaceloc1004,pIPS,right,LO,right,2to1,0.019356783220819178
sub-spaceloc1004,aIPS,left,pIPS,left,1to2,0.002708926172386635
sub-spaceloc1004,aIPS,left,pIPS,left,2to1,-0.043757982407823234
sub-spaceloc1004,aIPS,left,pIPS,right,1to2,-0.10585354219964727
sub-spaceloc1004,aIPS,left,pIPS,right,2to1,-0.03816930435421333
sub-spaceloc1004,aIPS,left,aIPS,right,1to2,-0.10173927505438918
sub-spaceloc1004,aIPS,left,aIPS,right,2to1,-0.06428980984731934
sub-spaceloc1004,aIPS,left,LO,left,1to2,0.008134666491594007
sub-spaceloc1004,aIPS,left,LO,left,2to1,-0.014096019537987226
sub-spaceloc1004,aIPS,left,LO,right,1to2,-0.016095564481829958
sub-spaceloc1004,aIPS,left,LO,right,2to1,-0.04278849582875994
sub-spaceloc1004,aIPS,right,pIPS,left,1to2,-0.003380115569768863
sub-spaceloc1004,aIPS,right,pIPS,left,2to1,-0.02380899942671483
sub-spaceloc1004,aIPS,right,pIPS,right,1to2,-0.15776423991971797
sub-spaceloc1004,aIPS,right,pIPS,right,2to1,-0.019157320271555547
sub-spaceloc1004,aIPS,right,aIPS,left,1to2,-0.10205969163450887
sub-spaceloc1004,aIPS,right,aIPS,left,2to1,-0.06360065709771628
sub-spaceloc1004,aIPS,right,LO,left,1to2,-0.0006595136136485204
sub-spaceloc1004,aIPS,right,LO,left,2to1,-0.003349865103167327
sub-spaceloc1004,aIPS,right,LO,right,1to2,-0.04109020646848719
sub-spaceloc1004,aIPS,right,LO,right,2to1,-0.012812450855541141
sub-spaceloc1004,LO,left,pIPS,left,1to2,0.04131743934714975
sub-spaceloc1004,LO,left,pIPS,left,2to1,0.002212712652870453
sub-spaceloc1004,LO,left,pIPS,right,1to2,0.015538733035409449
sub-spaceloc1004,LO,left,pIPS,right,2to1,0.020598049283422567
sub-spaceloc1004,LO,left,aIPS,left,1to2,0.008146675400077038
sub-spaceloc1004,LO,left,aIPS,left,2to1,-0.014084141564197022
sub-spaceloc1004,LO,left,aIPS,right,1to2,-0.0006602939819378916
sub-spaceloc1004,LO,left,aIPS,right,2to1,-0.0033451451188580648
sub-spaceloc1004,LO,left,LO,right,1to2,0.1330373480880198
sub-spaceloc1004,LO,left,LO,right,2to1,0.08077582998831476
sub-spaceloc1004,LO,right,pIPS,left,1to2,0.03387414587041236
sub-spaceloc1004,LO,right,pIPS,left,2to1,-0.003799950345116109
sub-spaceloc1004,LO,right,pIPS,right,1to2,-0.02615844261268273
sub-spaceloc1004,LO,right,pIPS,right,2to1,0.019369113649054488
sub-spaceloc1004,LO,right,aIPS,left,1to2,-0.01610867187230621
sub-spaceloc1004,LO,right,aIPS,left,2to1,-0.04283004930494111
sub-spaceloc1004,LO,right,aIPS,right,1to2,-0.041090768306572566
sub-spaceloc1004,LO,right,aIPS,right,2to1,-0.012827699417342292
sub-spaceloc1004,LO,right,LO,left,1to2,0.13309945600543374
sub-spaceloc1004,LO,right,LO,left,2to1,0.08079032642086599
sub-spaceloc1005,pIPS,left,pIPS,right,1to2,-0.0005813841413817329
sub-spaceloc1005,pIPS,left,pIPS,right,2to1,0.027993113388095844
sub-spaceloc1005,pIPS,left,aIPS,left,1to2,0.04430003912633168
sub-spaceloc1005,pIPS,left,aIPS,left,2to1,0.004031855333792361
sub-spaceloc1005,pIPS,left,aIPS,right,1to2,0.0044224443664074
sub-spaceloc1005,pIPS,left,aIPS,right,2to1,0.014053075084619879
sub-spaceloc1005,pIPS,left,LO,left,1to2,0.0008742399199680321
sub-spaceloc1005,pIPS,left,LO,left,2to1,0.024173597586590684
sub-spaceloc1005,pIPS,left,LO,right,1to2,0.01374398606039741
sub-spaceloc1005,pIPS,left,LO,right,2to1,0.03442077013099492
sub-spaceloc1005,pIPS,right,pIPS,left,1to2,-0.0005797671419248645
sub-spaceloc1005,pIPS,right,pIPS,left,2to1,0.028009399570673506
