index,task,roi,hemisphere,x,y,z,subject
0,loc,V1,right,19.24674527655212,-69.8460734724781,14.50623941436406,sub-088
1,loc,V1,left,-8.200930692005088,-73.63896139244508,12.492638433445734,sub-088
1,loc,V1,right,19.403617081551857,-70.23951036225664,14.860711460345996,sub-088
2,loc,V1,left,-8.170108543091288,-74.15000081995034,12.477145327685193,sub-088
2,loc,V1,right,20.39998505750731,-69.79938260730668,13.306182420160283,sub-088
0,loc,V1,left,-10.661103237205893,-74.23538850325784,-9.162972257896925,sub-093
0,loc,V1,right,15.94377685873745,-72.7034098666259,-3.3403482545235903,sub-093
1,loc,V1,left,-10.647641537438076,-77.50659137893945,-5.519307711093575,sub-093
1,loc,V1,right,15.894015582123217,-72.72791776900098,-3.265160107160881,sub-093
2,loc,V1,left,-10.550217498205086,-74.49650811115998,-9.443327842452035,sub-093
2,loc,V1,right,16.10248549401058,-73.16296107192572,-3.6202576897339753,sub-093
0,loc,V1,left,-11.696744012486647,-68.05748706682891,11.074386244129641,sub-094
0,loc,V1,right,22.189104798118606,-70.16593087387857,22.027507217105395,sub-094
1,loc,V1,left,-12.048672021527068,-67.99468359094878,11.047961592230479,sub-094
1,loc,V1,right,21.927322809356298,-69.80901984326579,21.039948238336777,sub-094
2,loc,V1,left,-11.83165150063499,-68.10298162420425,11.667069718214506,sub-094
2,loc,V1,right,22.14595170817354,-69.85592170599067,21.53488478697669,sub-094
0,loc,V1,left,-11.826338109657925,-62.979991177813524,-19.533768212981457,sub-095
0,loc,V1,right,18.812856240808813,-60.41275122428238,-17.6493954889784,sub-095
1,loc,V1,left,-12.111377676899238,-62.74759383808359,-18.54010785812352,sub-095
1,loc,V1,right,20.024609437315988,-62.257926058270115,-14.913376309686797,sub-095
2,loc,V1,left,-11.663044814844653,-62.70666363199349,-19.595645364850384,sub-095
2,loc,V1,right,19.537081951533878,-61.80530951761505,-15.871086223717725,sub-095
0,loc,V1,left,-8.100856768860865,-67.03926721913712,-16.626026261862222,sub-096
0,loc,V1,right,16.994766259101098,-66.03785130769893,-10.614152471379171,sub-096
1,loc,V1,left,-10.298151080444384,-68.05554538237533,-21.402266411571276,sub-096
