subject,analysis_type,roi,hemisphere,status,threshold,n_sig_voxels
sub-107,ppi,LO,left,success,2.0441284377776077,33434
sub-025,ppi,LO,right,success,2.2275146029721564,19655
sub-038,ppi,LO,right,success,2.4965344564551946,9899
sub-057,ppi,LO,right,success,1.7275941186159045,71436
sub-059,ppi,LO,right,success,1.9711506912983985,40753
sub-064,ppi,LO,right,success,2.0247005093918875,35468
sub-067,ppi,LO,right,success,2.1456617309471278,26760
sub-068,ppi,LO,right,success,1.8840011573450288,50413
sub-071,ppi,LO,right,success,2.4193555357699195,11645
sub-083,ppi,LO,right,success,2.3623307195514056,14140
sub-085,ppi,LO,right,success,2.107743111075237,28155
sub-087,ppi,LO,right,success,2.0108673907921975,36532
sub-088,ppi,LO,right,success,2.3453411072602743,15544
sub-093,ppi,LO,right,success,1.6731705535372043,79828
sub-094,ppi,LO,right,success,2.486782847712726,9960
sub-095,ppi,LO,right,success,1.7945138386973416,60579
sub-096,ppi,LO,right,success,2.335595583172657,14753
sub-097,ppi,LO,right,success,2.063620680060512,31997
sub-107,ppi,LO,right,success,1.9869427688808443,38787
