ROI_ID,ROI_Name,pIPS_clean_Connectivity,LO_clean_Connectivity,Difference,Abs_Difference
149,7Networks_RH_SalVentAttn_TempOccPar_2,0.06117383,0.04115666,0.02001717,0.02001717
150,7Networks_RH_SalVentAttn_TempOccPar_3,0.063575536,0.028888144,0.034687392,0.034687392
151,7Networks_RH_SalVentAttn_PrC_1,0.0522584,0.060600147,-0.008341748,0.008341748
152,7Networks_RH_SalVentAttn_FrOperIns_1,0.019178653,0.023787662,-0.0046090093,0.0046090093
153,7Networks_RH_SalVentAttn_FrOperIns_2,0.035614595,0.019204132,0.016410463,0.016410463
154,7Networks_RH_SalVentAttn_FrOperIns_3,0.025014868,0.040587816,-0.015572948,0.015572948
155,7Networks_RH_SalVentAttn_FrOperIns_4,0.04297382,0.016975278,0.025998542,0.025998542
156,7Networks_RH_SalVentAttn_Med_1,0.042610954,0.043168336,-0.00055738166,0.00055738166
157,7Networks_RH_SalVentAttn_Med_2,0.08128692,0.017853996,0.063432924,0.063432924
158,7Networks_RH_SalVentAttn_Med_3,0.057556823,0.046024494,0.011532329,0.011532329
159,7Networks_RH_Limbic_OFC_1,0.012265974,0.017891668,-0.005625694,0.005625694
160,7Networks_RH_Limbic_OFC_2,0.017204978,0.029648202,-0.012443224,0.012443224
161,7Networks_RH_Limbic_OFC_3,0.018286051,0.011864119,0.006421932,0.006421932
162,7Networks_RH_Limbic_TempPole_1,0.011338394,0.020091472,-0.008753078,0.008753078
163,7Networks_RH_Limbic_TempPole_2,0.011936193,0.019585554,-0.00764936,0.00764936
164,7Networks_RH_Limbic_TempPole_3,0.020615932,0.023566484,-0.0029505529,0.0029505529
165,7Networks_RH_Cont_Par_1,0.058859408,0.024724774,0.034134634,0.034134634
166,7Networks_RH_Cont_Par_2,0.056613114,0.05236341,0.004249703,0.004249703
167,7Networks_RH_Cont_Par_3,0.08093865,0.09125437,-0.010315716,0.010315716
168,7Networks_RH_Cont_Temp_1,0.046253256,0.051818177,-0.0055649206,0.0055649206
169,7Networks_RH_Cont_PFCv_1,0.024553511,0.035824258,-0.011270747,0.011270747
170,7Networks_RH_Cont_PFCl_1,0.02073993,0.028006444,-0.007266514,0.007266514
171,7Networks_RH_Cont_PFCl_2,0.025908992,0.028256463,-0.0023474712,0.0023474712
172,7Networks_RH_Cont_PFCl_3,0.028336482,0.027959066,0.0003774166,0.0003774166
173,7Networks_RH_Cont_PFCl_4,0.042183656,0.074814886,-0.03263123,0.03263123
174,7Networks_RH_Cont_PFCl_5,0.02944053,0.032064106,-0.0026235767,0.0026235767
175,7Networks_RH_Cont_PFCl_6,0.031074272,0.03422582,-0.003151549,0.003151549
176,7Networks_RH_Cont_PFCl_7,0.05518122,0.06509644,-0.009915218,0.009915218
177,7Networks_RH_Cont_pCun_1,0.14319132,-0.02169879,0.16489011,0.16489011
178,7Networks_RH_Cont_Cing_1,0.061705556,0.023917608,0.037787948,0.037787948
179,7Networks_RH_Cont_Cing_2,0.028689865,0.031969424,-0.0032795593,0.0032795593
180,7Networks_RH_Cont_PFCmp_1,0.025809957,0.04206954,-0.016259583,0.016259583
181,7Networks_RH_Cont_PFCmp_2,0.045074016,0.046907358,-0.001833342,0.001833342
182,7Networks_RH_Default_Par_1,0.123087406,0.006870507,0.1162169,0.1162169
183,7Networks_RH_Default_Par_2,0.06571576,0.023995137,0.04172062,0.04172062
184,7Networks_RH_Default_Par_3,0.06178959,0.03281403,0.028975561,0.028975561
185,7Networks_RH_Default_Temp_1,0.0108702965,0.02286095,-0.011990653,0.011990653
186,7Networks_RH_Default_Temp_2,0.022796135,0.03503941,-0.012243275,0.012243275
187,7Networks_RH_Default_Temp_3,0.035193313,0.044044785,-0.008851472,0.008851472
188,7Networks_RH_Default_Temp_4,0.04112514,0.06381659,-0.022691451,0.022691451
189,7Networks_RH_Default_Temp_5,0.042540375,0.055509713,-0.012969337,0.012969337
190,7Networks_RH_Default_PFCv_1,0.026621548,0.03353997,-0.006918421,0.006918421
191,7Networks_RH_Default_PFCdPFCm_1,0.026493834,0.013898666,0.012595168,0.012595168
192,7Networks_RH_Default_PFCdPFCm_2,0.027073734,-0.0013078892,0.028381623,0.028381623
193,7Networks_RH_Default_PFCdPFCm_3,0.020744022,0.008373533,0.012370489,0.012370489
194,7Networks_RH_Default_PFCdPFCm_4,0.016303198,0.019052468,-0.0027492698,0.0027492698
195,7Networks_RH_Default_PFCdPFCm_5,0.028792653,0.020235855,0.008556798,0.008556798
196,7Networks_RH_Default_PFCdPFCm_6,0.05122688,0.02437332,0.02685356,0.02685356
197,7Networks_RH_Default_PFCdPFCm_7,0.061325178,0.019755244,0.041569933,0.041569933
198,7Networks_RH_Default_pCunPCC_1,0.12935358,-0.01571742,0.145071,0.145071
199,7Networks_RH_Default_pCunPCC_2,0.0927712,0.004692999,0.0880782,0.0880782
200,7Networks_RH_Default_pCunPCC_3,0.09955293,0.019938717,0.079614215,0.079614215
