ROI_ID,ROI_Name,pIPS_clean_Connectivity,LO_clean_Connectivity,pIPS_pvalue,pIPS_pvalue_corrected,LO_pvalue,LO_pvalue_corrected,pIPS_LOO_Reliability,LO_LOO_Reliability,pIPS_Bootstrap_Significant_FDR,LO_Bootstrap_Significant_FDR,pIPS_LOO_Significant,LO_LOO_Significant,pIPS_Combined_Significant,LO_Combined_Significant,Both_Networks_Significant
74,7Networks_LH_Default_Temp_1,0.014289419380171845,0.021365882152976055,0.0106,0.010816326530612244,0.0,0.0,0.6666666666666666,0.7777777777777778,True,True,False,True,False,True,False
75,7Networks_LH_Default_Temp_2,0.01854671039068813,0.03299634933743315,0.0,0.0,0.0,0.0,0.8888888888888888,0.8888888888888888,True,True,True,True,True,True,True
76,7Networks_LH_Default_Temp_3,0.030093131095377937,0.03358372916570968,0.0,0.0,0.001,0.0015625,1.0,0.8333333333333334,True,True,True,True,True,True,True
77,7Networks_LH_Default_Temp_4,0.042640329288486906,0.046800882076948054,0.0,0.0,0.0,0.0,0.8888888888888888,0.8888888888888888,True,True,True,True,True,True,True
78,7Networks_LH_Default_Temp_5,0.04481721299493478,0.05975192443778118,0.0,0.0,0.0,0.0,0.9444444444444444,0.8333333333333334,True,True,True,True,True,True,True
79,7Networks_LH_Default_Par_1,0.09079295854705076,0.035795674866272345,0.0,0.0,0.0052,0.007323943661971831,1.0,0.7222222222222222,True,True,True,False,True,False,False
80,7Networks_LH_Default_Par_2,0.12177618510193294,0.006056070211343467,0.0,0.0,0.5622,0.5886910994764398,1.0,0.5555555555555556,True,False,True,False,True,False,False
81,7Networks_LH_Default_Par_3,0.051815043138857514,0.01085033148734106,0.0,0.0,0.1278,0.14689655172413793,0.8333333333333334,0.7222222222222222,True,False,True,False,True,False,False
82,7Networks_LH_Default_Par_4,0.07170719490386546,0.0027458864755721558,0.0,0.0,0.7882,0.7921608040201005,0.9444444444444444,0.3888888888888889,True,False,True,False,True,False,False
83,7Networks_LH_Default_PFC_1,0.019056492135860026,0.02814404875971377,0.0,0.0,0.0,0.0,0.8888888888888888,0.8333333333333334,True,True,True,True,True,True,True
84,7Networks_LH_Default_PFC_2,0.032051623520803534,0.007422151742503047,0.0,0.0,0.3834,0.4144864864864865,0.8888888888888888,0.6666666666666666,True,False,True,False,True,False,False
85,7Networks_LH_Default_PFC_3,0.019560938591085788,0.022140941944801144,0.0,0.0,0.0,0.0,0.7777777777777778,0.8888888888888888,True,True,True,True,True,True,True
86,7Networks_LH_Default_PFC_4,0.02666933477545778,0.009505108050588105,0.0,0.0,0.0024,0.003555555555555555,0.9444444444444444,0.7777777777777778,True,True,True,True,True,True,True
87,7Networks_LH_Default_PFC_5,0.03411298105493188,0.02394864436549445,0.0,0.0,0.0,0.0,0.8888888888888888,0.8888888888888888,True,True,True,True,True,True,True
88,7Networks_LH_Default_PFC_6,0.027932764194297813,0.0020828808062813347,0.0054,0.005625000000000001,0.7224,0.7371428571428572,0.6666666666666666,0.4444444444444444,True,False,False,False,False,False,False
89,7Networks_LH_Default_PFC_7,0.016522970606779888,0.018339091187549963,0.0038,0.004,0.0224,0.02890322580645161,0.6666666666666666,0.6666666666666666,True,True,False,False,False,False,False
90,7Networks_LH_Default_PFC_8,0.025790943841760356,0.0312663774109549,0.0,0.0,0.0,0.0,0.7777777777777778,0.8333333333333334,True,True,True,True,True,True,True
91,7Networks_LH_Default_PFC_9,0.027962644325776234,0.02235275341404809,0.0,0.0,0.0048,0.006808510638297872,0.7222222222222222,0.7222222222222222,True,True,False,False,False,False,False
92,7Networks_LH_Default_PFC_10,0.04089374798867437,0.05482029195667969,0.0,0.0,0.0,0.0,0.8333333333333334,0.8888888888888888,True,True,True,True,True,True,True
93,7Networks_LH_Default_PFC_11,0.053264145377195544,0.03939488687966433,0.0,0.0,0.0,0.0,1.0,0.9444444444444444,True,True,True,True,True,True,True
94,7Networks_LH_Default_PFC_12,0.06361787147923476,0.011815234320238233,0.0,0.0,0.1778,0.20204545454545456,1.0,0.5,True,False,True,False,True,False,False
95,7Networks_LH_Default_PFC_13,0.048845620179134935,0.03537754398874111,0.0,0.0,0.0,0.0,1.0,1.0,True,True,True,True,True,True,True
96,7Networks_LH_Default_pCunPCC_1,0.11912679299712181,-0.014680928809361326,0.0,0.0,0.2762,0.3068888888888889,1.0,0.7222222222222222,True,False,True,False,True,False,False
97,7Networks_LH_Default_pCunPCC_2,0.09949168562889099,-0.015239825789144056,0.0,0.0,0.1224,0.1415028901734104,1.0,0.7222222222222222,True,False,True,False,True,False,False
98,7Networks_LH_Default_pCunPCC_3,0.06457357149985102,0.021188817840690415,0.0,0.0,0.036,0.04390243902439024,1.0,0.6666666666666666,True,True,True,False,True,False,False
99,7Networks_LH_Default_pCunPCC_4,0.09037267044186592,0.00448892524258958,0.0,0.0,0.7632,0.7709090909090909,1.0,0.4444444444444444,True,False,True,False,True,False,False
100,7Networks_LH_Default_PHC_1,0.05684848274621698,0.041159294442170195,0.0,0.0,0.0,0.0,1.0,0.8888888888888888,True,True,True,True,True,True,True
101,7Networks_RH_Vis_1,0.032476660847249955,0.09431718786557515,0.0,0.0,0.0,0.0,1.0,1.0,True,True,True,True,True,True,True
102,7Networks_RH_Vis_2,0.06753594759437773,0.06079976193399893,0.0,0.0,0.0,0.0,1.0,0.9444444444444444,True,True,True,True,True,True,True
103,7Networks_RH_Vis_3,0.07595301895505852,0.12434075524409612,0.0,0.0,0.0,0.0,1.0,1.0,True,True,True,True,True,True,True
104,7Networks_RH_Vis_4,0.11293891755243142,-0.018844917623533144,0.0,0.0,0.3648,0.39652173913043476,1.0,0.7222222222222222,True,False,True,False,True,False,False
105,7Networks_RH_Vis_5,0.028466563827047747,0.07271287238432302,0.0,0.0,0.0,0.0,0.8333333333333334,0.8888888888888888,True,True,True,True,True,True,True
106,7Networks_RH_Vis_6,0.04413518594163987,0.05208834069263604,0.0,0.0,0.0002,0.0003448275862068966,0.8333333333333334,0.8333333333333334,True,True,True,True,True,True,True
107,7Networks_RH_Vis_7,0.08270859604494439,0.006813282949022121,0.0,0.0,0.7556,0.7671065989847716,1.0,0.3333333333333333,True,False,True,False,True,False,False
108,7Networks_RH_Vis_8,0.0039375277507739765,0.12706078868359327,0.4324,0.4324,0.0,0.0,0.5555555555555556,1.0,False,True,False,True,False,True,False
