ROI_ID,ROI_Name,pIPS_clean_Connectivity,LO_clean_Connectivity,Dorsal_Significant,Ventral_Significant,Significant_Both,Significant_Dorsal_Only,Significant_Ventral_Only,Significant_Neither
43,7Networks_LH_DorsAttn_PrCv_1,0.0,0.05758671462535858,False,True,False,False,True,False
44,7Networks_LH_SalVentAttn_ParOper_1,0.05653120577335358,0.03445141017436981,True,True,True,False,False,False
45,7Networks_LH_SalVentAttn_ParOper_2,0.06092528626322746,0.0,True,False,False,True,False,False
46,7Networks_LH_SalVentAttn_ParOper_3,0.050159987062215805,0.0,True,False,False,True,False,False
47,7Networks_LH_SalVentAttn_FrOperIns_1,0.0,0.0,False,False,False,False,False,True
48,7Networks_LH_SalVentAttn_FrOperIns_2,0.0,0.0,False,False,False,False,False,True
49,7Networks_LH_SalVentAttn_FrOperIns_3,0.0,0.0,False,False,False,False,False,True
50,7Networks_LH_SalVentAttn_FrOperIns_4,0.044887762516736984,0.02537011168897152,True,True,True,False,False,False
51,7Networks_LH_SalVentAttn_PFCl_1,0.0,0.0,False,False,False,False,False,True
52,7Networks_LH_SalVentAttn_Med_1,0.0,0.05141977593302727,False,True,False,False,True,False
53,7Networks_LH_SalVentAttn_Med_2,0.07430315762758255,0.0,True,False,False,True,False,False
54,7Networks_LH_SalVentAttn_Med_3,0.0592968724668026,0.04968304932117462,True,True,True,False,False,False
55,7Networks_LH_Limbic_OFC_1,0.0,0.0,False,False,False,False,False,True
56,7Networks_LH_Limbic_OFC_2,0.0,0.0,False,False,False,False,False,True
57,7Networks_LH_Limbic_TempPole_1,0.0,0.0,False,False,False,False,False,True
58,7Networks_LH_Limbic_TempPole_2,0.0,0.025507815182209015,False,True,False,False,True,False
59,7Networks_LH_Limbic_TempPole_3,0.0,0.0,False,False,False,False,False,True
60,7Networks_LH_Limbic_TempPole_4,0.0,0.0,False,False,False,False,False,True
61,7Networks_LH_Cont_Par_1,0.04878445714712143,0.030659563839435577,True,True,True,False,False,False
62,7Networks_LH_Cont_Par_2,0.07058296352624893,0.06758251786231995,True,True,True,False,False,False
63,7Networks_LH_Cont_Par_3,0.06580021977424622,0.07509524375200272,True,True,True,False,False,False
64,7Networks_LH_Cont_Temp_1,0.04280255362391472,0.04064051806926727,True,True,True,False,False,False
65,7Networks_LH_Cont_OFC_1,0.0,0.0,False,False,False,False,False,True
66,7Networks_LH_Cont_PFCl_1,0.0,0.0,False,False,False,False,False,True
67,7Networks_LH_Cont_PFCl_2,0.0,0.0,False,False,False,False,False,True
68,7Networks_LH_Cont_PFCl_3,0.03827038034796715,0.02674178034067154,True,True,True,False,False,False
69,7Networks_LH_Cont_PFCl_4,0.045961644500494,0.06429460644721985,True,True,True,False,False,False
70,7Networks_LH_Cont_PFCl_5,0.054590798914432526,0.08270948380231857,True,True,True,False,False,False
71,7Networks_LH_Cont_pCun_1,0.1426285207271576,-0.0,True,False,False,True,False,False
72,7Networks_LH_Cont_Cing_1,0.06899958103895187,0.0,True,False,False,True,False,False
73,7Networks_LH_Cont_Cing_2,0.0,0.0,False,False,False,False,False,True
74,7Networks_LH_Default_Temp_1,0.0,0.0,False,False,False,False,False,True
75,7Networks_LH_Default_Temp_2,0.0,0.0,False,False,False,False,False,True
76,7Networks_LH_Default_Temp_3,0.0,0.0,False,False,False,False,False,True
77,7Networks_LH_Default_Temp_4,0.0426403284072876,0.0468008853495121,True,True,True,False,False,False
78,7Networks_LH_Default_Temp_5,0.04481721296906471,0.059751927852630615,True,True,True,False,False,False
79,7Networks_LH_Default_Par_1,0.0907929539680481,0.035795677453279495,True,True,True,False,False,False
80,7Networks_LH_Default_Par_2,0.12177617102861404,0.0,True,False,False,True,False,False
81,7Networks_LH_Default_Par_3,0.05181504040956497,0.0,True,False,False,True,False,False
82,7Networks_LH_Default_Par_4,0.07170719653367996,0.0,True,False,False,True,False,False
83,7Networks_LH_Default_PFC_1,0.0,0.0,False,False,False,False,False,True
84,7Networks_LH_Default_PFC_2,0.0,0.0,False,False,False,False,False,True
85,7Networks_LH_Default_PFC_3,0.0,0.0,False,False,False,False,False,True
86,7Networks_LH_Default_PFC_4,0.0,0.0,False,False,False,False,False,True
87,7Networks_LH_Default_PFC_5,0.0,0.0,False,False,False,False,False,True
88,7Networks_LH_Default_PFC_6,0.0,0.0,False,False,False,False,False,True
89,7Networks_LH_Default_PFC_7,0.0,0.0,False,False,False,False,False,True
90,7Networks_LH_Default_PFC_8,0.0,0.03126637637615204,False,True,False,False,True,False
91,7Networks_LH_Default_PFC_9,0.0,0.0,False,False,False,False,False,True
92,7Networks_LH_Default_PFC_10,0.0,0.05482029169797897,False,True,False,False,True,False
93,7Networks_LH_Default_PFC_11,0.05326414480805397,0.03939488157629967,True,True,True,False,False,False
94,7Networks_LH_Default_PFC_12,0.06361787766218185,0.0,True,False,False,True,False,False
95,7Networks_LH_Default_PFC_13,0.048845626413822174,0.035377539694309235,True,True,True,False,False,False
96,7Networks_LH_Default_pCunPCC_1,0.11912679672241211,-0.0,True,False,False,True,False,False
97,7Networks_LH_Default_pCunPCC_2,0.09949168562889099,-0.0,True,False,False,True,False,False
98,7Networks_LH_Default_pCunPCC_3,0.06457356363534927,0.0,True,False,False,True,False,False
99,7Networks_LH_Default_pCunPCC_4,0.09037267416715622,0.0,True,False,False,True,False,False
100,7Networks_LH_Default_PHC_1,0.05684848502278328,0.04115929827094078,True,True,True,False,False,False
101,7Networks_RH_Vis_1,0.03247665613889694,0.09431718289852142,True,True,True,False,False,False
102,7Networks_RH_Vis_2,0.06753594428300858,0.06079976260662079,True,True,True,False,False,False
103,7Networks_RH_Vis_3,0.07595301419496536,0.12434075772762299,True,True,True,False,False,False
104,7Networks_RH_Vis_4,0.11293891817331314,-0.0,True,False,False,True,False,False
105,7Networks_RH_Vis_5,0.028466561809182167,0.07271287590265274,True,True,True,False,False,False
106,7Networks_RH_Vis_6,0.04413518309593201,0.05208834260702133,True,True,True,False,False,False
107,7Networks_RH_Vis_7,0.08270859718322754,0.0,True,False,False,True,False,False
108,7Networks_RH_Vis_8,0.0,0.12706078588962555,False,True,False,False,True,False
109,7Networks_RH_Vis_9,0.14637045562267303,-0.0,True,False,False,True,False,False
110,7Networks_RH_Vis_10,0.09764742851257324,0.0,True,False,False,True,False,False
111,7Networks_RH_Vis_11,0.08900219202041626,0.12457231432199478,True,True,True,False,False,False
112,7Networks_RH_Vis_12,0.12024860829114914,-0.03885601833462715,True,False,False,True,False,False
113,7Networks_RH_Vis_13,0.1502409279346466,-0.0,True,False,False,True,False,False
114,7Networks_RH_Vis_14,0.13033372163772583,-0.0,True,False,False,True,False,False
115,7Networks_RH_Vis_15,0.12859249114990234,0.04323336482048035,True,True,True,False,False,False
116,7Networks_RH_SomMot_1,0.0,0.0,False,False,False,False,False,True
