ROI_ID,ROI_Name,pIPS_clean_Connectivity,LO_clean_Connectivity,pIPS_CI_Lower,pIPS_CI_Upper,LO_CI_Lower,LO_CI_Upper,pIPS_LOO_Reliability,LO_LOO_Reliability,pIPS_Bootstrap_Significant,LO_Bootstrap_Significant,pIPS_LOO_Significant,LO_LOO_Significant,pIPS_Combined_Significant,LO_Combined_Significant,Both_Networks_Significant
47,7Networks_LH_SalVentAttn_FrOperIns_1,0.033476694124854274,0.015203750883099727,0.02118097094450301,0.04927690386862701,-0.0006520377357244593,0.0345060260799073,1.0,0.6666666666666666,True,False,True,False,True,False,False
48,7Networks_LH_SalVentAttn_FrOperIns_2,0.02652884432528582,0.032961440531329975,0.004909100601475479,0.05923252368746841,0.02239899519417021,0.04294176730844709,0.7222222222222222,0.8888888888888888,True,True,False,True,False,True,False
49,7Networks_LH_SalVentAttn_FrOperIns_3,0.04094430820421419,0.01396061710288955,0.017479933448582112,0.07654834948431623,0.004731420206371695,0.024533979267451073,0.8333333333333334,0.7777777777777778,True,True,True,True,True,True,True
50,7Networks_LH_SalVentAttn_FrOperIns_4,0.044887767690751285,0.02537011043427305,0.026291129057709542,0.07231327924851534,0.01161452962389578,0.04094483546860929,1.0,0.8888888888888888,True,True,True,True,True,True,True
51,7Networks_LH_SalVentAttn_PFCl_1,0.038352360379778676,0.023939230595715344,0.027252809603750292,0.0495078247001705,0.0033220909002314634,0.04991538805123936,0.9444444444444444,0.7222222222222222,True,True,True,False,True,False,False
52,7Networks_LH_SalVentAttn_Med_1,0.03965662202487389,0.051419776346948415,0.031346159679297776,0.048478722326560975,0.02996121453017824,0.07903877731102207,0.9444444444444444,0.9444444444444444,True,True,True,True,True,True,True
53,7Networks_LH_SalVentAttn_Med_2,0.07430315959370798,0.021573159403892025,0.05799751493614167,0.09279356809436447,-0.009697393545260032,0.06261136780441216,1.0,0.5,True,False,True,False,True,False,False
54,7Networks_LH_SalVentAttn_Med_3,0.05929687241506246,0.049683046992868185,0.04155826724600047,0.0814129259566673,0.03480375442110623,0.06486698862087602,1.0,0.9444444444444444,True,True,True,True,True,True,True
55,7Networks_LH_Limbic_OFC_1,0.020696269943275385,0.023218420806289133,0.014400128035211108,0.02739542679110956,0.007525061691962442,0.04673782493466408,0.8888888888888888,0.7777777777777778,True,True,True,True,True,True,True
56,7Networks_LH_Limbic_OFC_2,0.013707723183971312,0.017990753083722666,0.00726504066777933,0.01953363187041961,0.00729953960188949,0.03132088502372628,0.8888888888888888,0.8333333333333334,True,True,True,True,True,True,True
57,7Networks_LH_Limbic_TempPole_1,0.016203909504434302,0.018796510037241712,0.00588022055130245,0.03127709985484317,0.01258054719073698,0.02480873540884608,0.8333333333333334,0.9444444444444444,True,True,True,True,True,True,True
58,7Networks_LH_Limbic_TempPole_2,0.014274305896833539,0.025507814354366727,0.007639922983232989,0.021415130681190116,0.0206262294203043,0.030336750037450753,0.8333333333333334,1.0,True,True,True,True,True,True,True
59,7Networks_LH_Limbic_TempPole_3,0.011384570337314572,0.018032293818477128,0.0021131099470140828,0.02399972979296257,0.011685814136742717,0.02573343373757476,0.7222222222222222,0.9444444444444444,True,True,False,True,False,True,False
60,7Networks_LH_Limbic_TempPole_4,0.008408498885627422,0.019136751264644165,-0.000331004918876311,0.017079064666177143,0.0048381698437474875,0.04166622649645433,0.6111111111111112,0.7222222222222222,False,True,False,False,False,False,False
61,7Networks_LH_Cont_Par_1,0.04878445794909365,0.03065956114894814,0.031159435072913768,0.0679960443424837,0.0010008143416295452,0.06048972434881659,0.8333333333333334,0.7222222222222222,True,True,True,False,True,False,False
62,7Networks_LH_Cont_Par_2,0.07058296130142278,0.06758251937571913,0.04778098769796391,0.095018420915585,0.0363463421536532,0.10325224327906551,0.8888888888888888,0.8888888888888888,True,True,True,True,True,True,True
