ROI_ID,ROI_Name,pIPS_clean_Connectivity,LO_clean_Connectivity,pIPS_CI_Lower,pIPS_CI_Upper,LO_CI_Lower,LO_CI_Upper,Dorsal_Significant,Ventral_Significant,Significant_Both,Significant_Dorsal_Only,Significant_Ventral_Only,Significant_Neither
37,7Networks_LH_DorsAttn_Post_7,0.07940278160903189,0.025996421903578773,0.054863098558659354,0.10784726902428599,0.01283494453657315,0.039555230699867626,True,True,True,False,False,False
38,7Networks_LH_DorsAttn_Post_8,0.10316530402956738,0.09432495907983846,0.08050736698270258,0.1270948452875018,0.06995979530555714,0.11864870879281726,True,True,True,False,False,False
39,7Networks_LH_DorsAttn_Post_9,0.12190547792447938,0.007656920701265335,0.09727827372132904,0.14941108926820257,-0.02309010593453422,0.04112780079400786,True,False,False,True,False,False
40,7Networks_LH_DorsAttn_Post_10,0.11161176860332489,0.024194130208343267,0.09365888851591282,0.13134563733927077,0.005033569015924715,0.044726151128351266,True,True,True,False,False,False
41,7Networks_LH_DorsAttn_FEF_1,0.0681804624489612,0.05834226879394717,0.0543323224901946,0.08256715241716141,0.03281454043204172,0.08712872992942315,True,True,True,False,False,False
42,7Networks_LH_DorsAttn_FEF_2,0.07727910283332069,0.02138191321864724,0.05758723514542605,0.1006324015596571,0.00418822181204127,0.03889952262268505,True,True,True,False,False,False
43,7Networks_LH_DorsAttn_PrCv_1,0.045088870437919266,0.057586715194500156,0.032197174172486284,0.05835003439925559,0.03910863837485926,0.07859509092522785,True,True,True,False,False,False
44,7Networks_LH_SalVentAttn_ParOper_1,0.056531209809084736,0.0344514099156691,0.03481513354021849,0.08579322556033729,0.01796384903654042,0.0516029578840567,True,True,True,False,False,False
45,7Networks_LH_SalVentAttn_ParOper_2,0.06092529014373819,0.015347875370126631,0.040104288468137385,0.08524334959737542,-0.0022362603288557793,0.03862595518843994,True,False,False,True,False,False
46,7Networks_LH_SalVentAttn_ParOper_3,0.050159986454269126,0.0244900520839211,0.031214593317902956,0.07120119002130296,0.003909656681611927,0.044678040183175144,True,True,True,False,False,False
47,7Networks_LH_SalVentAttn_FrOperIns_1,0.033476694124854274,0.015203750883099727,0.021087777991649796,0.04896585686074103,-0.0005308195374608555,0.03478076409737694,True,False,False,True,False,False
48,7Networks_LH_SalVentAttn_FrOperIns_2,0.02652884432528582,0.032961440531329975,0.005278117231015737,0.059707523322948736,0.022099432535469532,0.04279838017989985,True,True,True,False,False,False
49,7Networks_LH_SalVentAttn_FrOperIns_3,0.04094430820421419,0.01396061710288955,0.01744741749716923,0.07653594682196849,0.00467652834744917,0.024504744364983504,True,True,True,False,False,False
50,7Networks_LH_SalVentAttn_FrOperIns_4,0.044887767690751285,0.02537011043427305,0.026338319622704554,0.07228065680764201,0.011625453620217741,0.04050872072499866,True,True,True,False,False,False
51,7Networks_LH_SalVentAttn_PFCl_1,0.038352360379778676,0.023939230595715344,0.02714632293338784,0.04933135039302417,0.004014350315103205,0.0498988309454742,True,True,True,False,False,False
52,7Networks_LH_SalVentAttn_Med_1,0.03965662202487389,0.051419776346948415,0.03132301760682215,0.04856357910515119,0.030084902462032107,0.07905023059704235,True,True,True,False,False,False
53,7Networks_LH_SalVentAttn_Med_2,0.07430315959370798,0.021573159403892025,0.05810100859186302,0.09297100722324103,-0.009798561523590857,0.06201775772949783,True,False,False,True,False,False
54,7Networks_LH_SalVentAttn_Med_3,0.05929687241506246,0.049683046992868185,0.041768537702349326,0.08172006866015079,0.03480098086616232,0.06494602349897226,True,True,True,False,False,False
55,7Networks_LH_Limbic_OFC_1,0.020696269943275385,0.023218420806289133,0.0144276650958798,0.027538585309068563,0.00762269318737607,0.04690283808094035,True,True,True,False,False,False
56,7Networks_LH_Limbic_OFC_2,0.013707723183971312,0.017990753083722666,0.00726184029546049,0.019498921216775975,0.007256997784134001,0.03099417047269526,True,True,True,False,False,False
57,7Networks_LH_Limbic_TempPole_1,0.016203909504434302,0.018796510037241712,0.0058703170073891265,0.03150390950322616,0.012607356589028819,0.024871578621807406,True,True,True,False,False,False
58,7Networks_LH_Limbic_TempPole_2,0.014274305896833539,0.025507814354366727,0.007567887786232556,0.02160801368978961,0.020706417543503143,0.030219021690492,True,True,True,False,False,False
59,7Networks_LH_Limbic_TempPole_3,0.011384570337314572,0.018032293818477128,0.002177829099431013,0.02441400030543768,0.011594798263265855,0.025790183971791218,True,True,True,False,False,False
60,7Networks_LH_Limbic_TempPole_4,0.008408498885627422,0.019136751264644165,-0.0004758959387092747,0.017183926834453207,0.004799893168900679,0.0416721938300826,False,True,False,False,True,False
61,7Networks_LH_Cont_Par_1,0.04878445794909365,0.03065956114894814,0.03098306921375398,0.06822248689907913,0.0013548225837035311,0.06059215393486536,True,True,True,False,False,False
62,7Networks_LH_Cont_Par_2,0.07058296130142278,0.06758251937571913,0.047763244151913874,0.09507808051485982,0.036255997794149966,0.10313754004633259,True,True,True,False,False,False
63,7Networks_LH_Cont_Par_3,0.06580022034338778,0.07509524305351079,0.042702305923578224,0.09062986230451817,0.042239536203366394,0.11363883764327813,True,True,True,False,False,False
64,7Networks_LH_Cont_Temp_1,0.042802550131455064,0.04064052370894286,0.031201163482748803,0.0543049064225569,0.023021899334465464,0.059890938244966975,True,True,True,False,False,False
65,7Networks_LH_Cont_OFC_1,0.029651063804825146,0.01912385828068687,0.016209646934617516,0.046421401727841136,0.005825582933741518,0.03473292959841071,True,True,True,False,False,False
66,7Networks_LH_Cont_PFCl_1,0.022080299522106845,0.013051895567009019,0.011704023628004101,0.03554855051139991,0.00648057545929785,0.0198430610257977,True,True,True,False,False,False
67,7Networks_LH_Cont_PFCl_2,0.03400553294664456,0.026973090134561062,0.013156329650923403,0.05964726552095574,0.017280811718147663,0.036600765878231155,True,True,True,False,False,False
68,7Networks_LH_Cont_PFCl_3,0.03827037432024048,0.026741780327736504,0.021925304802263984,0.057925014825822366,0.014507209763461206,0.03870561938383616,True,True,True,False,False,False
69,7Networks_LH_Cont_PFCl_4,0.04596164613030851,0.0642946008592844,0.03136618293420825,0.06230816595359808,0.0428431417987061,0.08563318674763043,True,True,True,False,False,False
70,7Networks_LH_Cont_PFCl_5,0.05459080124273896,0.08270949301206404,0.040614281858628,0.07021946579916402,0.056878304499615395,0.11265928123353255,True,True,True,False,False,False
71,7Networks_LH_Cont_pCun_1,0.1426285362492005,-0.028107300374863878,0.10859030579320259,0.18346769913720587,-0.053506736520082795,-0.0014081336001658866,True,True,True,False,False,False
72,7Networks_LH_Cont_Cing_1,0.06899957586493757,0.012820857072559496,0.04637810468621966,0.10213608995545653,-0.0003346130656104326,0.026623270879564287,True,False,False,True,False,False
73,7Networks_LH_Cont_Cing_2,0.03108267191176613,0.03194737515877932,0.022233873570803555,0.04068990175146609,0.020224955990690633,0.04561893701191163,True,True,True,False,False,False
74,7Networks_LH_Default_Temp_1,0.014289419380171845,0.021365882152976055,0.0017815211199275736,0.03099598317736913,0.010516698894045677,0.034228231236354774,True,True,True,False,False,False
75,7Networks_LH_Default_Temp_2,0.01854671039068813,0.03299634933743315,0.011823902850301238,0.02531703824655172,0.018572622505032794,0.05246387943665871,True,True,True,False,False,False
76,7Networks_LH_Default_Temp_3,0.030093131095377937,0.03358372916570968,0.01962611093573893,0.042544618102126855,0.011387201002798974,0.06299151132504144,True,True,True,False,False,False
77,7Networks_LH_Default_Temp_4,0.042640329288486906,0.046800882076948054,0.027980584750103947,0.05816808926695861,0.023640606771934674,0.07662351499020585,True,True,True,False,False,False
78,7Networks_LH_Default_Temp_5,0.04481721299493478,0.05975192443778118,0.02847209346687628,0.06318949995329604,0.03811630985777204,0.08225188408913608,True,True,True,False,False,False
79,7Networks_LH_Default_Par_1,0.09079295854705076,0.035795674866272345,0.06795633821166121,0.11710086182898116,0.01080639536699487,0.06104321726597844,True,True,True,False,False,False
80,7Networks_LH_Default_Par_2,0.12177618510193294,0.006056070211343467,0.09464222453534603,0.1511494457980411,-0.014180547686798188,0.026953400622328948,True,False,False,True,False,False
81,7Networks_LH_Default_Par_3,0.051815043138857514,0.01085033148734106,0.026701999282360906,0.08230472436989655,-0.0030362256763813386,0.026095407740730377,True,False,False,True,False,False
82,7Networks_LH_Default_Par_4,0.07170719490386546,0.0027458864755721558,0.05052926884317357,0.09582680797967542,-0.01452730964099626,0.021231105936264306,True,False,False,True,False,False
