ROI_ID,ROI_Name,pIPS_clean_Connectivity,LO_clean_Connectivity,pIPS_CI_Lower,pIPS_CI_Upper,LO_CI_Lower,LO_CI_Upper,Dorsal_Significant,Ventral_Significant,Significant_Both,Significant_Dorsal_Only,Significant_Ventral_Only,Significant_Neither
41,7Networks_LH_DorsAttn_FEF_1,0.0681804624489612,0.05834226879394717,0.05412052724924353,0.08274768397160288,0.03321910826489329,0.08788337454251531,True,True,True,False,False,False
42,7Networks_LH_DorsAttn_FEF_2,0.07727910283332069,0.02138191321864724,0.05747463443419999,0.10083730969345198,0.004433924358131157,0.039494081095067995,True,True,True,False,False,False
43,7Networks_LH_DorsAttn_PrCv_1,0.045088870437919266,0.057586715194500156,0.031744599683507756,0.05854319735274959,0.03866798305728783,0.07889588070231386,True,True,True,False,False,False
44,7Networks_LH_SalVentAttn_ParOper_1,0.056531209809084736,0.0344514099156691,0.03417962798331347,0.08535767284791088,0.01838924855692312,0.05193911161170237,True,True,True,False,False,False
45,7Networks_LH_SalVentAttn_ParOper_2,0.06092529014373819,0.015347875370126631,0.03954084438608131,0.08495849822906569,-0.0019377900125821018,0.039012025788219426,True,False,False,True,False,False
46,7Networks_LH_SalVentAttn_ParOper_3,0.050159986454269126,0.0244900520839211,0.03132948230227662,0.07070716151598996,0.003682538673617981,0.044997370944151446,True,True,True,False,False,False
47,7Networks_LH_SalVentAttn_FrOperIns_1,0.033476694124854274,0.015203750883099727,0.02116001739664676,0.04929184678185265,-0.00015820332628209142,0.03519359636484296,True,False,False,True,False,False
48,7Networks_LH_SalVentAttn_FrOperIns_2,0.02652884432528582,0.032961440531329975,0.005197871674964619,0.05915443863163491,0.022303537058178335,0.0429926773145174,True,True,True,False,False,False
49,7Networks_LH_SalVentAttn_FrOperIns_3,0.04094430820421419,0.01396061710288955,0.017611936678521387,0.07609446099183209,0.004724905852021443,0.024283162723036687,True,True,True,False,False,False
50,7Networks_LH_SalVentAttn_FrOperIns_4,0.044887767690751285,0.02537011043427305,0.026318378595169636,0.07215344346930376,0.011693232865137463,0.04060519939133276,True,True,True,False,False,False
51,7Networks_LH_SalVentAttn_PFCl_1,0.038352360379778676,0.023939230595715344,0.02714836625641005,0.04951887576607987,0.0040149899121994775,0.0510028479905385,True,True,True,False,False,False
52,7Networks_LH_SalVentAttn_Med_1,0.03965662202487389,0.051419776346948415,0.03128391981073138,0.048366113224377234,0.030170776257808837,0.07974270577801183,True,True,True,False,False,False
53,7Networks_LH_SalVentAttn_Med_2,0.07430315959370798,0.021573159403892025,0.05788598446848078,0.09264906277724852,-0.009162762684799318,0.06398423246961708,True,False,False,True,False,False
54,7Networks_LH_SalVentAttn_Med_3,0.05929687241506246,0.049683046992868185,0.041709595733684386,0.0813548440268884,0.0349182200514608,0.064996857882943,True,True,True,False,False,False
55,7Networks_LH_Limbic_OFC_1,0.020696269943275385,0.023218420806289133,0.014401218613945983,0.027358259844024558,0.007573524715230128,0.0474205389023862,True,True,True,False,False,False
56,7Networks_LH_Limbic_OFC_2,0.013707723183971312,0.017990753083722666,0.0072722521597623005,0.019684664172948233,0.007289301575575438,0.031258302532336926,True,True,True,False,False,False
57,7Networks_LH_Limbic_TempPole_1,0.016203909504434302,0.018796510037241712,0.006035322910692129,0.031659964668344594,0.012502216311016431,0.02481311004505389,True,True,True,False,False,False
58,7Networks_LH_Limbic_TempPole_2,0.014274305896833539,0.025507814354366727,0.007609831619710248,0.02144870992698189,0.020691447464438774,0.03026579057332128,True,True,True,False,False,False
59,7Networks_LH_Limbic_TempPole_3,0.011384570337314572,0.018032293818477128,0.002093967632067183,0.024235746010284245,0.011626302437960274,0.02595306790123383,True,True,True,False,False,False
60,7Networks_LH_Limbic_TempPole_4,0.008408498885627422,0.019136751264644165,-0.00041828787717450815,0.017152214912089722,0.004917383218546295,0.042311790896928866,False,True,False,False,True,False
61,7Networks_LH_Cont_Par_1,0.04878445794909365,0.03065956114894814,0.03129064239587428,0.06826889020093303,0.001142428660144409,0.06152671010285202,True,True,True,False,False,False
62,7Networks_LH_Cont_Par_2,0.07058296130142278,0.06758251937571913,0.04826168662920181,0.09426071398322367,0.03678876817058254,0.10448491999413818,True,True,True,False,False,False
63,7Networks_LH_Cont_Par_3,0.06580022034338778,0.07509524305351079,0.043175389625442526,0.090283792747909,0.04245728882055523,0.11503805759970823,True,True,True,False,False,False
64,7Networks_LH_Cont_Temp_1,0.042802550131455064,0.04064052370894286,0.031654891808284444,0.05399125643954095,0.023093554122735643,0.05992193866081327,True,True,True,False,False,False
65,7Networks_LH_Cont_OFC_1,0.029651063804825146,0.01912385828068687,0.016253339503115666,0.046544331024374996,0.005601243358493472,0.03519080128365506,True,True,True,False,False,False
66,7Networks_LH_Cont_PFCl_1,0.022080299522106845,0.013051895567009019,0.011544673362772706,0.03558030585861868,0.006442302727696693,0.01975792015048986,True,True,True,False,False,False
67,7Networks_LH_Cont_PFCl_2,0.03400553294664456,0.026973090134561062,0.013089353717320288,0.0597154941707332,0.01747058562727438,0.036840463489190574,True,True,True,False,False,False
68,7Networks_LH_Cont_PFCl_3,0.03827037432024048,0.026741780327736504,0.021887713810428977,0.058263223344692944,0.014525894366347025,0.038782019319478424,True,True,True,False,False,False
69,7Networks_LH_Cont_PFCl_4,0.04596164613030851,0.0642946008592844,0.031097230961960223,0.062446580203120695,0.04318699390084173,0.08597049842355774,True,True,True,False,False,False
70,7Networks_LH_Cont_PFCl_5,0.05459080124273896,0.08270949301206404,0.04059031206545317,0.07012948563270685,0.057083149559588896,0.11347671979520885,True,True,True,False,False,False
71,7Networks_LH_Cont_pCun_1,0.1426285362492005,-0.028107300374863878,0.10817333176318142,0.18314936629806955,-0.05285720077485571,-0.0010778561816550828,True,True,True,False,False,False
72,7Networks_LH_Cont_Cing_1,0.06899957586493757,0.012820857072559496,0.04588885421657728,0.10245055829743957,-0.0005910373396343646,0.02654456129562781,True,False,False,True,False,False
73,7Networks_LH_Cont_Cing_2,0.03108267191176613,0.03194737515877932,0.022221712217045327,0.04072169998608943,0.02016630754450388,0.045988374163021525,True,True,True,False,False,False
74,7Networks_LH_Default_Temp_1,0.014289419380171845,0.021365882152976055,0.0020862005738308655,0.03084942500313949,0.010752411260263115,0.03419487347524005,True,True,True,False,False,False
75,7Networks_LH_Default_Temp_2,0.01854671039068813,0.03299634933743315,0.011747577210755682,0.02535318068423496,0.018859504476697316,0.05250584849814509,True,True,True,False,False,False
76,7Networks_LH_Default_Temp_3,0.030093131095377937,0.03358372916570968,0.019615335556186945,0.04235112770822727,0.011445234471466392,0.06311032698851907,True,True,True,False,False,False
77,7Networks_LH_Default_Temp_4,0.042640329288486906,0.046800882076948054,0.027860295974702846,0.058298317180015144,0.023812235517026336,0.0773674798214213,True,True,True,False,False,False
78,7Networks_LH_Default_Temp_5,0.04481721299493478,0.05975192443778118,0.02827382391292809,0.06308623884364754,0.0384684449094089,0.08312778207602807,True,True,True,False,False,False
79,7Networks_LH_Default_Par_1,0.09079295854705076,0.035795674866272345,0.06804047073237598,0.11673000936085978,0.011292271561817164,0.061722417605212986,True,True,True,False,False,False
80,7Networks_LH_Default_Par_2,0.12177618510193294,0.006056070211343467,0.09484802643871969,0.15108556172086132,-0.0148278179539678,0.0267611110644389,True,False,False,True,False,False
81,7Networks_LH_Default_Par_3,0.051815043138857514,0.01085033148734106,0.02633917014593155,0.0813601050063476,-0.0027813389806801247,0.026160758768673985,True,False,False,True,False,False
82,7Networks_LH_Default_Par_4,0.07170719490386546,0.0027458864755721558,0.05061695398439446,0.0951608782271958,-0.014454613284194945,0.021500815732805552,True,False,False,True,False,False
