ROI_ID,ROI_Name,Clean_Name,Mean_Value,t_stat,p_value,Significant,LOOV_Mean,LOOV_Std,Bootstrap_Mean,Bootstrap_CI_Lower,Bootstrap_CI_Upper,Y_Coordinate,Anatomical_Division
b'17Networks_RH_ContA_IPS_1',Wang_b'17Networks_RH_ContA_IPS_1',b'17Networks_RH_ContA_IPS_1',0.165601920682611,7.602202865336135,8.652058804256537e-14,True,0.16560192068261104,0.0007927795504276562,0.165601920682611,0.15752530606567836,0.20615316837220463,-63,Post. Parietal/Temporal
b'17Networks_LH_DefaultA_IPL_1',Wang_b'17Networks_LH_DefaultA_IPL_1',b'17Networks_LH_DefaultA_IPL_1',0.0,,,False,0.0,0.0,0.0,0.0,0.0,-62,Post. Parietal/Temporal
b'17Networks_LH_DefaultB_IPL_1',Wang_b'17Networks_LH_DefaultB_IPL_1',b'17Networks_LH_DefaultB_IPL_1',-0.15101296272533302,-6.756851157962398,5.1489824361202195e-11,True,-0.15101296272533304,0.0011317163033231767,-0.15101296272533302,-0.18789700948790647,-0.1256822179078574,-62,Post. Parietal/Temporal
b'17Networks_LH_DefaultC_IPL_1',Wang_b'17Networks_LH_DefaultC_IPL_1',b'17Networks_LH_DefaultC_IPL_1',0.0,,,False,0.0,0.0,0.0,0.0,0.0,-62,Post. Parietal/Temporal
b'17Networks_LH_SalVentAttnB_IPL_1',Wang_b'17Networks_LH_SalVentAttnB_IPL_1',b'17Networks_LH_SalVentAttnB_IPL_1',0.0,,,False,0.0,0.0,0.0,0.0,0.0,-62,Post. Parietal/Temporal
b'17Networks_LH_ContB_IPL_1',Wang_b'17Networks_LH_ContB_IPL_1',b'17Networks_LH_ContB_IPL_1',0.0,,,False,0.0,0.0,0.0,0.0,0.0,-62,Post. Parietal/Temporal
b'17Networks_RH_SalVentAttnB_IPL_1',Wang_b'17Networks_RH_SalVentAttnB_IPL_1',b'17Networks_RH_SalVentAttnB_IPL_1',-0.006687492074270079,-1.4157936780470377,0.1575564672229874,False,-0.006687492074270081,0.00022725918149606736,-0.006687492074270079,-0.0166881317971939,-0.003313147648653742,-58,Post. Parietal/Temporal
b'17Networks_RH_DefaultA_IPL_1',Wang_b'17Networks_RH_DefaultA_IPL_1',b'17Networks_RH_DefaultA_IPL_1',-0.6987895954285241,-25.695284219007256,2.5357618806113656e-108,True,-0.6987895954285244,0.0009306021869015316,-0.6987895954285241,-0.7436138790462484,-0.6556116978215852,-58,Post. Parietal/Temporal
b'17Networks_RH_ContB_IPL_2',Wang_b'17Networks_RH_ContB_IPL_2',b'17Networks_RH_ContB_IPL_2',0.0,,,False,0.0,0.0,0.0,0.0,0.0,-58,Post. Parietal/Temporal
b'17Networks_RH_ContB_IPL_1',Wang_b'17Networks_RH_ContB_IPL_1',b'17Networks_RH_ContB_IPL_1',-0.272078885232954,-12.266844671469908,2.0086556457025828e-31,True,-0.27207888523295404,0.0008456054129432131,-0.272078885232954,-0.31486610620942956,-0.26879777638972313,-58,Post. Parietal/Temporal
b'17Networks_RH_DefaultC_IPL_1',Wang_b'17Networks_RH_DefaultC_IPL_1',b'17Networks_RH_DefaultC_IPL_1',0.0,,,False,0.0,0.0,0.0,0.0,0.0,-58,Post. Parietal/Temporal
b'17Networks_LH_DorsAttnA_SPL_1',Wang_b'17Networks_LH_DorsAttnA_SPL_1',b'17Networks_LH_DorsAttnA_SPL_1',1.4276323790981242,26.738963507197674,1.4196065629735811e-102,True,1.427632379098124,0.002240256019492714,1.4276323790981242,1.3563254362902937,1.4888704139345044,-57,Post. Parietal/Temporal
b'17Networks_LH_DorsAttnA_SPL_2',Wang_b'17Networks_LH_DorsAttnA_SPL_2',b'17Networks_LH_DorsAttnA_SPL_2',4.38933829365303,58.72072944965648,7.0794007826307e-254,True,4.38933829365303,0.0030190991422772416,4.38933829365303,4.237512360680551,4.489852650254657,-57,Post. Parietal/Temporal
