ROI_ID,ROI_Name,pIPS_Mean,LO_Mean,pIPS_SE,LO_SE,Difference,Abs_Difference,t_statistic,p_value,Effect_Size,p_FDR,Significant_FDR
145,7Networks_RH_DorsAttn_FEF_1,0.08282382,0.07236403,0.011094111884673111,0.012157579153926708,0.010459788,0.010459788,1.7071599522019494,0.10498331308850725,0.40238133,0.20385109337574223,False
87,7Networks_LH_Default_PFC_5,0.047445484,0.037182137,0.014407387879015918,0.00699493952237454,0.010263346,0.010263346,1.2239368210784216,0.23675582819763424,0.28848478,0.40128106474175296,False
95,7Networks_LH_Default_PFC_13,0.06287544,0.05311176,0.015588712596832316,0.008330924205377826,0.00976368,0.00976368,1.2093746680525503,0.2421643632838493,0.28505242,0.4038970133940246,False
68,7Networks_LH_Cont_PFCl_3,0.050973974,0.041497033,0.011815267547614992,0.007022998642353726,0.009476941,0.009476941,1.441518899633117,0.16661029693488924,0.33976915,0.2948854813006889,False
126,7Networks_RH_SomMot_11,0.06575617,0.056564864,0.01175817587246005,0.014062109816543267,0.009191308,0.009191308,1.8699280915495546,0.07784860465688455,0.44074604,0.16051258692141143,False
196,7Networks_RH_Default_PFCdPFCm_6,0.0555492,0.046461,0.011398164667446814,0.012837980443924087,0.0090882,0.0090882,1.940445103041754,0.06815451896667214,0.45736757,0.14348319782457294,False
54,7Networks_LH_SalVentAttn_Med_3,0.07985487,0.07078156,0.014562111942218382,0.009404203598856055,0.00907331,0.00907331,1.3733100371371003,0.1865217052340346,0.32369202,0.3243855743200602,False
193,7Networks_RH_Default_PFCdPFCm_3,0.025587875,0.01677913,0.013154198175414229,0.006541963974128256,0.008808745,0.008808745,1.1111167884544262,0.2811400692440457,0.2618928,0.45345172458717053,False
8,7Networks_LH_Vis_8,0.13087556,0.13961141,0.012944477160205898,0.01288451560323349,-0.00873585,0.00873585,-1.0107252266726627,0.32554251091620223,-0.23823,0.49324622866091244,False
86,7Networks_LH_Default_PFC_4,0.027389055,0.018710364,0.007618955070028538,0.005085457074394553,0.008678691,0.008678691,2.3452070580408946,0.03067868080850338,0.55277026,0.07866328412436764,False
117,7Networks_RH_SomMot_2,0.06602325,0.057344988,0.012531818409117775,0.010217205735639313,0.008678265,0.008678265,1.6939869366059412,0.10750035494930504,0.39927658,0.20588406279485505,False
