Comparison_Type,Category,Dice
pIPS_across_subjects,Within_ROI,0.8608445105034573
pIPS_across_subjects,Within_ROI,0.875558197912538
pIPS_across_subjects,Within_ROI,0.8546368546733815
pIPS_across_subjects,Within_ROI,0.8432107957405256
pIPS_across_subjects,Within_ROI,0.8240643661393992
pIPS_across_subjects,Within_ROI,0.8684700754813142
pIPS_across_subjects,Within_ROI,0.8283656048692465
pIPS_across_subjects,Within_ROI,0.8175906986247021
pIPS_across_subjects,Within_ROI,0.8168080012321076
pIPS_across_subjects,Within_ROI,0.8568693455818573
pIPS_across_subjects,Within_ROI,0.8336227616650322
pIPS_across_subjects,Within_ROI,0.7811448301279253
pIPS_across_subjects,Within_ROI,0.8301095826532991
pIPS_across_subjects,Within_ROI,0.7836913448426369
pIPS_across_subjects,Within_ROI,0.8116038189663957
pIPS_across_subjects,Within_ROI,0.8086013696270536
LO_across_subjects,Within_ROI,0.6308477356255505
LO_across_subjects,Within_ROI,0.6488513624650474
LO_across_subjects,Within_ROI,0.6414528575179786
LO_across_subjects,Within_ROI,0.6334987118145012
LO_across_subjects,Within_ROI,0.6409787585856016
LO_across_subjects,Within_ROI,0.6345242878891637
LO_across_subjects,Within_ROI,0.6271575659899961
LO_across_subjects,Within_ROI,0.6351788269798175
LO_across_subjects,Within_ROI,0.6347168227730794
LO_across_subjects,Within_ROI,0.6260992039191672
LO_across_subjects,Within_ROI,0.6267277181674069
LO_across_subjects,Within_ROI,0.6316963523587321
LO_across_subjects,Within_ROI,0.6387589485379952
LO_across_subjects,Within_ROI,0.6336268526327563
LO_across_subjects,Within_ROI,0.6380296042972866
LO_across_subjects,Within_ROI,0.6249341429458632
LO_across_subjects,Within_ROI,0.5845956507078014
LO_across_subjects,Within_ROI,0.61479774249878
LO_across_subjects,Within_ROI,0.8238092820851235
LO_across_subjects,Within_ROI,0.8042669441914921
LO_across_subjects,Within_ROI,0.79889476507634
LO_across_subjects,Within_ROI,0.8275970313235723
LO_across_subjects,Within_ROI,0.8022227488151659
LO_across_subjects,Within_ROI,0.8029625613207657
LO_across_subjects,Within_ROI,0.7902531992866522
LO_across_subjects,Within_ROI,0.8003429215360554
LO_across_subjects,Within_ROI,0.7784187807112096
LO_across_subjects,Within_ROI,0.7475088920386168
LO_across_subjects,Within_ROI,0.8038059960864038
LO_across_subjects,Within_ROI,0.8122248708499266
LO_across_subjects,Within_ROI,0.7880739158845046
LO_across_subjects,Within_ROI,0.7927816613621285
LO_across_subjects,Within_ROI,0.784998714385415
LO_across_subjects,Within_ROI,0.719326327135543
LO_across_subjects,Within_ROI,0.7617736607674777
LO_across_subjects,Within_ROI,0.8795749833636969
LO_across_subjects,Within_ROI,0.854230276099678
LO_across_subjects,Within_ROI,0.9128047514225194
LO_across_subjects,Within_ROI,0.8728794667249481
LO_across_subjects,Within_ROI,0.8888035337046284
LO_across_subjects,Within_ROI,0.8524357431619367
LO_across_subjects,Within_ROI,0.8641914036476148
LO_across_subjects,Within_ROI,0.8227335617646786
LO_across_subjects,Within_ROI,0.7696053531308
LO_across_subjects,Within_ROI,0.8753709198813057
LO_across_subjects,Within_ROI,0.8861332828622335
LO_across_subjects,Within_ROI,0.8482701384211119
LO_across_subjects,Within_ROI,0.8751134989569169
LO_across_subjects,Within_ROI,0.8554610679972517
LO_across_subjects,Within_ROI,0.7517029386450265
LO_across_subjects,Within_ROI,0.8245649529895747
LO_across_subjects,Within_ROI,0.829059513366268
LO_across_subjects,Within_ROI,0.8875228005801274
LO_across_subjects,Within_ROI,0.8487160497694326
LO_across_subjects,Within_ROI,0.8650748430923072
LO_across_subjects,Within_ROI,0.8343995364267459
LO_across_subjects,Within_ROI,0.8362457264419036
LO_across_subjects,Within_ROI,0.8040794468707977
LO_across_subjects,Within_ROI,0.7556979574850015
LO_across_subjects,Within_ROI,0.8483938743637854
LO_across_subjects,Within_ROI,0.8617066761679953
LO_across_subjects,Within_ROI,0.8208630245447348
LO_across_subjects,Within_ROI,0.8574422196368189
LO_across_subjects,Within_ROI,0.8373712803422985
LO_across_subjects,Within_ROI,0.7361561050497297
LO_across_subjects,Within_ROI,0.8045741317399535
LO_across_subjects,Within_ROI,0.8542699694337018
LO_across_subjects,Within_ROI,0.8310040587888389
LO_across_subjects,Within_ROI,0.831929321784844
LO_across_subjects,Within_ROI,0.8089371755639484
LO_across_subjects,Within_ROI,0.8238710793057461
LO_across_subjects,Within_ROI,0.802620257440047
LO_across_subjects,Within_ROI,0.7558082352175893
LO_across_subjects,Within_ROI,0.8302479388759701
LO_across_subjects,Within_ROI,0.8315175115186162
LO_across_subjects,Within_ROI,0.809624666318548
LO_across_subjects,Within_ROI,0.8135678285892526
LO_across_subjects,Within_ROI,0.7950998185117968
LO_across_subjects,Within_ROI,0.7235900863707257
LO_across_subjects,Within_ROI,0.7854298812417254
LO_across_subjects,Within_ROI,0.8949092409591914
LO_across_subjects,Within_ROI,0.9061360996094694
LO_across_subjects,Within_ROI,0.858550887234257
LO_across_subjects,Within_ROI,0.8710986253593157
LO_across_subjects,Within_ROI,0.8228121616744858
LO_across_subjects,Within_ROI,0.7719462845553882
LO_across_subjects,Within_ROI,0.8839050019221734
LO_across_subjects,Within_ROI,0.8934644743946725
LO_across_subjects,Within_ROI,0.8471377853445137
LO_across_subjects,Within_ROI,0.8787052238323616
LO_across_subjects,Within_ROI,0.8659068456181779
LO_across_subjects,Within_ROI,0.7574741321324473
LO_across_subjects,Within_ROI,0.8304613347732864
LO_across_subjects,Within_ROI,0.8560291485723261
LO_across_subjects,Within_ROI,0.8281109785092466
LO_across_subjects,Within_ROI,0.8449320046247867
LO_across_subjects,Within_ROI,0.8014641009132747
LO_across_subjects,Within_ROI,0.7593886748089609
LO_across_subjects,Within_ROI,0.850019134232267
LO_across_subjects,Within_ROI,0.8629122748312977
LO_across_subjects,Within_ROI,0.8227667304872953
LO_across_subjects,Within_ROI,0.8358703357022119
LO_across_subjects,Within_ROI,0.8235438279297421
LO_across_subjects,Within_ROI,0.7331451008966341
LO_across_subjects,Within_ROI,0.8015154664048522
LO_across_subjects,Within_ROI,0.8346472863352691
LO_across_subjects,Within_ROI,0.8486526251457157
LO_across_subjects,Within_ROI,0.8055206082169489
LO_across_subjects,Within_ROI,0.7432883040110506
LO_across_subjects,Within_ROI,0.8560751650177848
LO_across_subjects,Within_ROI,0.8655900719589209
LO_across_subjects,Within_ROI,0.8286902499906859
LO_across_subjects,Within_ROI,0.8586828092595706
LO_across_subjects,Within_ROI,0.8412295788719736
LO_across_subjects,Within_ROI,0.7374834529540373
LO_across_subjects,Within_ROI,0.8053711512638696
LO_across_subjects,Within_ROI,0.8193533714892165
LO_across_subjects,Within_ROI,0.7885134102261913
LO_across_subjects,Within_ROI,0.7543546481673268
LO_across_subjects,Within_ROI,0.8259712019626155
LO_across_subjects,Within_ROI,0.8356444667438451
LO_across_subjects,Within_ROI,0.8023494444837591
LO_across_subjects,Within_ROI,0.8264879165415792
LO_across_subjects,Within_ROI,0.8116311670571266
LO_across_subjects,Within_ROI,0.714228042949417
LO_across_subjects,Within_ROI,0.7798277314349373
LO_across_subjects,Within_ROI,0.7979937720897718
LO_across_subjects,Within_ROI,0.7514761165629302
LO_across_subjects,Within_ROI,0.8349670265861111
LO_across_subjects,Within_ROI,0.8462780031550279
LO_across_subjects,Within_ROI,0.8122291871804983
LO_across_subjects,Within_ROI,0.8304288359369911
LO_across_subjects,Within_ROI,0.8191305706917498
LO_across_subjects,Within_ROI,0.7251046720621694
LO_across_subjects,Within_ROI,0.7902775158984556
LO_across_subjects,Within_ROI,0.7314301104228387
LO_across_subjects,Within_ROI,0.7967152480332691
LO_across_subjects,Within_ROI,0.811010489004458
LO_across_subjects,Within_ROI,0.7871128057923825
LO_across_subjects,Within_ROI,0.7894988944422134
LO_across_subjects,Within_ROI,0.782959320738906
LO_across_subjects,Within_ROI,0.725122805113035
LO_across_subjects,Within_ROI,0.765130885509314
LO_across_subjects,Within_ROI,0.7587792810985461
LO_across_subjects,Within_ROI,0.7610699516497795
LO_across_subjects,Within_ROI,0.7470047641493104
LO_across_subjects,Within_ROI,0.7525925699215981
LO_across_subjects,Within_ROI,0.7338724570881595
LO_across_subjects,Within_ROI,0.671196419210452
LO_across_subjects,Within_ROI,0.7207776611334055
LO_across_subjects,Within_ROI,0.8508678186800015
LO_across_subjects,Within_ROI,0.8186369489893445
LO_across_subjects,Within_ROI,0.836212365309224
LO_across_subjects,Within_ROI,0.825072283700461
LO_across_subjects,Within_ROI,0.7320519665420894
LO_across_subjects,Within_ROI,0.7969214597867484
LO_across_subjects,Within_ROI,0.8326810773733738
LO_across_subjects,Within_ROI,0.856886388662155
LO_across_subjects,Within_ROI,0.8427756304067734
LO_across_subjects,Within_ROI,0.7428247876690783
LO_across_subjects,Within_ROI,0.8046043124429572
LO_across_subjects,Within_ROI,0.8125408605317797
LO_across_subjects,Within_ROI,0.7989598680808297
LO_across_subjects,Within_ROI,0.7303794377527282
LO_across_subjects,Within_ROI,0.7825645635333448
LO_across_subjects,Within_ROI,0.8397836428559706
LO_across_subjects,Within_ROI,0.7202223752222211
LO_across_subjects,Within_ROI,0.785384852149593
LO_across_subjects,Within_ROI,0.731893685095946
LO_across_subjects,Within_ROI,0.7791852477394057
LO_across_subjects,Within_ROI,0.7055915282676624
