ROI,Subject1,Subject2,Dice
pIPS,sub-025_right,sub-093_right,0.7443471287699382
pIPS,sub-025_right,sub-094_left,0.7268001681908967
pIPS,sub-025_right,sub-094_right,0.7249586905892609
pIPS,sub-025_right,sub-095_left,0.730753243107553
pIPS,sub-025_right,sub-095_right,0.7283366924045367
pIPS,sub-025_right,sub-096_left,0.7180602857269229
pIPS,sub-025_right,sub-096_right,0.7102965873882463
pIPS,sub-025_right,sub-097_left,0.6985882308233103
pIPS,sub-025_right,sub-097_right,0.7049626986701265
pIPS,sub-025_right,sub-107_left,0.7286673806132316
pIPS,sub-025_right,sub-107_right,0.7353643500382376
pIPS,sub-038_left,sub-057_left,0.8436489576146218
pIPS,sub-038_left,sub-057_right,0.8484511638122302
pIPS,sub-038_left,sub-059_left,0.8235964967404231
pIPS,sub-038_left,sub-059_right,0.8155480071722628
pIPS,sub-038_left,sub-064_left,0.8034082999303939
pIPS,sub-038_left,sub-064_right,0.8056959687317532
pIPS,sub-038_left,sub-067_left,0.8479401345733018
pIPS,sub-038_left,sub-067_right,0.8493971659312883
pIPS,sub-038_left,sub-068_left,0.8265682993125981
pIPS,sub-038_left,sub-068_right,0.8297006421271592
pIPS,sub-038_left,sub-071_left,0.8270990535579211
pIPS,sub-038_left,sub-071_right,0.832070331280478
pIPS,sub-038_left,sub-083_left,0.8039292976392487
pIPS,sub-038_left,sub-083_right,0.813616779508546
pIPS,sub-038_left,sub-084_left,0.8252587300056228
pIPS,sub-038_left,sub-084_right,0.8211296676782719
pIPS,sub-038_left,sub-085_left,0.7885832809059453
pIPS,sub-038_left,sub-085_right,0.8015687367010418
pIPS,sub-038_left,sub-087_left,0.791151423382767
pIPS,sub-038_left,sub-087_right,0.7593535916821783
pIPS,sub-038_left,sub-088_left,0.8257905839221069
pIPS,sub-038_left,sub-088_right,0.8111186147145402
pIPS,sub-038_left,sub-093_left,0.8309767349730867
pIPS,sub-038_left,sub-093_right,0.8364554247142406
pIPS,sub-038_left,sub-094_left,0.8189972913869901
pIPS,sub-038_left,sub-094_right,0.8174182461864675
pIPS,sub-038_left,sub-095_left,0.7920238303496803
pIPS,sub-038_left,sub-095_right,0.7902733197159809
pIPS,sub-038_left,sub-096_left,0.7803952914542178
pIPS,sub-038_left,sub-096_right,0.7777059034274113
pIPS,sub-038_left,sub-097_left,0.7832947904889122
pIPS,sub-038_left,sub-097_right,0.7876990595001192
pIPS,sub-038_left,sub-107_left,0.8164879501378536
pIPS,sub-038_left,sub-107_right,0.8212043164385622
pIPS,sub-038_right,sub-057_left,0.8802650995417713
pIPS,sub-038_right,sub-057_right,0.8857425980421596
pIPS,sub-038_right,sub-059_left,0.857927543870183
pIPS,sub-038_right,sub-059_right,0.8525506888411969
