ROI_ID,ROI_Name,Clean_Name,Mean_Value,t_stat,p_value,Significant,LOOV_Mean,LOOV_Std,Bootstrap_Mean,Bootstrap_CI_Lower,Bootstrap_CI_Upper,p_value_corrected,Anatomical_Lobe,Hemisphere,Base_Region,Lobe_Sorted,sort_key
88,7Networks_LH_Default_PFC_7,Default_PFC,-0.009975690236151755,-2.4508052280133863,0.014421698657615832,True,-0.009975690236151755,0.00012782481693883016,-0.009975690236151755,-0.018674466287422375,-0.0032126929837283024,,Frontal,L,Default_PFC,Frontal,"(0, 'Default_PFC', 0)"
92,7Networks_LH_Default_PFC_11,Default_PFC,-0.17180982343017395,-5.915248979068028,5.252836303451134e-09,True,-0.17180982343017398,0.0011146539903757677,-0.17180982343017395,-0.23376597684643752,-0.116359061027093,,Frontal,L,Default_PFC,Frontal,"(0, 'Default_PFC', 0)"
91,7Networks_LH_Default_PFC_10,Default_PFC,-0.11898651550339683,-5.390136162042807,9.683480941414574e-08,True,-0.11898651550339685,0.0008415962490384229,-0.11898651550339683,-0.16388084522237514,-0.07812104071047521,,Frontal,L,Default_PFC,Frontal,"(0, 'Default_PFC', 0)"
82,7Networks_LH_Default_PFC_1,Default_PFC,-0.01821626733262065,-1.7254362679504442,0.08497787745923445,False,-0.018216267332620655,0.0004368718333114577,-0.01821626733262065,-0.0433955333046898,0.0,,Frontal,L,Default_PFC,Frontal,"(0, 'Default_PFC', 0)"
83,7Networks_LH_Default_PFC_2,Default_PFC,0.0,,,False,0.0,0.0,0.0,0.0,0.0,,Frontal,L,Default_PFC,Frontal,"(0, 'Default_PFC', 0)"
84,7Networks_LH_Default_PFC_3,Default_PFC,-0.1161448306683134,-5.020881179696006,7.504484579146398e-07,True,-0.11614483066831341,0.0011065708430667395,-0.1161448306683134,-0.16400528604911382,-0.071443098085582,,Frontal,L,Default_PFC,Frontal,"(0, 'Default_PFC', 0)"
85,7Networks_LH_Default_PFC_4,Default_PFC,-0.04051101857710851,-5.025467668251763,5.864469235769775e-07,True,-0.04051101857710851,0.00024394131489709472,-0.04051101857710851,-0.05688734674573457,-0.025288580284717713,,Frontal,L,Default_PFC,Frontal,"(0, 'Default_PFC', 0)"
87,7Networks_LH_Default_PFC_6,Default_PFC,-0.053644639924094975,-4.410805103461908,1.2135884118505723e-05,True,-0.053644639924094975,0.0004876556651226812,-0.053644639924094975,-0.07863394894249226,-0.03225654396681576,,Frontal,L,Default_PFC,Frontal,"(0, 'Default_PFC', 0)"
89,7Networks_LH_Default_PFC_8,Default_PFC,0.0,,,False,0.0,0.0,0.0,0.0,0.0,,Frontal,L,Default_PFC,Frontal,"(0, 'Default_PFC', 0)"
90,7Networks_LH_Default_PFC_9,Default_PFC,-0.017838450772224172,-2.535674337367966,0.011430886585008347,True,-0.017838450772224176,0.0002605552898484664,-0.017838450772224172,-0.03358020296514277,-0.004458188052219782,,Frontal,L,Default_PFC,Frontal,"(0, 'Default_PFC', 0)"
