ROI_ID,ROI_Name,Clean_Name,Mean_Value,t_stat,p_value,Significant,LOOV_Mean,LOOV_Std,Bootstrap_Mean,Bootstrap_CI_Lower,Bootstrap_CI_Upper,Anatomical_Lobe,Hemisphere,Base_Region,Lobe_Sorted,sort_key,Full_ID
100,7Networks_LH_Default_PHC_1,Default_PHC_1,0.7638204118160051,14.45593406379567,1.4134251347846862e-41,True,0.7638204118160051,0.00201004637605432,0.7638204118160051,0.6675006441672794,0.870152869833303,Frontal,L,Default_PHC,Frontal,"(0, 'Default_PHC', 0)",Default_PHC_L
55,7Networks_LH_Limbic_OFC_1,Limbic_OFC_1,0.0,,,True,0.0,0.0,0.0,0.0,0.0,Frontal,L,Limbic_OFC,Frontal,"(0, 'Limbic_OFC', 0)",Limbic_OFC_L
56,7Networks_LH_Limbic_OFC_2,Limbic_OFC_2,0.0,,,True,0.0,0.0,0.0,0.0,0.0,Frontal,L,Limbic_OFC,Frontal,"(0, 'Limbic_OFC', 0)",Limbic_OFC_L
160,7Networks_RH_Limbic_OFC_2,Limbic_OFC_2,0.0,,,True,0.0,0.0,0.0,0.0,0.0,Frontal,R,Limbic_OFC,Frontal,"(0, 'Limbic_OFC', 1)",Limbic_OFC_R
159,7Networks_RH_Limbic_OFC_1,Limbic_OFC_1,0.0,,,True,0.0,0.0,0.0,0.0,0.0,Frontal,R,Limbic_OFC,Frontal,"(0, 'Limbic_OFC', 1)",Limbic_OFC_R
161,7Networks_RH_Limbic_OFC_3,Limbic_OFC_3,-0.011089422689674014,-2.454957228896497,0.014304151527378418,True,-0.011089422689674017,0.0001605101189801856,-0.011089422689674014,-0.02076916880711633,-0.0036115366235420243,Frontal,R,Limbic_OFC,Frontal,"(0, 'Limbic_OFC', 1)",Limbic_OFC_R
52,7Networks_LH_SalVentAttn_Med_1,SalVentAttn_Med_1,-0.005717494164017602,-1.7339641160102837,0.08331905994011801,True,-0.005717494164017602,0.00011798861614354078,-0.005717494164017602,-0.013290892596443579,0.0,Frontal,L,SalVentAttn_Med,Frontal,"(0, 'SalVentAttn_Med', 0)",SalVentAttn_Med_L
54,7Networks_LH_SalVentAttn_Med_3,SalVentAttn_Med_3,-0.0594415027907881,-4.1135658592945035,4.524571379902815e-05,True,-0.05944150279078811,0.0006318594445184301,-0.0594415027907881,-0.08907517375521598,-0.035024899753253874,Frontal,L,SalVentAttn_Med,Frontal,"(0, 'SalVentAttn_Med', 0)",SalVentAttn_Med_L
53,7Networks_LH_SalVentAttn_Med_2,SalVentAttn_Med_2,0.018821961190195368,2.84321058139976,0.004610912754987519,True,0.01882196119019537,0.00026374581192912914,0.018821961190195368,0.0071456688590492735,0.03116048561580014,Frontal,L,SalVentAttn_Med,Frontal,"(0, 'SalVentAttn_Med', 0)",SalVentAttn_Med_L
158,7Networks_RH_SalVentAttn_Med_3,SalVentAttn_Med_3,-0.025185616541781624,-3.1797167263055295,0.001549274608229457,True,-0.02518561654178163,0.0003214917331009481,-0.025185616541781624,-0.042603749301998166,-0.012307036238668374,Frontal,R,SalVentAttn_Med,Frontal,"(0, 'SalVentAttn_Med', 1)",SalVentAttn_Med_R
