ROI_ID,ROI_Name,pIPS_tools,LO_tools,Difference
44,7Networks_LH_SalVentAttn_ParOper_1,-0.001127982921276414,0.001941717634124721,-0.0030697005554011347
45,7Networks_LH_SalVentAttn_ParOper_2,-0.0004735448340085285,0.0008461409573713998,-0.0013196857913799283
46,7Networks_LH_SalVentAttn_ParOper_3,-0.0009842016014363335,0.0019471987078442982,-0.0029314003092806317
47,7Networks_LH_SalVentAttn_FrOperIns_1,-0.003319765486299758,-0.002481433046992683,-0.0008383324393070749
48,7Networks_LH_SalVentAttn_FrOperIns_2,-0.005340446277260573,-0.003484238461058977,-0.0018562078162015954
49,7Networks_LH_SalVentAttn_FrOperIns_3,-0.0035345621433062655,-0.0025736656878966252,-0.0009608964554096403
50,7Networks_LH_SalVentAttn_FrOperIns_4,-0.0042917971336999304,-0.0039249768830334235,-0.000366820250666507
51,7Networks_LH_SalVentAttn_PFCl_1,-0.0019492919174880713,-0.0019439314193345468,-5.360498153524551e-06
52,7Networks_LH_SalVentAttn_Med_1,-0.003649848628340178,-0.0018693608728398068,-0.0017804877555003711
53,7Networks_LH_SalVentAttn_Med_2,0.0016216699197877142,-0.003778902306560035,0.005400572226347749
54,7Networks_LH_SalVentAttn_Med_3,-0.0035964494911848812,-0.0009623118451385147,-0.0026341376460463665
55,7Networks_LH_Limbic_OFC_1,0.00030919783991135763,0.0023753331742912744,-0.0020661353343799167
56,7Networks_LH_Limbic_OFC_2,0.0018407232180336363,0.0014633992784932068,0.00037732393954042955
57,7Networks_LH_Limbic_TempPole_1,0.0016870983710093532,0.00020759460362401852,0.0014795037673853346
58,7Networks_LH_Limbic_TempPole_2,0.002824220580911716,0.0010441416289936414,0.0017800789519180746
59,7Networks_LH_Limbic_TempPole_3,0.0003909759548670458,-0.000856731658521548,0.0012477076133885936
60,7Networks_LH_Limbic_TempPole_4,-0.001133274023729015,-0.0022378286257782867,0.0011045546020492718
61,7Networks_LH_Cont_Par_1,0.0027240188229067236,0.0072742436623624545,-0.004550224839455731
62,7Networks_LH_Cont_Par_2,0.006557941612606224,0.008612385942269554,-0.0020544443296633304
63,7Networks_LH_Cont_Par_3,0.0008808154567281896,0.005038958472329862,-0.004158143015601672
64,7Networks_LH_Cont_Temp_1,0.001983872391320536,0.002063775296496857,-7.99029051763208e-05
65,7Networks_LH_Cont_OFC_1,3.0704266110773685e-05,0.00421147483451936,-0.004180770568408586
66,7Networks_LH_Cont_PFCl_1,0.0016938034694965777,0.0034209038406778323,-0.0017271003711812546
67,7Networks_LH_Cont_PFCl_2,0.0005582037699631498,0.0006562333950977107,-9.802962513456089e-05
68,7Networks_LH_Cont_PFCl_3,-0.0012495267460637999,0.0011846989221469522,-0.0024342256682107523
69,7Networks_LH_Cont_PFCl_4,0.004681305173872335,0.009311998697607623,-0.004630693523735288
70,7Networks_LH_Cont_PFCl_5,0.00037995166935788483,0.005993991969179441,-0.005614040299821556
71,7Networks_LH_Cont_pCun_1,0.0001328857978786164,-0.01803566250669425,0.018168548304572867
72,7Networks_LH_Cont_Cing_1,0.0019226995794247542,-0.001950821895512433,0.0038735214749371872
73,7Networks_LH_Cont_Cing_2,-9.758961315118692e-05,0.00039977172976800264,-0.0004973613429191896
