ROI_ID,ROI_Name,pIPS_Connectivity,LO_Connectivity,Difference,Abs_Difference,CI_Lower,CI_Upper,LOO_Reliability,Bootstrap_Significant,LOO_Significant,Combined_Significant,Direction,Condition,Analysis_Type
75,7Networks_LH_Default_Temp_2,0.004067373401073399,0.004054637320707584,1.2736080365815736e-05,1.2736080365815736e-05,-0.0038868200388968194,0.003675549963542999,0.0,False,False,False,pIPS > LO,tools,ppi
76,7Networks_LH_Default_Temp_3,0.0036658129864963382,0.0023911445247843622,0.001274668461711976,0.001274668461711976,-0.0026655561327250487,0.0055933305947114525,0.5555555555555556,False,False,False,pIPS > LO,tools,ppi
77,7Networks_LH_Default_Temp_4,0.0037164543883199865,0.005491108940396079,-0.0017746545520760928,0.0017746545520760928,-0.006664728779136943,0.0027771132454312546,0.6111111111111112,False,False,False,LO > pIPS,tools,ppi
78,7Networks_LH_Default_Temp_5,0.0020525293975306343,0.0033438725463031897,-0.0012913431487725554,0.0012913431487725554,-0.005924312154455645,0.003257605147096447,0.6111111111111112,False,False,False,LO > pIPS,tools,ppi
79,7Networks_LH_Default_Par_1,0.0073621338270784525,0.00886632259251677,-0.001504188765438317,0.001504188765438317,-0.006565896174272815,0.0030264532844404,0.5,False,False,False,LO > pIPS,tools,ppi
80,7Networks_LH_Default_Par_2,0.007978525182613161,0.004025024781993668,0.003953500400619493,0.003953500400619493,-0.0032541051071126553,0.010999592781375082,0.6111111111111112,False,False,False,pIPS > LO,tools,ppi
81,7Networks_LH_Default_Par_3,0.0037889661560638424,0.006597352138575436,-0.0028083859825115934,0.0028083859825115934,-0.010551871967472546,0.004587360644400176,0.5,False,False,False,LO > pIPS,tools,ppi
82,7Networks_LH_Default_Par_4,0.00877841139987625,0.005279186117175128,0.003499225282701122,0.003499225282701122,-0.0023357722494150436,0.009281737507792594,0.6111111111111112,False,False,False,pIPS > LO,tools,ppi
83,7Networks_LH_Default_PFC_1,0.0004735491750872011,0.002222702552904707,-0.0017491533778175058,0.0017491533778175058,-0.006951813814460959,0.004537256761526475,0.6666666666666666,False,False,False,LO > pIPS,tools,ppi
84,7Networks_LH_Default_PFC_2,0.004576263236401711,0.004421894571674488,0.00015436866472722313,0.00015436866472722313,-0.005862011711031563,0.005357237932845453,0.1111111111111111,False,False,False,pIPS > LO,tools,ppi
