ROI_ID,ROI_Name,Clean_Name,Mean_Value,t_stat,p_value,LOOV_Mean,LOOV_Std,Bootstrap_Mean,Bootstrap_CI_Lower,Bootstrap_CI_Upper,Anatomical_Lobe,Hemisphere,Base_Region,Lobe_Sorted,sort_key
79,7Networks_LH_Default_Par_1,Default_Par_1,-0.12801817620511383,-6.068771127056804,2.412268046252579e-09,-0.12801817620511385,0.0009027646716619435,-0.12801817620511383,-0.1730047036876288,-0.0884937772007489,Parietal,L,Default_Par,Parietal,"(2, 'Default_Par', 0)"
184,7Networks_RH_Default_Par_3,Default_Par_3,-0.009702548716046035,-2.003683931791345,0.04549959253325222,-0.009702548716046035,0.00018555944316016833,-0.009702548716046035,-0.019636354999306768,-0.002356083015452481,Parietal,R,Default_Par,Parietal,"(2, 'Default_Par', 1)"
182,7Networks_RH_Default_Par_1,Default_Par_1,-0.1935452065009536,-7.980961762381652,7.682824031862619e-15,-0.19354520650095364,0.0010017938970334043,-0.1935452065009536,-0.24015597627420798,-0.14341120780950092,Parietal,R,Default_Par,Parietal,"(2, 'Default_Par', 1)"
183,7Networks_RH_Default_Par_2,Default_Par_2,-0.01885444406265693,-3.1785173295931175,0.0015335969481692492,-0.018854444062656937,0.00020298325500478918,-0.01885444406265693,-0.030299608156819702,-0.009355166180064451,Parietal,R,Default_Par,Parietal,"(2, 'Default_Par', 1)"
42,7Networks_LH_DorsAttn_FEF_2,DorsAttn_FEF_2,-0.07394050210208956,-4.577980834804412,5.737939377426619e-06,-0.07394050210208956,0.0006677755168028722,-0.07394050210208956,-0.10642650798763907,-0.04324324720225617,Parietal,L,DorsAttn_FEF,Parietal,"(2, 'DorsAttn_FEF', 0)"
41,7Networks_LH_DorsAttn_FEF_1,DorsAttn_FEF_1,-0.02915009944948693,-3.631660624621498,0.00030078946616901846,-0.02915009944948693,0.00029328771675387526,-0.02915009944948693,-0.04711308556535296,-0.015457179245568222,Parietal,L,DorsAttn_FEF,Parietal,"(2, 'DorsAttn_FEF', 0)"
146,7Networks_RH_DorsAttn_FEF_2,DorsAttn_FEF_2,-0.032181332858457604,-3.491810855164731,0.0005131986043676512,-0.0321813328584576,0.0003666019557182157,-0.032181332858457604,-0.05045108282091553,-0.015789918490870945,Parietal,R,DorsAttn_FEF,Parietal,"(2, 'DorsAttn_FEF', 1)"
145,7Networks_RH_DorsAttn_FEF_1,DorsAttn_FEF_1,0.0,,,0.0,0.0,0.0,0.0,0.0,Parietal,R,DorsAttn_FEF,Parietal,"(2, 'DorsAttn_FEF', 1)"
37,7Networks_LH_DorsAttn_Post_7,DorsAttn_Post_7,0.034736376068684585,1.0,0.32254204987898993,0.0347363760686846,0.005121599237299012,0.034736376068684585,0.0,0.10420912820605376,Parietal,L,DorsAttn_Post,Parietal,"(2, 'DorsAttn_Post', 0)"
31,7Networks_LH_DorsAttn_Post_1,DorsAttn_Post_1,-2.082285942239602,-15.425253915337882,5.4133426403773014e-49,-2.082285942239602,0.003953290877206803,-2.082285942239602,-2.349934025096479,-1.807032815221944,Parietal,L,DorsAttn_Post,Parietal,"(2, 'DorsAttn_Post', 0)"
32,7Networks_LH_DorsAttn_Post_2,DorsAttn_Post_2,0.4163018662781108,7.709900820719516,9.494007425922603e-14,0.4163018662781108,0.00265695709025512,0.4163018662781108,0.31374134959406197,0.5181105482748083,Parietal,L,DorsAttn_Post,Parietal,"(2, 'DorsAttn_Post', 0)"
33,7Networks_LH_DorsAttn_Post_3,DorsAttn_Post_3,-1.755847038842085,-2.420903110247182,0.029656357318623296,-1.7558470388420853,0.1938408266827641,-1.755847038842085,-3.133122418394768,-0.4943648996623297,Parietal,L,DorsAttn_Post,Parietal,"(2, 'DorsAttn_Post', 0)"
34,7Networks_LH_DorsAttn_Post_4,DorsAttn_Post_4,0.0,,,0.0,0.0,0.0,0.0,0.0,Parietal,L,DorsAttn_Post,Parietal,"(2, 'DorsAttn_Post', 0)"
35,7Networks_LH_DorsAttn_Post_5,DorsAttn_Post_5,-0.008263830794101763,-1.4152796466511437,0.15775120808678422,-0.008263830794101765,0.0002894289376554708,-0.008263830794101763,-0.020786844254640547,0.0,Parietal,L,DorsAttn_Post,Parietal,"(2, 'DorsAttn_Post', 0)"
36,7Networks_LH_DorsAttn_Post_6,DorsAttn_Post_6,-0.031670016937026695,-1.6535147546638698,0.09900484925737808,-0.031670016937026695,0.0009540863840467076,-0.031670016937026695,-0.06700207187738468,0.005822647907627711,Parietal,L,DorsAttn_Post,Parietal,"(2, 'DorsAttn_Post', 0)"
38,7Networks_LH_DorsAttn_Post_8,DorsAttn_Post_8,0.006727126556127939,1.0000000000000002,0.31822967352335646,0.0067271265561279405,0.0004148123938136991,0.006727126556127939,0.0,0.026908506224511755,Parietal,L,DorsAttn_Post,Parietal,"(2, 'DorsAttn_Post', 0)"
39,7Networks_LH_DorsAttn_Post_9,DorsAttn_Post_9,0.0,,,0.0,0.0,0.0,0.0,0.0,Parietal,L,DorsAttn_Post,Parietal,"(2, 'DorsAttn_Post', 0)"
40,7Networks_LH_DorsAttn_Post_10,DorsAttn_Post_10,-0.050050920847563414,-3.447088723867673,0.0006054509964683783,-0.050050920847563414,0.0005864478157959763,-0.050050920847563414,-0.08133576826898781,-0.022413853432370304,Parietal,L,DorsAttn_Post,Parietal,"(2, 'DorsAttn_Post', 0)"
144,7Networks_RH_DorsAttn_Post_10,DorsAttn_Post_10,0.005277838023242436,1.4153795235810775,0.1574726377601227,0.0052778380232424375,0.00015172763202449453,0.005277838023242436,0.0,0.01320239371571788,Parietal,R,DorsAttn_Post,Parietal,"(2, 'DorsAttn_Post', 1)"
143,7Networks_RH_DorsAttn_Post_9,DorsAttn_Post_9,0.1316575985974894,6.793975248154642,2.2607205227243535e-11,0.13165759859748938,0.0007162529580343822,0.1316575985974894,0.09665830046371214,0.1706314345792911,Parietal,R,DorsAttn_Post,Parietal,"(2, 'DorsAttn_Post', 1)"
142,7Networks_RH_DorsAttn_Post_8,DorsAttn_Post_8,0.09168417911216076,3.6437943419087726,0.0002998172451363322,0.09168417911216079,0.001183508350065775,0.09168417911216076,0.048664302784031756,0.14500737704741273,Parietal,R,DorsAttn_Post,Parietal,"(2, 'DorsAttn_Post', 1)"
