ROI_ID,ROI_Name,Clean_Name,Mean_Value,t_stat,p_value,LOOV_Mean,LOOV_Std,Bootstrap_Mean,Bootstrap_CI_Lower,Bootstrap_CI_Upper,Anatomical_Lobe,Hemisphere,Base_Region,Lobe_Sorted,sort_key
102,7Networks_RH_Vis_2,Vis_2,1.21473486588987,21.152100285207432,1.4112188559938752e-76,1.21473486588987,0.0022104266790187706,1.21473486588987,1.1088868732321238,1.3220057659623639,Occipital,R,Vis,Occipital,"(0, 'Vis', 1)"
101,7Networks_RH_Vis_1,Vis_1,0.37217161544111355,8.722034040456332,1.5899975252005325e-17,0.37217161544111355,0.0015152659932704598,0.37217161544111355,0.2967820119625823,0.4611816558960793,Occipital,R,Vis,Occipital,"(0, 'Vis', 1)"
64,7Networks_LH_Cont_Temp_1,Cont_Temp_1,0.3280350681356915,8.213213763957203,1.0497702986012996e-15,0.32803506813569144,0.001515007369041191,0.3280350681356915,0.2517151304797571,0.4075731107660686,Temporal,L,Cont_Temp,Temporal,"(1, 'Cont_Temp', 0)"
168,7Networks_RH_Cont_Temp_1,Cont_Temp_1,1.1179708962201271,15.742258629128184,1.856098291090024e-48,1.117970896220127,0.0025931809529161787,1.1179708962201271,0.9883063739047713,1.2619909164744534,Temporal,R,Cont_Temp,Temporal,"(1, 'Cont_Temp', 1)"
74,7Networks_LH_Default_Temp_1,Default_Temp_1,-0.017811727876379364,-3.4871156915701857,0.0005053934161792301,-0.017811727876379368,0.00014528823903463387,-0.017811727876379364,-0.027444941843925527,-0.008431413277848025,Temporal,L,Default_Temp,Temporal,"(1, 'Default_Temp', 0)"
76,7Networks_LH_Default_Temp_3,Default_Temp_3,0.00934719713614146,2.4550597902718505,0.014266141247615516,0.00934719713614146,0.00012411507017491108,0.00934719713614146,0.003049206306062376,0.017166335175380312,Temporal,L,Default_Temp,Temporal,"(1, 'Default_Temp', 0)"
77,7Networks_LH_Default_Temp_4,Default_Temp_4,0.007675328818651534,2.0027741988474452,0.04554452522747682,0.007675328818651534,0.00013669534620485254,0.007675328818651534,0.0018347428228148042,0.01550105265812451,Temporal,L,Default_Temp,Temporal,"(1, 'Default_Temp', 0)"
78,7Networks_LH_Default_Temp_5,Default_Temp_5,-0.017290773670916193,-2.110796327009505,0.03509763408011959,-0.01729077367091619,0.0002887155372622995,-0.017290773670916193,-0.033716096326355575,-0.0018150665627538352,Temporal,L,Default_Temp,Temporal,"(1, 'Default_Temp', 0)"
75,7Networks_LH_Default_Temp_2,Default_Temp_2,0.0018212077298125592,1.0000000000000004,0.3176222253285008,0.0018212077298125594,6.537754740783082e-05,0.0018212077298125592,0.0,0.005463623189437677,Temporal,L,Default_Temp,Temporal,"(1, 'Default_Temp', 0)"
187,7Networks_RH_Default_Temp_3,Default_Temp_3,0.03357844850227367,3.613951078981081,0.0003228315141081066,0.033578448502273685,0.00034845247686111496,0.03357844850227367,0.016803242028162236,0.05248099145832041,Temporal,R,Default_Temp,Temporal,"(1, 'Default_Temp', 1)"
