left_ventral_visual_cortex,left_dorsal_visual_cortex,left_LO,left_PFS,left_pIPS,left_aIPS,left_V1,right_ventral_visual_cortex,right_dorsal_visual_cortex,right_LO,right_PFS,right_pIPS,right_aIPS,right_V1
16769.12216055556,18546.749361930553,1302.0626772055557,2182.2868635000004,2317.3458950277777,2277.6664048444445,27542.274763888894,12470.715875000002,11228.768155555557,750.9856628166667,554.214001288889,2132.475026111111,2267.6065053333336,14938.326551388891
20705.99005777778,15451.456919124998,1445.53806665,1593.522218111111,2187.669385,1126.5442287333333,25241.441999999995,12573.387884722224,11972.915322222225,1107.011024388889,684.8889146694444,3316.6970089722217,2282.355590777778,17450.31073194444
14911.06063833333,18134.37053023611,1634.27741625,2276.768751444444,2326.2042771388888,1663.8275777444444,25136.447680555557,7673.895450000001,13111.476658333333,1009.1693432611111,581.0989018916666,2120.2468151666667,1767.5016155555556,16139.568993055553
17539.001826666663,20215.110584972223,1483.022079713889,1751.6295978333333,2188.1392904444447,1998.2052023444448,25599.72881944444,12095.688904166665,11951.715519444444,846.636218888889,1159.3979541861108,2142.3407372222223,2257.8320733888886,20931.013376388888
17553.12217611111,19209.85392076389,1895.390006233333,1888.2830683333332,2217.846225333333,1140.7616612,25320.009361111108,13441.537023611112,14752.093491666668,635.7315187222223,952.528850975,1952.8369183055556,1966.2036107777776,20137.509712500007
20928.83032222222,16350.85478023611,1301.504215511111,2509.9174005,2308.4301918333335,1387.0075988222222,23848.45263888889,10204.407198611112,14898.776299999998,998.3245154194442,658.8096971583333,1665.5209716666666,2257.1982026666665,17789.306370833332
16765.00894055555,20587.655777777774,1298.5522022694445,1992.4852668888889,1847.7998507222223,1928.6078975888886,27985.194305555553,11577.216877777777,11158.5221,375.6902597916667,989.1907305972222,2360.8197821111103,1896.4602051111115,17490.381980555554
15883.392481666666,14634.882361930555,1395.1996316222223,1890.4932008888889,2072.195660861111,1509.5605260444445,24941.230722222223,8766.865120833334,13418.450480555557,790.1174515388889,407.0350965194444,1726.419769027778,1647.5626151111114,17343.741974999997
17337.251748333332,17993.731611930554,1159.6973304111111,1909.4353389444445,2014.1150778611109,1350.2089167555555,27661.408819444445,8814.381613888889,15604.4564,914.9018747611111,872.3638801305555,2470.798545333333,1368.9548698333335,14614.528219444444
17403.048735,18715.03161275,1120.9002324111111,2006.6346636111111,2086.309224138889,2494.919613177777,30512.475402777774,12093.783088888891,13484.141116666668,1533.2749725388887,771.1837984166666,1781.8794912777778,2207.0276070555556,19979.871169444446
14274.397724444445,18173.645861930552,1276.6565559833332,2518.7166521666672,2622.3242499999997,945.5393058000001,23142.24895833333,10697.360666666667,11495.17711111111,1279.3769703166665,984.5707143805557,2090.1660034999995,2191.8475213333336,21012.707591666665
16679.29456,15810.211973861105,1485.4970344750002,2180.647788055556,2962.9720928333336,2002.0683106777776,26756.053624999997,12872.140925000002,12428.012955555554,1121.4239758555552,612.4909124999999,3385.017261638889,2439.620372055556,18595.988933333327
16428.95006,17475.74958497222,1129.988529186111,2138.668705722222,2001.067165777778,2157.7510115111118,23030.980888888895,9754.429388888888,13780.978275,477.5257451583332,880.6423025666666,2909.287605833333,2298.134237444445,16081.811926388888
15076.15376277778,17995.797446083332,1287.0783387722222,2319.4103123888885,2521.3465695833333,1807.2739716333333,29549.62044444444,10735.986276388889,13370.841341666666,711.5677815472222,909.1538452611112,1766.775606638889,1787.046270111111,19241.777691666663
13716.769663333333,17640.607249999997,1425.8432497333333,2102.5876799444445,1910.8179563333333,1732.017663577778,26970.196347222216,8538.693029166667,11373.671625,957.1211172527777,990.9282819638889,2664.428821833333,2117.7609495,16445.106680555553
16905.616326666666,20183.260223041663,1566.4084554361111,2161.094323388889,2188.193026972223,1615.4507205777777,29841.52138888889,11177.948730555556,13214.58550277778,876.9541431416666,1134.6695635944445,2172.407383861111,1835.572176111111,19307.005490277777
