left_ventral_visual_cortex,left_dorsal_visual_cortex,left_LO,left_PFS,left_pIPS,left_aIPS,left_V1,left_hemi,right_ventral_visual_cortex,right_dorsal_visual_cortex,right_LO,right_PFS,right_pIPS,right_aIPS,right_V1,right_hemi
17507.37559805976,15876.015746408038,1391.3374073240493,1828.3416024314033,2375.7043422725465,2422.327922973368,30810.419921875,84816.31884087456,12948.278828938803,13617.383483886719,1023.3175765275955,606.5733051300049,1814.2548780971103,2432.0013807084824,14903.463690863715,85954.83762613933
15736.227473153009,17329.89036904441,1317.5905989143585,2234.7934357325234,2576.544016626146,2149.424668033918,27325.385932074652,82821.03672281902,9094.211201985678,13531.052334255643,1036.308450990253,588.4786195755005,1708.8436350822449,1927.0986981921726,14603.489910549588,67167.41317749023
18269.383382161457,18393.862564139898,1552.987215605047,1917.202220386929,2175.0454321371185,1892.672042409579,30012.736382378473,85581.62445746528,11854.229085286459,14066.483174641928,1160.716059234407,776.7050067053901,1938.6784260008071,2482.7463468975493,19184.372965494793,66375.99631076389
12967.506077660455,15977.531226370069,1132.9100127352608,2292.897643831041,2483.3680262035796,1544.6393311619759,27976.671793619793,91337.85801188152,12345.082214355469,15997.695990668402,919.30701927344,984.7875050438774,2404.077258957757,2405.4339501063027,15534.148604498969,55745.187127007375
17835.12766096327,19993.973485363855,1058.1686653561062,2303.8332067065767,1804.0054640041458,1943.276379260752,26734.753824869793,72805.7643568251,12115.587415907117,13771.993862575955,816.917996512519,475.23657608032227,1578.991479502784,2382.9901106092666,17108.420398288305,53597.84202745226
14006.007908079358,16080.30645248625,1543.3167649706204,2192.826791445414,1363.4395194848378,1121.6456862423156,27873.975396050348,81331.76280381944,9817.855211046008,12916.45598687066,1090.16100622548,1088.532879617479,2227.241494178772,1989.4485456678603,19641.1688240899,66250.21281263564
17129.032647662694,14406.905216773352,1609.3844687077735,1810.3682137595283,2351.444991707802,2173.94232334031,27895.03146701389,97418.14493815105,11477.532592773438,13735.251898871527,845.4899197419485,667.1621690326267,2173.0934710502625,2152.6371007495454,16688.83439297146,75775.19407145183
14363.447186787924,18019.34333128399,1215.1240726047092,2323.66346528795,2258.4821366204155,1245.9555594921112,33653.66259765625,93794.98680962456,8816.337232801648,13112.030483669705,926.720875647333,861.3636378182305,2264.081325531006,2138.146826532152,19342.282187567816,67357.47727457683
14683.952666388617,13739.672744803958,1102.3830182419883,2604.6928480996025,2327.4160997602676,1007.5959260132578,20773.411458333332,93197.29160563152,11409.308810763889,13787.846048990885,1210.770871202151,697.0756692886353,2007.6297245555454,1547.6373280419243,16473.760892232258,75517.74897596572
20204.73042869568,14397.855425649219,1460.832066986296,1677.497248861525,1979.9543541603618,1969.204294535849,30244.19753689236,76889.40597195095,10795.298814561633,12840.762471516928,596.9936430454254,748.2172343995836,2219.935321331024,1115.3678562376235,17838.609567430285,64128.81860690647
13803.016210132175,19207.44384174877,1163.9758790996339,1768.117150730557,1792.9212715029716,1536.071214099725,28242.665581597223,73436.03151448567,11250.916700575086,15010.705084906684,874.6525683270561,912.6982623206245,1500.9355058140225,2190.6801138983833,18399.151613023547,74313.99004787869
15166.931153615316,18385.17975706524,1387.9479441775215,1996.3691545062595,1610.4996821549203,1679.1870288981331,29317.657552083332,75026.0102335612,11015.923414442273,12314.183417426215,581.8319132857853,960.3262271881104,2132.1621928744844,2389.3856042226157,18451.791559855144,64557.16235690647
15839.474229600695,19885.934403393003,1189.4507868687313,1984.0267271465725,1817.9965061214234,1629.7521221571499,24909.275282118055,83724.47498236762,13022.644022623697,14370.08450656467,714.5824633174473,704.1549096637302,2110.412521203359,1867.8184932072957,18050.67259470622,61031.8204820421
14941.586508433023,18288.37046983507,1428.6960117154651,2157.8294711642793,2134.0720457103516,1847.940834681193,27692.015245225695,81238.67702229817,13520.656758626303,13609.849934895834,854.4398540258408,564.1040017869738,2068.130582544539,1644.1281410853069,17549.774904886883,74033.63615926106
18338.07822057936,18558.96626965205,1445.5319678319825,2034.6602449417114,2370.5033479266694,1151.0528547432687,30323.22607421875,83218.75835503472,12298.513339572482,11449.521694607205,719.8185719516542,794.9396147198147,1749.5765900082058,1580.4391838709514,18346.401979234484,87701.21085951064
18403.786960813733,18720.096830632952,1545.084905160798,2147.35008070204,2207.67913106415,2004.2295254535145,25980.936279296875,78609.84635416667,8447.811564127604,12698.030585394965,839.9090121322208,1045.853022257487,1706.8218474917942,1426.9428278605144,18465.089616563586,61750.9083726671
19208.714463975695,16615.225221474964,1548.4813060031997,2190.937888039483,2482.15483962165,1865.5244822237228,25377.33189561632,83578.54366726345,9610.749484592014,10060.714728461371,1085.4973415136337,558.469096077813,2272.09821483824,2283.296974076165,17406.394276089137,67833.29361979167
15550.004205915662,16769.693612919913,1257.392124487294,2492.748587290446,1657.287024901973,2099.0053442517915,23209.96226671007,76618.82708740234,10821.458875868055,14571.318311903211,1066.5786954429414,889.8305505116781,1974.7985640631782,2027.7597294913398,17008.69749789768,61199.24699232313
18866.793051401775,21270.03739420573,1242.665288640393,1652.5548280080159,2028.155192885134,2731.208149691423,24296.46164279514,75237.93150499131,9659.501878526477,13028.34703233507,889.572843975491,554.6702772776285,1497.102056503296,2002.406546274821,16437.84692721897,67434.5757514106
16442.286703745525,15785.314435402552,1237.2233675850762,2209.4518372217813,2287.436967809995,1826.7140385243629,25461.866373697918,90516.23893229167,8314.991054958768,12266.971150716146,881.3459395037758,923.3229105207655,2452.802909904056,1138.3559834162395,17092.611588372125,70707.0940890842
20111.95210838318,15426.104602442847,1398.0520174503326,2451.84155008528,2481.433082011011,1685.2656057212089,28571.027533637152,89586.66035970052,10049.488783094617,10519.615898980035,934.858174363772,1018.7548156314426,2503.663302792443,2013.5302057266235,16515.415773179797,70998.52582465278
17525.574679904516,18131.553989860746,1532.455291138755,2345.2750954098174,2193.5431698494485,2154.976577288575,26631.953559027777,90004.83082411025,10605.554660373264,13053.629489474826,911.7121155394448,729.4568857616848,2188.110996617211,1285.4548645019531,18280.55783420139,57266.581905788844
16203.638020833334,17609.732146448558,1428.3546557558907,1783.8404100206162,2704.158452881707,1628.7707361247803,31154.604817708332,82239.83548990886,9253.936008029514,14500.234951443143,784.552091969384,900.0763704511854,2840.5768730375503,3086.1465561125015,16583.033637152777,69505.2892320421
15645.283651351929,16065.753814803229,1639.8186652527916,1784.718589676751,2640.660418430964,1700.9644103513824,27760.26841905382,71842.91621907552,11164.147555881076,13165.385294596354,699.7443986203936,1216.8305468029446,1637.2297107378643,1942.3282362620037,15922.515245225695,54611.893398708766
17172.671550750732,16081.399475971857,1328.53155340751,2116.5828382703994,2536.9191203647188,2426.436059978273,22420.942138671875,90691.33505588108,10050.318169487848,14526.84183078342,961.5412187311384,816.3425120247734,2838.0357143084207,1522.9929587046306,20947.543973286945,57736.4445054796
18033.07712258233,16602.437420368195,1400.8155786328846,2068.870431582133,2081.560812976625,955.4940133823288,26846.459798177082,74451.61669243706,8591.243435329861,14208.706671820746,857.5536295043098,898.5573671129015,1641.4489422374302,1585.6367780897353,16978.599570380316,56752.07362874349
