left_ventral_visual_cortex,left_dorsal_visual_cortex,left_LO,left_PFS,left_pIPS,left_aIPS,right_ventral_visual_cortex,right_dorsal_visual_cortex,right_LO,right_PFS,right_pIPS,right_aIPS
111291.93125000002,81701.85336111112,59843.21116666667,34519.657461111114,41823.04825000001,37333.359505555556,80397.64755555557,53873.50208333333,58311.91522222222,17461.733644444448,30146.973494444443,38591.15451111111
107357.33227777778,80331.69094444445,67172.21191666665,32864.705861111106,37186.265666666666,29815.927733333334,91409.4258888889,72362.31244444445,58146.241233333334,18745.07275,34355.05019722223,36023.55231666666
110230.08530555555,70331.76452777779,55755.21938888889,32039.008877777786,45978.70952777777,33273.524872222224,79313.93899999998,74715.98877777778,62754.70015,20410.89195,34776.65915555556,37959.881522222226
102161.12641666668,81906.19744444446,68198.81402777777,34187.13350833333,37769.72938888889,47315.88734444443,88140.93233333336,56039.02211111112,51589.51736388889,23260.88501666667,32381.81063888888,37081.10592777778
110610.13241666666,75133.33058333334,59356.332972222226,31720.865425,32814.36727777778,42380.11314444445,105436.12405555557,79868.28025000001,56301.2259,20803.816327777775,36782.939605555555,37457.26013333332
112014.21491666666,69117.08375,58238.99925,30445.677527777774,44353.64086111112,38343.02211388889,97758.00197222224,70724.41608333333,54223.68755833334,18297.87129444444,36132.8517361111,39625.02495555556
105021.4995,66207.02852777777,58478.48097222222,28117.41206388889,37887.28047222223,31996.72941666667,96487.79186111112,60459.64225,60070.94465000001,21047.253161111108,36024.76503055556,44454.11462777778
121091.79666666669,79601.86730555556,66412.08283333333,26884.654833333334,38247.199194444445,43039.133822222226,96285.7786388889,60478.713333333326,58008.347233333334,18036.686466666662,27955.925647222222,43937.983594444435
108696.12800000001,69743.70508333333,67404.73344444444,27601.941894444448,32119.504083333344,43727.96620833333,82091.41483333333,59982.54238888889,51818.000463888886,22838.73519444444,33054.94425833333,41612.07759444445
106386.239,72092.85291666667,63473.13891666667,30933.480666666674,42992.06055555556,36414.914177777784,100945.62572222222,56069.372472222225,55128.19312222222,22091.395099999998,36876.232127777774,38901.62635
111524.30172222221,63645.03491666667,61375.11638888888,32502.879877777777,41025.806722222216,36234.27142777778,99619.35716666667,62459.81494444443,57697.85653055555,18122.52263888889,29466.173111111115,35191.573305555554
116759.04000000001,72277.88030555558,53911.74491666667,29208.894933333337,38329.715722222216,43496.510463888895,95822.03338888889,65082.82852777779,57430.65078888889,22392.62663888889,31355.308724999995,35191.72186111112
88964.10633333333,65978.01944444445,59388.34883333334,37604.948488888884,37102.32630555555,37849.165652777774,97373.62741666666,61134.14947222223,50304.80431666666,21462.149727777778,39929.360758333336,34585.80112222221
116777.95872222223,72964.27733333335,61491.400555555556,29320.853786111118,36516.1171111111,39399.185775,103131.18516666666,62608.00741666668,57334.560574999996,22873.05561111111,33265.791597222225,37818.313533333334
94317.25311111112,68744.48949999998,74114.50227777778,33790.73705555556,46506.77086111111,34830.74387222222,97637.78086111111,62349.02825,64708.94504722221,23398.469777777776,29861.858583333335,42116.45887777777
110785.67338888888,85931.77791666667,62228.48299999999,36855.05016666667,34362.00336111112,40807.32409444445,100937.97463888889,69525.1420277778,52403.28369722222,22360.960766666667,27469.516919444446,36431.6902
120933.47899999999,67509.11769444445,63046.546500000004,32902.494008333335,39296.574861111105,40192.81098888889,83930.49516666667,89145.49716666665,65334.278852777774,20025.148088888887,31203.925075000003,49276.20904444444
91333.45408333333,74632.70219444444,61425.46163888889,27607.739036111114,39122.983194444445,35731.26904722223,80324.75027777778,69322.29688888889,55687.32966111111,21251.21615,36638.5374638889,34548.90664444444
111787.24850000002,61702.93744444445,63528.55291666666,30953.594691666665,39611.96672222223,36965.43823333333,84736.35716666668,57947.56497222223,52643.750855555554,26304.876361111106,33925.06348611111,39610.60836666667
103678.73033333334,82229.45061111111,65330.81638888888,29074.905488888893,40843.95208333334,40612.13703333333,77413.82758333332,78010.82533333331,54648.676855555546,19266.04957777778,35385.392547222225,43403.373044444445
112701.92322222222,70897.00591666666,62828.62536111112,37076.64084166667,35169.10969444444,44891.05816388889,96566.10480555556,65376.93077777777,66987.16144444444,22528.30933888889,37894.62846111111,46448.94124444443
95851.0328611111,82855.75608333334,54567.64858333333,33155.03617500001,36960.490055555565,37377.75010277778,91021.93136111111,74158.89308333333,60886.534649999994,17359.604994444442,30584.077797222224,34881.829350000015
