left_ventral_visual_cortex,left_dorsal_visual_cortex,left_LO,left_PFS,left_pIPS,left_aIPS,left_V1,right_ventral_visual_cortex,right_dorsal_visual_cortex,right_LO,right_PFS,right_pIPS,right_aIPS,right_V1
50971.75,74413.19444444444,16182.472222222223,10483.833333333334,29775.305555555555,31037.694444444445,24438.63888888889,49301.63888888889,70038.86111111111,16002.888888888889,7420.833333333333,26424.805555555555,33172.055555555555,25603.5
53242.666666666664,74188.72222222222,15760.583333333334,10456.833333333334,29679.333333333332,30170.583333333332,23842.166666666668,50014.944444444445,70002.94444444444,16327.833333333334,7252.75,26031.666666666668,33653.416666666664,25643.86111111111
51503.77777777778,73698.80555555556,15825.166666666666,10579.861111111111,29190.13888888889,31267.333333333332,24499.416666666668,50683.86111111111,70329.88888888889,15608.416666666666,7175.333333333333,25749.555555555555,33108.833333333336,26497.25
52655.75,73475.63888888889,15879.944444444445,10634.305555555555,29501.722222222223,30148.61111111111,23842.86111111111,48809.38888888889,69801.38888888889,15893.611111111111,7348.583333333333,25933.75,33500.166666666664,26161.5
50739.805555555555,73708.44444444444,15346.5,10589.25,29785.222222222223,30657.61111111111,25134.916666666668,49527.72222222222,71032.80555555556,16087.888888888889,7342.638888888889,26317.833333333332,32416.194444444445,25542.166666666668
51125.25,73724.83333333333,15777.111111111111,10657.166666666666,29677.055555555555,30983.555555555555,25523.305555555555,49837.833333333336,72514.22222222222,15901.083333333334,7175.888888888889,25642.277777777777,32775.13888888889,25276.055555555555
51288.416666666664,74577.47222222222,15844.055555555555,10767.75,29909.38888888889,30611.75,24033.666666666668,49475.805555555555,70872.25,16211.666666666666,7136.555555555556,26028.694444444445,32593.88888888889,25603.805555555555
52258.77777777778,73683.75,16168.388888888889,10561.694444444445,29643.277777777777,30158.5,25545.36111111111,51355.11111111111,71422.83333333333,16038.361111111111,7139.388888888889,25767.055555555555,33096.13888888889,25384.11111111111
51394.805555555555,75587.0,15802.75,10293.722222222223,28896.472222222223,30518.416666666668,25012.527777777777,49633.75,71046.19444444444,15820.805555555555,7268.972222222223,25998.083333333332,33053.13888888889,25927.63888888889
51942.805555555555,75103.02777777778,16315.972222222223,10934.111111111111,28776.416666666668,30588.63888888889,23942.13888888889,50523.52777777778,72482.80555555556,16126.805555555555,7031.222222222223,26157.333333333332,32284.11111111111,25561.555555555555
