left_ventral_visual_cortex,left_dorsal_visual_cortex,left_LO,left_PFS,left_pIPS,left_aIPS,right_ventral_visual_cortex,right_dorsal_visual_cortex,right_LO,right_PFS,right_pIPS,right_aIPS
50824.02777777778,72933.41666666667,15640.611111111111,10497.472222222223,29261.944444444445,30408.166666666668,49807.083333333336,70669.38888888889,15719.222222222223,7034.333333333333,25823.666666666668,33172.305555555555
50740.36111111111,74605.47222222222,15452.472222222223,10606.527777777777,29823.027777777777,31166.555555555555,50570.833333333336,71813.66666666667,15659.444444444445,7117.638888888889,26052.75,32145.805555555555
52053.61111111111,73823.77777777778,15719.555555555555,10370.361111111111,29058.305555555555,30509.13888888889,49508.52777777778,70067.16666666667,15897.666666666666,7306.916666666667,26287.166666666668,32378.083333333332
51363.88888888889,73383.91666666667,16160.333333333334,10742.416666666666,28986.277777777777,30388.055555555555,51283.38888888889,70442.0,16433.38888888889,7216.333333333333,25766.75,32039.694444444445
51273.02777777778,73055.91666666667,15746.305555555555,10549.777777777777,29315.0,30685.777777777777,49147.27777777778,71117.52777777778,15544.444444444445,7193.722222222223,26697.527777777777,33002.416666666664
51961.97222222222,73915.77777777778,15804.055555555555,10522.138888888889,29085.13888888889,30555.38888888889,50099.305555555555,70539.52777777778,15883.111111111111,7131.583333333333,25451.527777777777,32778.916666666664
50390.694444444445,74044.22222222222,16029.194444444445,10594.027777777777,30313.166666666668,31116.36111111111,50867.694444444445,70622.94444444444,16077.75,7423.694444444444,26069.416666666668,33315.805555555555
52162.63888888889,73393.63888888889,15832.638888888889,10419.555555555555,29123.222222222223,31237.833333333332,49605.75,70483.91666666667,15797.333333333334,7176.944444444444,25486.0,32997.22222222222
52809.47222222222,73049.5,15565.666666666666,10497.5,29082.166666666668,31002.88888888889,50676.555555555555,70079.66666666667,15864.416666666666,7193.444444444444,26451.444444444445,32695.75
51898.27777777778,73009.63888888889,15570.25,10425.361111111111,30224.75,30823.472222222223,50013.36111111111,70910.83333333333,16289.416666666666,7450.972222222223,25920.027777777777,32422.833333333332
52186.72222222222,74432.19444444444,15447.527777777777,10521.916666666666,29063.083333333332,31204.75,50227.02777777778,68959.97222222222,15491.333333333334,7080.444444444444,25727.0,33160.083333333336
50693.444444444445,72179.41666666667,15590.944444444445,10558.888888888889,29702.083333333332,29955.88888888889,50522.63888888889,70016.75,16089.0,7297.277777777777,26096.305555555555,32256.75
52400.416666666664,71928.41666666667,15361.305555555555,10767.0,29600.194444444445,31054.25,50711.916666666664,71042.11111111111,15796.194444444445,7140.555555555556,26145.63888888889,32902.38888888889
53012.11111111111,72420.52777777778,15847.944444444445,10668.527777777777,29730.972222222223,30157.5,49156.083333333336,69022.13888888889,15744.805555555555,7340.944444444444,26516.666666666668,33245.055555555555
50428.916666666664,74529.63888888889,15603.416666666666,10678.361111111111,29924.38888888889,30661.083333333332,49895.305555555555,73373.91666666667,16131.361111111111,7167.333333333333,25954.722222222223,32445.36111111111
51774.166666666664,72770.52777777778,16118.472222222223,10745.222222222223,29089.083333333332,30243.166666666668,49243.38888888889,69238.55555555556,15825.083333333334,7144.361111111111,25832.972222222223,32731.25
50466.47222222222,74029.38888888889,15463.527777777777,10559.111111111111,29827.5,29862.444444444445,49891.02777777778,70431.5,16100.527777777777,7043.361111111111,26033.86111111111,32192.222222222223
50622.833333333336,71900.69444444444,15966.666666666666,10517.527777777777,29346.11111111111,31365.083333333332,50991.11111111111,70209.02777777778,15976.444444444445,7239.611111111111,26178.305555555555,32969.666666666664
51890.38888888889,73395.08333333333,15644.638888888889,10465.25,30026.805555555555,30804.416666666668,49402.38888888889,70445.30555555556,15579.777777777777,7285.555555555556,26262.472222222223,31606.777777777777
52714.72222222222,73392.55555555556,16036.944444444445,10483.027777777777,29867.444444444445,30329.083333333332,50688.416666666664,71583.25,15977.027777777777,7244.666666666667,26796.055555555555,33213.86111111111
51758.805555555555,71673.91666666667,15438.333333333334,10547.527777777777,28868.86111111111,29496.88888888889,49645.055555555555,71052.91666666667,15718.833333333334,7085.055555555556,25893.88888888889,32249.61111111111
52042.805555555555,71329.13888888889,15758.472222222223,10826.75,28580.5,31089.11111111111,49662.47222222222,72099.0,15825.055555555555,7404.055555555556,26650.88888888889,33417.72222222222
50977.666666666664,73916.36111111111,15974.111111111111,10707.694444444445,29989.277777777777,30410.222222222223,49651.63888888889,71134.27777777778,15604.194444444445,7303.444444444444,25825.055555555555,32180.055555555555
51662.5,70829.41666666667,15534.527777777777,10295.972222222223,30206.277777777777,30714.805555555555,49720.694444444445,71855.05555555556,15841.0,7379.25,26633.63888888889,32955.38888888889
51634.5,73360.16666666667,15617.5,10667.972222222223,29136.666666666668,30916.166666666668,50650.944444444445,69485.72222222222,15807.944444444445,7118.027777777777,25652.083333333332,33467.305555555555
50421.86111111111,74965.5,15486.611111111111,10610.527777777777,29025.38888888889,30471.027777777777,49771.916666666664,69977.05555555556,15997.944444444445,7317.111111111111,25973.194444444445,33088.27777777778
51647.63888888889,74658.25,15554.361111111111,10635.527777777777,29180.472222222223,30985.472222222223,50921.86111111111,71278.22222222222,15879.638888888889,7224.861111111111,26029.527777777777,33425.166666666664
52156.72222222222,72478.08333333333,16623.055555555555,10774.472222222223,29974.916666666668,30745.722222222223,50099.194444444445,70855.0,15939.583333333334,7028.861111111111,26133.027777777777,33336.416666666664
51923.444444444445,72930.47222222222,15580.083333333334,10595.055555555555,29488.833333333332,29813.75,49850.86111111111,70443.97222222222,15861.333333333334,7246.027777777777,26120.583333333332,32373.444444444445
51155.47222222222,73022.02777777778,15385.722222222223,10275.777777777777,29481.166666666668,30885.444444444445,50635.25,71651.11111111111,16100.305555555555,7253.527777777777,25827.944444444445,32974.833333333336
52811.333333333336,74079.72222222222,15975.722222222223,10631.5,29878.222222222223,30545.25,50108.75,70475.80555555556,15813.444444444445,7203.666666666667,25814.11111111111,32271.222222222223
49362.61111111111,73489.66666666667,16009.333333333334,10576.694444444445,29201.25,31026.083333333332,50106.805555555555,70735.16666666667,16012.055555555555,7206.944444444444,25937.86111111111,32421.36111111111
52102.416666666664,73877.97222222222,15536.138888888889,10566.083333333334,29639.972222222223,30340.222222222223,49570.583333333336,70372.36111111111,16058.888888888889,7237.166666666667,26018.277777777777,32191.5
50636.61111111111,73397.41666666667,16036.888888888889,10547.805555555555,29998.777777777777,30635.472222222223,50689.055555555555,71393.72222222222,15886.611111111111,7162.666666666667,26243.555555555555,33175.97222222222
51360.666666666664,74261.83333333333,15729.416666666666,10539.805555555555,30071.444444444445,30146.86111111111,49808.36111111111,68795.55555555556,15832.388888888889,7124.916666666667,26460.25,32583.88888888889
53113.11111111111,74388.61111111111,15744.055555555555,10700.166666666666,29509.61111111111,30728.527777777777,49232.194444444445,70323.52777777778,15697.25,7134.777777777777,26172.833333333332,32630.777777777777
51916.25,73347.19444444444,15823.944444444445,10592.861111111111,29629.333333333332,30040.916666666668,49620.97222222222,70028.80555555556,16064.5,7347.277777777777,26593.555555555555,33016.583333333336
51983.805555555555,72625.97222222222,16068.805555555555,10738.972222222223,28306.666666666668,30527.194444444445,49787.805555555555,71081.94444444444,15882.583333333334,7420.861111111111,26248.222222222223,31834.11111111111
51399.25,74320.94444444444,15362.555555555555,10584.777777777777,29332.25,30770.555555555555,49720.444444444445,70007.08333333333,16040.944444444445,7197.305555555556,25422.666666666668,32667.472222222223
52974.916666666664,72587.16666666667,15563.083333333334,10591.333333333334,29170.805555555555,30934.38888888889,49790.5,70720.36111111111,16075.416666666666,7344.027777777777,26687.027777777777,32431.38888888889
51727.333333333336,73218.55555555556,15863.138888888889,10551.722222222223,30485.027777777777,29608.666666666668,50395.52777777778,70524.25,16262.277777777777,7323.0,26314.555555555555,32863.61111111111
51820.833333333336,72934.80555555556,15429.305555555555,10390.305555555555,29683.527777777777,30951.416666666668,50238.72222222222,71278.72222222222,15781.333333333334,7150.388888888889,26432.61111111111,33201.22222222222
51764.72222222222,74194.94444444444,15845.472222222223,10716.777777777777,28807.36111111111,31008.61111111111,48933.11111111111,70008.0,15561.555555555555,7269.277777777777,26557.38888888889,32775.72222222222
49748.97222222222,73322.58333333333,15645.583333333334,10443.833333333334,29952.75,30005.416666666668,49877.555555555555,70799.19444444444,15776.722222222223,7233.166666666667,26130.472222222223,33773.333333333336
51518.47222222222,72801.19444444444,16174.638888888889,10708.444444444445,29148.777777777777,30333.583333333332,50525.47222222222,70823.58333333333,15933.277777777777,7114.555555555556,25767.63888888889,32049.472222222223
51618.27777777778,75394.83333333333,15249.111111111111,10569.333333333334,29149.88888888889,31519.333333333332,50198.88888888889,71310.83333333333,15972.944444444445,7241.555555555556,25995.0,32846.02777777778
51929.833333333336,75128.41666666667,15841.527777777777,10832.888888888889,29414.36111111111,30787.305555555555,49922.02777777778,71047.44444444444,15624.333333333334,7201.861111111111,26090.777777777777,32740.416666666668
53285.0,74051.75,15849.527777777777,10671.305555555555,30324.0,30427.777777777777,51271.97222222222,71253.61111111111,15750.472222222223,7436.25,25655.527777777777,33099.11111111111
51719.75,73518.91666666667,15797.5,10585.666666666666,29719.305555555555,30548.055555555555,50314.13888888889,70244.16666666667,15810.222222222223,7283.583333333333,25272.416666666668,33241.305555555555
52059.27777777778,74585.55555555556,16361.388888888889,10382.083333333334,29399.61111111111,31358.194444444445,50703.88888888889,70307.77777777778,16074.555555555555,7164.972222222223,26101.86111111111,32487.194444444445
53023.5,73728.25,15415.166666666666,10422.472222222223,29903.25,30622.13888888889,49300.38888888889,72654.94444444444,15951.916666666666,7243.888888888889,26251.777777777777,32988.86111111111
52064.75,74851.19444444444,16250.833333333334,10615.027777777777,29600.833333333332,30080.63888888889,49667.22222222222,71016.44444444444,16165.25,7308.861111111111,25555.083333333332,32875.52777777778
52423.97222222222,73079.75,15759.027777777777,10675.861111111111,29206.027777777777,31075.444444444445,49661.083333333336,71572.5,15993.361111111111,7259.888888888889,26313.583333333332,32377.916666666668
51964.75,74394.19444444444,15288.138888888889,10482.666666666666,29341.805555555555,30939.61111111111,49427.666666666664,71226.33333333333,16130.694444444445,7343.388888888889,26156.0,33414.22222222222
52178.88888888889,72199.33333333333,15781.305555555555,10686.944444444445,28725.166666666668,30371.11111111111,51300.63888888889,69843.69444444444,15574.972222222223,7495.083333333333,26318.583333333332,32578.027777777777
51590.083333333336,73983.80555555556,15771.583333333334,10640.833333333334,28381.305555555555,30266.694444444445,50389.38888888889,71732.44444444444,16082.0,6965.888888888889,25997.027777777777,32910.02777777778
51287.63888888889,75112.80555555556,15979.027777777777,10411.444444444445,29877.36111111111,29949.63888888889,49770.86111111111,71137.72222222222,15533.222222222223,7213.416666666667,26648.527777777777,32235.63888888889
52190.22222222222,72944.27777777778,15898.25,10556.388888888889,28828.38888888889,30506.25,50464.555555555555,70699.08333333333,15968.222222222223,7293.444444444444,26735.194444444445,31926.444444444445
51284.27777777778,74659.69444444444,16090.416666666666,10431.194444444445,29848.055555555555,30123.416666666668,49288.36111111111,69452.88888888889,15868.027777777777,7294.472222222223,25612.75,32895.5
50351.333333333336,73829.97222222222,16097.638888888889,10764.305555555555,29435.86111111111,31523.027777777777,49432.833333333336,70589.86111111111,15722.277777777777,7238.472222222223,25907.777777777777,33100.666666666664
