left_ventral_visual_cortex,left_dorsal_visual_cortex,left_LO,left_PFS,left_pIPS,left_aIPS,left_V1,left_hemi,right_ventral_visual_cortex,right_dorsal_visual_cortex,right_LO,right_PFS,right_pIPS,right_aIPS,right_V1,right_hemi
4.357749554846022,4.61955710252126,3.79561441786149,3.766368732732885,3.3344279064072504,3.100660694970025,5.362192898085623,4.241089536084069,4.037261204286055,4.091174284617106,3.5010697320103645,3.4728857808642917,3.5910252001550464,3.118101464377509,4.7728193336062965,3.755237261454264
3.9766277565675625,4.337505479653676,3.664811372756958,3.6768830021222434,3.5512223376168146,3.062636845641666,5.258776168028514,4.046730008390215,4.013303729466029,3.946143090724945,3.546900565283639,3.5830700397491455,3.3731100029415555,3.1091959211561413,4.445188800493876,3.7590536342726812
4.241568110883236,4.497771057817671,3.629051260650158,3.831128633383549,3.4456028408474393,3.106309241718716,5.243669979712543,4.0912126368946495,3.9722777936193676,4.1772658758693275,3.3457669200319233,3.2834944865282845,3.3681430882877774,3.0552307102415295,4.438641018337673,3.72602422369851
4.176732652327594,4.586239026652442,3.791110336780548,3.773371748626232,3.120065192381541,3.094864467779795,5.3162142957959855,3.858606073591444,3.8747601018232456,3.997855524222056,3.4879539940092297,3.657570203145345,3.514106922679477,2.98323040538364,4.761013812488979,3.7114319801330566
4.3294870347687695,4.289804564581977,3.7646868649651024,3.736477533976237,3.488487442334493,3.07616302702162,5.109320335918003,3.943159884876675,3.982110991197474,4.070887903372447,3.4282100831761078,3.523477646612352,3.636672463681963,3.0569856100612216,4.623774475521511,3.768006549941169
4.088290084492076,4.459933711422814,3.633988352382884,3.755606123895356,3.4706577592425876,3.0946782098876104,5.372054311964247,4.079597473144531,3.786851812811459,4.0356859299871655,3.4224664008978642,3.593168174066851,3.5575780471165976,3.105433166027069,4.666893667644924,3.7802462180455527
4.128073886036873,4.3124592834048805,3.71953853484123,3.777342700958252,3.464419537120395,2.9999500711758933,5.011913363138834,3.983610146575504,3.9800621918269568,3.9946356217066445,3.523388577832116,3.440322254643296,3.553557369444105,3.037231789694892,4.611412670877245,3.710254477130042
4.3312600122557745,4.3895243472523156,3.6236806126201855,3.6170141624681875,3.2921622263060675,3.1153868238131204,5.299835161729292,4.063609990808699,4.0721723809838295,4.040036631955041,3.3167510827382407,3.6127912441889447,3.4981079035335116,2.9857766959402294,4.634456409348382,3.755890111128489
4.133852915330366,4.749169892734951,3.814381354195731,3.7079022680010114,3.3379954629474216,3.088712924056583,5.286649949410382,4.054163773854573,3.9185334584292244,4.17548241880205,3.4699162875904754,3.552027007511684,3.4850791560278997,3.091855890221066,4.729829298125373,3.772082487742106
4.187273677190145,4.615659005112118,3.6066269730076645,3.715017451959498,3.311879144774543,3.0489557319217258,5.113994768687657,3.7700054314401417,3.9349726608821323,3.981993794441223,3.3782517115275064,3.528769572575887,3.4016267193688288,3.171007043785519,4.575690971480475,3.846332954035865
4.221634169419606,4.556883745723301,3.569519107991999,3.6723098754882812,3.2904799580574036,3.1281367672814264,5.2286557535971365,3.9759428434901767,4.014873402459281,4.048893021212684,3.394969844818115,3.5558507365565144,3.3847343656751843,3.034591747654809,4.772884474860297,3.7930400702688427
4.046233322885302,4.690050237708622,3.7435040053199318,3.8216156512498856,3.442495154009925,3.278245833184984,5.175811297965772,4.077028592427571,4.008047163486481,3.9004841115739612,3.4023144926343645,3.382173942797112,3.4392268591456943,3.0813718967967563,4.668847428427802,3.7863309184710183
4.260970838142164,4.669867813587189,3.653185290448806,3.8164143902914867,3.4353456563419766,3.11258637242847,5.381820711824629,4.03204968240526,4.035152067456926,4.090621968110402,3.375358234752308,3.579959586262703,3.5251114898257785,2.98629668686125,4.558063652780321,3.7043618493609958
4.35704834320966,4.639647377861871,3.6110981211942783,3.9312853813171387,3.548951552973853,3.103580501344469,5.119443522559272,4.159753157032861,3.8108226832221535,4.056781464152866,3.4164347921098983,3.616910720693654,3.496205164326562,3.0288216008080378,4.517400516404046,3.841106202867296
