subject,seed_roi,seed_hemisphere,target_roi,target_hemisphere,task,analysis,mean_activation
sub-spaceloc2016,pIPS,right,LO,left,ToolLoc,ppi,-0.0028613292950407498
sub-spaceloc2016,pIPS,right,LO,right,ToolLoc,ppi,-0.005180881931525388
sub-spaceloc2016,aIPS,left,LO,left,ToolLoc,ppi,-0.0029918658565168663
sub-spaceloc2016,aIPS,left,LO,right,ToolLoc,ppi,-0.008007221402476339
sub-spaceloc2016,aIPS,right,LO,left,ToolLoc,ppi,-0.016326121026322908
sub-spaceloc2016,aIPS,right,LO,right,ToolLoc,ppi,-0.01740101334244675
sub-spaceloc2017,pIPS,left,LO,left,ToolLoc,ppi,0.0035321575951648178
sub-spaceloc2017,pIPS,left,LO,right,ToolLoc,ppi,0.008036569562133769
sub-spaceloc2017,pIPS,right,LO,left,ToolLoc,ppi,0.004762414939744094
sub-spaceloc2017,pIPS,right,LO,right,ToolLoc,ppi,0.00518972247664077
sub-spaceloc2017,aIPS,left,LO,left,ToolLoc,ppi,0.005478652902030642
sub-spaceloc2017,aIPS,left,LO,right,ToolLoc,ppi,0.0103369572394979
sub-spaceloc2017,aIPS,right,LO,left,ToolLoc,ppi,0.001373566594056651
sub-spaceloc2017,aIPS,right,LO,right,ToolLoc,ppi,0.0017280435884908369
sub-spaceloc2018,pIPS,left,LO,left,ToolLoc,ppi,0.04143122677452684
sub-spaceloc2018,pIPS,left,LO,right,ToolLoc,ppi,0.04642211504890969
sub-spaceloc2018,pIPS,right,LO,left,ToolLoc,ppi,-0.0040057270152046905
sub-spaceloc2018,pIPS,right,LO,right,ToolLoc,ppi,-0.0008458711531511397
sub-spaceloc2018,aIPS,left,LO,left,ToolLoc,ppi,0.0019833025578148574
sub-spaceloc2018,aIPS,left,LO,right,ToolLoc,ppi,0.007845637154325276
sub-spaceloc2018,aIPS,right,LO,left,ToolLoc,ppi,-0.0055935889099686395
sub-spaceloc2018,aIPS,right,LO,right,ToolLoc,ppi,-0.001375723497883241
