subject,seed_roi,seed_hemisphere,target_roi,target_hemisphere,task,analysis,mean_activation
sub-spaceloc1002,PFS,right,aIPS,left,ToolLoc,ppi,-0.007924496729434136
sub-spaceloc1002,PFS,right,aIPS,right,ToolLoc,ppi,-0.013748915419934995
sub-spaceloc1002,aIPS,left,pIPS,left,ToolLoc,ppi,0.01776150600085411
sub-spaceloc1002,aIPS,left,pIPS,right,ToolLoc,ppi,0.016349369614356967
sub-spaceloc1002,aIPS,left,LO,left,ToolLoc,ppi,0.01776150600085411
sub-spaceloc1002,aIPS,left,LO,right,ToolLoc,ppi,0.016349369614356967
sub-spaceloc1002,aIPS,left,PFS,left,ToolLoc,ppi,0.01776150600085411
sub-spaceloc1002,aIPS,left,PFS,right,ToolLoc,ppi,0.016349369614356967
sub-spaceloc1002,aIPS,left,aIPS,left,ToolLoc,ppi,0.01776150600085411
sub-spaceloc1002,aIPS,left,aIPS,right,ToolLoc,ppi,0.016349369614356967
sub-spaceloc1002,aIPS,right,pIPS,left,ToolLoc,ppi,0.013049557241675265
sub-spaceloc1002,aIPS,right,pIPS,right,ToolLoc,ppi,0.015609045858205906
sub-spaceloc1002,aIPS,right,LO,left,ToolLoc,ppi,0.013049557241675265
sub-spaceloc1002,aIPS,right,LO,right,ToolLoc,ppi,0.015609045858205906
sub-spaceloc1002,aIPS,right,PFS,left,ToolLoc,ppi,0.013049557241675265
sub-spaceloc1002,aIPS,right,PFS,right,ToolLoc,ppi,0.015609045858205906
sub-spaceloc1002,aIPS,right,aIPS,left,ToolLoc,ppi,0.013049557241675265
sub-spaceloc1002,aIPS,right,aIPS,right,ToolLoc,ppi,0.015609045858205906
sub-spaceloc1003,pIPS,left,pIPS,left,ToolLoc,ppi,0.01718083413902407
sub-spaceloc1003,pIPS,left,pIPS,right,ToolLoc,ppi,-0.0017728734219253802
sub-spaceloc1003,pIPS,left,LO,left,ToolLoc,ppi,0.01718083413902407
sub-spaceloc1003,pIPS,left,LO,right,ToolLoc,ppi,-0.0017728734219253802
sub-spaceloc1003,pIPS,left,PFS,left,ToolLoc,ppi,0.01718083413902407
sub-spaceloc1003,pIPS,left,PFS,right,ToolLoc,ppi,-0.0017728734219253802
sub-spaceloc1003,pIPS,left,aIPS,left,ToolLoc,ppi,0.01718083413902407
sub-spaceloc1003,pIPS,left,aIPS,right,ToolLoc,ppi,-0.0017728734219253802
sub-spaceloc1003,pIPS,right,pIPS,left,ToolLoc,ppi,5.1874769649103935e-05
sub-spaceloc1003,pIPS,right,pIPS,right,ToolLoc,ppi,-0.007702153238472067
sub-spaceloc1003,pIPS,right,LO,left,ToolLoc,ppi,5.1874769649103935e-05
sub-spaceloc1003,pIPS,right,LO,right,ToolLoc,ppi,-0.007702153238472067
sub-spaceloc1003,pIPS,right,PFS,left,ToolLoc,ppi,5.1874769649103935e-05
sub-spaceloc1003,pIPS,right,PFS,right,ToolLoc,ppi,-0.007702153238472067
sub-spaceloc1003,pIPS,right,aIPS,left,ToolLoc,ppi,5.1874769649103935e-05
sub-spaceloc1003,pIPS,right,aIPS,right,ToolLoc,ppi,-0.007702153238472067
sub-spaceloc1003,LO,left,pIPS,left,ToolLoc,ppi,0.003327599221640348
sub-spaceloc1003,LO,left,pIPS,right,ToolLoc,ppi,-0.012501956803303838
sub-spaceloc1003,LO,left,LO,left,ToolLoc,ppi,0.003327599221640348
sub-spaceloc1003,LO,left,LO,right,ToolLoc,ppi,-0.012501956803303838
