ROI_ID,Mean_Difference,Std_Error,SNR,p_value,Direction_Consistency,ROI_Name,Top_10_Percent,Top_25_Percent
78,0.01600535,0.0029489219,5.427526,5.05515604468578e-05,1.0,7Networks_LH_Default_Temp_5,False,False
79,0.03153317,0.00663936,4.749429,0.00021140747107128955,1.0,7Networks_LH_Default_Par_1,False,False
80,0.050731145,0.0075147795,6.7508492,3.577222608362951e-06,1.0,7Networks_LH_Default_Par_2,True,True
81,0.026875244,0.008176583,3.2868552,0.004971334616777095,1.0,7Networks_LH_Default_Par_3,False,False
82,0.032225814,0.005281483,6.1016603,1.2774825613034861e-05,1.0,7Networks_LH_Default_Par_4,False,True
83,0.012141161,0.0020561612,5.904771,1.8987768839305707e-05,1.0,7Networks_LH_Default_PFC_1,False,True
84,0.015538853,0.0027594513,5.631139,3.318581317712885e-05,1.0,7Networks_LH_Default_PFC_2,False,False
85,0.010407211,0.003144367,3.3097954,0.0047331059483016,1.0,7Networks_LH_Default_PFC_3,False,False
86,0.010517625,0.0033340394,3.1546195,0.0065911372844849395,1.0,7Networks_LH_Default_PFC_4,False,False
87,0.018630529,0.007341101,2.5378385,0.023733327728309467,1.0,7Networks_LH_Default_PFC_5,False,False
88,0.021831905,0.0076473765,2.8548229,0.0123895141288419,1.0,7Networks_LH_Default_PFC_6,False,False
89,0.012292404,0.0020417483,6.020529,1.5032635226639054e-05,1.0,7Networks_LH_Default_PFC_7,False,True
90,0.01184934,0.0021741162,5.450187,4.822774496660541e-05,1.0,7Networks_LH_Default_PFC_8,False,False
91,0.015116864,0.0023199033,6.516161,5.632948256595068e-06,1.0,7Networks_LH_Default_PFC_9,False,True
92,0.018730469,0.0035434281,5.285974,6.790771221772025e-05,1.0,7Networks_LH_Default_PFC_10,False,False
93,0.015762655,0.0040059835,3.934778,0.0012270446836304242,1.0,7Networks_LH_Default_PFC_11,False,False
94,0.02634909,0.0042547183,6.1929107,1.0648158760349743e-05,1.0,7Networks_LH_Default_PFC_12,False,True
95,0.020022193,0.0067576696,2.9628842,0.009883807452895889,1.0,7Networks_LH_Default_PFC_13,False,False
96,0.054530088,0.00733164,7.4376383,9.865278159821554e-07,1.0,7Networks_LH_Default_pCunPCC_1,True,True
97,0.051479097,0.011575312,4.447318,0.0004045281150394132,1.0,7Networks_LH_Default_pCunPCC_2,False,False
