ROI_ID,Mean_Difference,Std_Error,Signal_to_Noise,p_value,Subject_to_Group_Correlation,Above_Lower_Bound,ROI_Name,Significant_Bonferroni,Significant
59,0.008092802,0.002210973233071051,3.5626639940857374,0.00222443154199267,0.45909226577925055,False,7Networks_LH_Limbic_TempPole_3,False,False
60,0.013770927,0.005241213542967922,2.5573534197987238,0.0197929814318863,0.421575663317191,False,7Networks_LH_Limbic_TempPole_4,False,False
61,0.023052402,0.004812582848358149,4.662270067679301,0.00019383991867693716,0.47634731495360794,False,7Networks_LH_Cont_Par_1,True,False
62,0.028566375,0.005817957658773582,4.779077095631644,0.00015010107249685913,0.45498528527586085,False,7Networks_LH_Cont_Par_2,True,False
63,0.028111367,0.007968485822174716,3.4337256416911828,0.002961708844766167,0.3663186485830106,False,7Networks_LH_Cont_Par_3,False,False
64,0.018174538,0.004743403996745668,3.72934638336007,0.001534971261018921,0.4124482401499623,False,7Networks_LH_Cont_Temp_1,False,False
65,0.012579767,0.00266465279118843,4.595062593784321,0.00022467488168126238,0.5105373667258966,False,7Networks_LH_Cont_OFC_1,True,False
66,0.010511659,0.003533562499118859,2.8954624684765324,0.009639383625026912,0.38966234459688787,False,7Networks_LH_Cont_PFCl_1,False,False
67,0.018806165,0.006342796056204637,2.885884542766752,0.009840720871860673,0.4712950009852648,False,7Networks_LH_Cont_PFCl_2,False,False
68,0.01731106,0.005468183761488312,3.081342931164387,0.0064365827765891885,0.3362416701489373,False,7Networks_LH_Cont_PFCl_3,False,False
69,0.021684831,0.005217841269887778,4.045056860354195,0.0007596577628874053,0.4872895806635681,False,7Networks_LH_Cont_PFCl_4,False,False
70,0.026974678,0.006661800342091993,3.941160313864332,0.000957450271919427,0.45286957772546693,False,7Networks_LH_Cont_PFCl_5,False,False
71,0.07284173,0.010975713448858834,6.459619730217154,4.45796510300733e-06,0.6193322986364365,False,7Networks_LH_Cont_pCun_1,True,False
72,0.025423657,0.008937686276518725,2.7686775334705125,0.012657329803852884,0.4929554019319384,False,7Networks_LH_Cont_Cing_1,False,False
73,0.009071295,0.001916086039204853,4.6080134525509635,0.00021836795721315953,0.5078127697894448,False,7Networks_LH_Cont_Cing_2,True,False
74,0.009400618,0.002137284445082524,4.281082151611646,0.000449566430935167,0.43763968067880915,False,7Networks_LH_Default_Temp_1,False,False
75,0.0133538935,0.0037226063491420346,3.4915659313933736,0.0026050530321970883,0.5166079318641048,False,7Networks_LH_Default_Temp_2,False,False
76,0.017270604,0.00577099432472012,2.9128379509443096,0.009284244825758754,0.4466546095515552,False,7Networks_LH_Default_Temp_3,False,False
77,0.016852863,0.004968399996386265,3.3015401977221277,0.003967794056445243,0.4000604717355025,False,7Networks_LH_Default_Temp_4,False,False
78,0.016005348,0.002948921935114132,5.282765292661788,5.05516246865105e-05,0.4970228430373888,False,7Networks_LH_Default_Temp_5,True,False
79,0.03153317,0.006639360481478451,4.622754719149565,0.00021140747143530168,0.5283422438721908,False,7Networks_LH_Default_Par_1,True,False
80,0.050731137,0.007514778701910639,6.570793857712187,3.5772266955796164e-06,0.5958618458948637,False,7Networks_LH_Default_Par_2,True,False
81,0.026875244,0.008176583020988412,3.199189771421136,0.004971336504566364,0.40716236182733584,False,7Networks_LH_Default_Par_3,False,False
82,0.03222581,0.005281483334914658,5.938918627086557,1.277485375618439e-05,0.6152728166627256,False,7Networks_LH_Default_Par_4,True,False
83,0.012141162,0.0020561613555872445,5.747281761963202,1.898775122778946e-05,0.5832987396340621,False,7Networks_LH_Default_PFC_1,True,False
84,0.015538854,0.002759451405967261,5.480948137067796,3.318578365042093e-05,0.5211653356489382,False,7Networks_LH_Default_PFC_2,True,False
85,0.01040721,0.003144367040292999,3.2215179500875064,0.0047331080429941115,0.37994254360857765,False,7Networks_LH_Default_PFC_3,False,False
86,0.010517625,0.0033340394781889394,3.0704809504984807,0.006591135910259436,0.4053995729375042,False,7Networks_LH_Default_PFC_4,False,False
87,0.018630533,0.007341100428181748,2.470151225782162,0.023733292259936364,0.3941784566482774,False,7Networks_LH_Default_PFC_5,False,False
88,0.021831904,0.007647376984775893,2.7786802454847566,0.012389513590973806,0.4966823866492824,False,7Networks_LH_Default_PFC_6,False,False
89,0.012292403,0.0020417482758044456,5.859951875349425,1.5032639297533698e-05,0.5752045441614954,False,7Networks_LH_Default_PFC_7,True,False
90,0.01184934,0.002174116233133724,5.3048226812337225,4.822769626243563e-05,0.584928051029381,False,7Networks_LH_Default_PFC_8,True,False
91,0.015116864,0.0023199033236842434,6.342365673930795,5.632948378730296e-06,0.6302130975221333,False,7Networks_LH_Default_PFC_9,True,False
92,0.018730469,0.003543428465676577,5.144988739003595,6.790777277270477e-05,0.5795183597426665,False,7Networks_LH_Default_PFC_10,True,False
93,0.015762657,0.004005984103331103,3.8298315490353407,0.0012270438876911926,0.42233344990956156,False,7Networks_LH_Default_PFC_11,False,False
94,0.026349086,0.0042547185893808456,6.027735579866981,1.0648171418338485e-05,0.5642644306154627,False,7Networks_LH_Default_PFC_12,True,False
95,0.020022195,0.006757669607391023,2.883859987839176,0.0098837957498523,0.4898872489207669,False,7Networks_LH_Default_PFC_13,False,False
96,0.054530095,0.007331640415722688,7.239266441917094,9.865257741409858e-07,0.5938696798525358,False,7Networks_LH_Default_pCunPCC_1,True,False
97,0.05147909,0.011575311071138563,4.328701402478128,0.00040452830261816834,0.6097471117973328,False,7Networks_LH_Default_pCunPCC_2,False,False
98,0.01726149,0.003106346020392781,5.408638094583259,3.867388837576904e-05,0.5089580118656158,False,7Networks_LH_Default_pCunPCC_3,True,False
99,0.03461311,0.006217462642424958,5.4185975333715275,3.7865854168943974e-05,0.5081747052700896,False,7Networks_LH_Default_pCunPCC_4,True,False
100,0.018300105,0.004552950417699887,3.9121915028671017,0.0010212905391452924,0.43990128026588965,False,7Networks_LH_Default_PHC_1,False,False
101,0.023640942,0.005511189256739903,4.175215706277819,0.0005686887829338428,0.45202027638687897,False,7Networks_RH_Vis_1,False,False
102,0.026428346,0.006939937869847533,3.706583896616105,0.0016148057034377926,0.443683046651514,False,7Networks_RH_Vis_2,False,False
103,0.029530967,0.005802481406572401,4.953627616659675,0.00010265342043959074,0.42107898594909593,False,7Networks_RH_Vis_3,True,False
104,0.058757644,0.008891764748878454,6.431849181471346,4.711152612511201e-06,0.5519816557827749,False,7Networks_RH_Vis_4,True,False
105,0.057405204,0.007713954311596128,7.243253300422263,9.791536669143248e-07,0.6096651210008484,False,7Networks_RH_Vis_5,True,False
106,0.030751517,0.004170484395869476,7.176943171519789,1.109565690361742e-06,0.5692029862027419,False,7Networks_RH_Vis_6,True,False
107,0.036409747,0.006416372031685747,5.523159280796171,3.0358134688130406e-05,0.4952676586414638,False,7Networks_RH_Vis_7,True,False
108,0.05768346,0.006214280816931681,9.034827708284743,4.158013126632569e-08,0.6687437578251487,False,7Networks_RH_Vis_8,True,False
109,0.07136599,0.010550172705920008,6.58402042868306,3.485155108624865e-06,0.5562328853105244,False,7Networks_RH_Vis_9,True,False
110,0.035160102,0.0053861177901838855,6.3538026362471935,5.505422223721433e-06,0.55203050257344,False,7Networks_RH_Vis_10,True,False
111,0.040310644,0.004496176241382105,8.726415012731932,6.95669090959235e-08,0.6293939571631583,False,7Networks_RH_Vis_11,True,False
112,0.05747653,0.008131140946504661,6.880159639968744,1.955991406408539e-06,0.5938609909070166,False,7Networks_RH_Vis_12,True,False
113,0.072743215,0.011932857493792783,5.933452600839781,1.2919246247882467e-05,0.5434735693821782,False,7Networks_RH_Vis_13,True,False
114,0.061738573,0.006613043118242563,9.086877898648739,3.816436108348463e-08,0.645272760014785,False,7Networks_RH_Vis_14,True,False
115,0.05154518,0.010311471695908693,4.865493043070059,0.00012432021798012825,0.46247167630415215,False,7Networks_RH_Vis_15,True,False
116,0.018407706,0.00332291954078647,5.391868630978089,4.007461496668259e-05,0.5583102389385826,False,7Networks_RH_SomMot_1,True,False
117,0.018415136,0.003313481535312759,5.409409245349151,3.861069607971222e-05,0.5268157373525595,False,7Networks_RH_SomMot_2,True,False
118,0.022479257,0.008186281478065419,2.672727662230497,0.015524151918321172,0.43972038477659225,False,7Networks_RH_SomMot_3,False,False
119,0.023091936,0.0072767186720551005,3.088760276049847,0.006333077833380699,0.4677335914028318,False,7Networks_RH_SomMot_4,False,False
120,0.02802522,0.006657481845122472,4.0973067741373255,0.0006762612089145751,0.5039182242594267,False,7Networks_RH_SomMot_5,False,False
121,0.026071373,0.006567566003510297,3.863837995869655,0.0011374874501113277,0.47883420280720057,False,7Networks_RH_SomMot_6,False,False
122,0.014491952,0.0022452539201022587,6.282332092474496,6.3542286051962215e-06,0.5769031357118174,False,7Networks_RH_SomMot_7,True,False
123,0.025425894,0.0080668685843246,3.067825848500545,0.006629461232377213,0.4934962240881042,False,7Networks_RH_SomMot_8,False,False
124,0.020405237,0.0048901311915246605,4.061444893416619,0.0007324440323850804,0.47625460514896795,False,7Networks_RH_SomMot_9,False,False
125,0.020848928,0.0056650257760866695,3.5821296889451664,0.0021302075095921465,0.394600051920861,False,7Networks_RH_SomMot_10,False,False
126,0.017731061,0.0032845581604235346,5.254328616686733,5.371791441917224e-05,0.6022320244657365,False,7Networks_RH_SomMot_11,True,False
127,0.023513678,0.0042174972990549845,5.4265677251141495,3.723169690131149e-05,0.5278802259187949,False,7Networks_RH_SomMot_12,True,False
128,0.027263856,0.005367064868713469,4.944357745981956,0.00010473844904355058,0.5286764447626314,False,7Networks_RH_SomMot_13,True,False
129,0.024001041,0.004193343030184793,5.570948616910747,2.7453487491162343e-05,0.5595669762084359,False,7Networks_RH_SomMot_14,True,False
130,0.028279305,0.005311778620997297,5.181890126874952,6.273368683223056e-05,0.5768959443820151,False,7Networks_RH_SomMot_15,True,False
131,0.019909712,0.004932082915400154,3.929108834735588,0.0009835082395033875,0.4908222375731719,False,7Networks_RH_SomMot_16,False,False
132,0.024697166,0.004072619118365357,5.902456418358695,1.3770464708854483e-05,0.5263277453027273,False,7Networks_RH_SomMot_17,True,False
133,0.020621717,0.004063063813523139,4.940041640430654,0.00010572394166951537,0.5331798901683406,False,7Networks_RH_SomMot_18,True,False
134,0.02407256,0.005001645500465893,4.684560223952802,0.00018459206722262753,0.5100776191408697,False,7Networks_RH_SomMot_19,True,False
135,0.038801957,0.007168952815064851,5.268140629739647,5.215540469869828e-05,0.5058983713388443,False,7Networks_RH_DorsAttn_Post_1,True,False
136,0.019069081,0.003976620802394963,4.667400013060191,0.00019167069935569053,0.5043177816428637,False,7Networks_RH_DorsAttn_Post_2,True,False
137,0.01756362,0.0035803358893861585,4.774739985506346,0.0001515300468709492,0.4603898551308942,False,7Networks_RH_DorsAttn_Post_3,True,False
138,0.025149891,0.005747287887318764,4.259245025912781,0.00047188160932560967,0.4677223053417708,False,7Networks_RH_DorsAttn_Post_4,False,False
139,0.026760982,0.007739772137630613,3.3653739951556867,0.0034457430397422527,0.4730951828655395,False,7Networks_RH_DorsAttn_Post_5,False,False
140,0.0388349,0.006715583277682816,5.628567909932321,2.432729465029661e-05,0.5276422579037515,False,7Networks_RH_DorsAttn_Post_6,True,False
141,0.035924885,0.0073259903893095665,4.7729674866920115,0.00015211802143546508,0.4581738569234547,False,7Networks_RH_DorsAttn_Post_7,True,False
142,0.038954593,0.005901641036671086,6.424588899024778,4.77976583362862e-06,0.5271446967595502,False,7Networks_RH_DorsAttn_Post_8,True,False
143,0.044318214,0.006972173189201657,6.186906217941559,7.703116769091562e-06,0.5620887271667782,False,7Networks_RH_DorsAttn_Post_9,True,False
144,0.034810133,0.005465513438159346,6.19917887590632,7.5142383988254266e-06,0.5382892677658483,False,7Networks_RH_DorsAttn_Post_10,True,False
145,0.021847803,0.004024960961823034,5.283303512030292,5.049357505251356e-05,0.5064705964177847,False,7Networks_RH_DorsAttn_FEF_1,True,False
146,0.027437123,0.004745409837313146,5.62761406916554,2.4375950192841577e-05,0.5248593108600815,False,7Networks_RH_DorsAttn_FEF_2,True,False
147,0.018549716,0.00417851801382188,4.320902041905151,0.0004115800617561489,0.5032888482275762,False,7Networks_RH_DorsAttn_PrCv_1,False,False
148,0.020639274,0.003265989819950886,6.150905422363909,8.285960058528881e-06,0.5814575486277279,False,7Networks_RH_SalVentAttn_TempOccPar_1,True,False
149,0.021415798,0.004807223399615646,4.336101154001371,0.0003979507204635767,0.5474379019517648,False,7Networks_RH_SalVentAttn_TempOccPar_2,False,False
150,0.023082262,0.00510795419590201,4.398360338219579,0.0003467188357692361,0.5797995034801332,False,7Networks_RH_SalVentAttn_TempOccPar_3,False,False
151,0.022759955,0.005328027040626137,4.157808221559958,0.0005911233594723325,0.4741579180485324,False,7Networks_RH_SalVentAttn_PrC_1,False,False
152,0.013584661,0.004501957882387212,2.9370194961662275,0.00881097855454321,0.45491291072807816,False,7Networks_RH_SalVentAttn_FrOperIns_1,False,False
153,0.01426098,0.0026507294202446443,5.236528130425791,5.58025750378604e-05,0.5406838031975847,False,7Networks_RH_SalVentAttn_FrOperIns_2,True,False
154,0.026720142,0.006769425610768075,3.841903082654837,0.0011944736314639813,0.596222035586834,False,7Networks_RH_SalVentAttn_FrOperIns_3,False,False
155,0.019374529,0.006088191901208393,3.0974354795415104,0.006214077751443126,0.41762181430270795,False,7Networks_RH_SalVentAttn_FrOperIns_4,False,False
156,0.017066812,0.005275167116459632,3.149021561905052,0.005550231996693568,0.3968385165851367,False,7Networks_RH_SalVentAttn_Med_1,False,False
157,0.03530412,0.007580156113879259,4.533219353876012,0.0002574393217438727,0.5417216929950213,False,7Networks_RH_SalVentAttn_Med_2,False,False
158,0.024449086,0.005770042682848844,4.1242315497796085,0.0006369458248606246,0.5480372143027029,False,7Networks_RH_SalVentAttn_Med_3,False,False
159,0.008220968,0.0022439191857578796,3.5659496504399097,0.002208242057781383,0.4040566251466149,False,7Networks_RH_Limbic_OFC_1,False,False
