ROI_ID,Mean_Difference,Std_Error,Signal_to_Noise,CI_Lower,CI_Upper,Direction_Consistency,p_value,Significant_Bonferroni,Above_Reliability_Threshold,Above_SNR_Threshold,ROI_Name,Significant
64,0.018174538,0.0047434038,3.8315394,0.00985051563475281,0.02819987921975553,0.05263158,0.001534971055402018,False,True,True,7Networks_LH_Cont_Temp_1,True
65,0.012579767,0.0026646527,4.7209783,0.007835309160873294,0.01816691872663796,0.47368422,0.00022467494612396835,True,True,True,7Networks_LH_Cont_OFC_1,True
66,0.010511659,0.0035335626,2.9748049,0.004861729743424803,0.018353430740535255,0.36842105,0.009639382846854564,False,True,True,7Networks_LH_Cont_PFCl_1,True
67,0.018806163,0.0063427957,2.9649644,0.00938850250095129,0.03306529261171818,0.05263158,0.009840720012377999,False,True,True,7Networks_LH_Cont_PFCl_2,True
68,0.01731106,0.005468184,3.1657786,0.007953193783760071,0.029097626358270644,0.05263158,0.006436583828255346,False,True,True,7Networks_LH_Cont_PFCl_3,True
69,0.021684831,0.005217841,4.155901,0.012656560516916215,0.03285634126514196,0.36842105,0.0007596576818580151,False,True,True,7Networks_LH_Cont_PFCl_4,True
70,0.026974678,0.0066617997,4.0491576,0.015339652472175658,0.04118355857208371,0.15789473,0.000957450271919427,False,True,True,7Networks_LH_Cont_PFCl_5,True
71,0.072841726,0.010975713,6.636628,0.05284191705286503,0.09565190579742192,1.0,4.457964643422572e-06,True,True,True,7Networks_LH_Cont_pCun_1,True
72,0.025423655,0.008937686,2.8445456,0.012871240312233568,0.04530932838097214,0.68421054,0.012657328594506663,False,True,True,7Networks_LH_Cont_Cing_1,True
73,0.009071297,0.001916086,4.734285,0.0057132370187900966,0.013139057788066564,0.05263158,0.00021836792685786432,True,True,True,7Networks_LH_Cont_Cing_2,True
74,0.009400617,0.0021372843,4.3983936,0.0055204195086844265,0.013855889555998145,0.05263158,0.00044956645918703896,False,True,True,7Networks_LH_Default_Temp_1,True
75,0.013353892,0.0037226062,3.5872426,0.007570063322782517,0.021667808480560772,0.36842105,0.002605053971960196,False,True,True,7Networks_LH_Default_Temp_2,True
76,0.017270604,0.0057709944,2.9926565,0.00804077167995274,0.029969424102455365,0.15789473,0.009284245391837262,False,True,True,7Networks_LH_Default_Temp_3,True
77,0.016852867,0.004968399,3.3920114,0.008490737760439515,0.027609608229249707,0.05263158,0.003967793489782972,False,True,True,7Networks_LH_Default_Temp_4,True
