ROI_ID,pIPS_Connectivity,LO_Connectivity,Difference,Abs_Difference,CI_Lower,CI_Upper,Bootstrap_Significant,LOO_Reliability,LOO_Significant,Combined_Significant,ROI_Name,Direction
42,0.06911314580295431,0.05538429597723543,0.013728849825718883,0.013728849825718883,0.0009384929839717814,0.027795557952853583,True,0.0002998753256410269,False,False,7Networks_LH_DorsAttn_FEF_2,pIPS > LO
43,0.06046989158188042,0.0695619766453379,-0.009092085063457489,0.009092085063457489,-0.017418186148432525,-0.0012851310207655567,True,0.00012697132170596276,False,False,7Networks_LH_DorsAttn_PrCv_1,LO > pIPS
44,0.06163542603730763,0.05574282503833896,0.0058926009989686695,0.0058926009989686695,-0.008363048504351782,0.02212218132948403,False,0.00011424883484559052,False,False,7Networks_LH_SalVentAttn_ParOper_1,pIPS > LO
45,0.05227534291579535,0.040410010928386135,0.011865331987409217,0.011865331987409217,-0.0036852518286506924,0.026485396651122227,False,0.0003007008737149705,False,False,7Networks_LH_SalVentAttn_ParOper_2,pIPS > LO
46,0.05114152777547899,0.04347337512789588,0.00766815264758311,0.00766815264758311,-0.0027777774265575184,0.01808071043219809,False,0.00014213157966572442,False,False,7Networks_LH_SalVentAttn_ParOper_3,pIPS > LO
47,0.03513320523167127,0.028470901515040743,0.006662303716630531,0.006662303716630531,0.0005097846445431448,0.012856203149146352,True,7.402844111349162e-05,False,False,7Networks_LH_SalVentAttn_FrOperIns_1,pIPS > LO
48,0.03538241353817284,0.040600499432337914,-0.005218085894165073,0.005218085894165073,-0.018207413713006597,0.012025521847872847,False,0.00014182132039625042,False,False,7Networks_LH_SalVentAttn_FrOperIns_2,LO > pIPS
49,0.038906093564276635,0.03096375574578384,0.007942337818492795,0.007942337818492795,-0.005466644981061109,0.02678512587567399,False,0.00010269410665195561,False,False,7Networks_LH_SalVentAttn_FrOperIns_3,pIPS > LO
50,0.04437747747196179,0.04188628831731254,0.0024911891546492496,0.0024911891546492496,-0.011263144589458155,0.017294155384757013,False,6.472690427451683e-05,False,False,7Networks_LH_SalVentAttn_FrOperIns_4,pIPS > LO
51,0.04589178064519441,0.04222047902447613,0.003671301620718284,0.003671301620718284,-0.0036988601284591756,0.011105573135520033,False,4.970176523341565e-05,False,False,7Networks_LH_SalVentAttn_PFCl_1,pIPS > LO
52,0.05787516409825338,0.06565665549255516,-0.00778149139430178,0.00778149139430178,-0.015002228821456241,-0.0007432847908747076,True,0.00010391228301230267,False,False,7Networks_LH_SalVentAttn_Med_1,LO > pIPS
53,0.07201163482233441,0.05128092855509175,0.020730706267242667,0.020730706267242667,0.007897380250123149,0.032311839386008935,True,0.0006051126981888349,False,False,7Networks_LH_SalVentAttn_Med_2,pIPS > LO
54,0.06919738062118229,0.07058448702293008,-0.0013871064017477869,0.0013871064017477869,-0.012849863773015766,0.011996906483545866,False,4.608030875830933e-05,False,False,7Networks_LH_SalVentAttn_Med_3,LO > pIPS
55,0.029939015101837486,0.030910524515140998,-0.0009715094133035118,0.0009715094133035118,-0.006943842185979808,0.004491448790251622,False,1.1523781464448622e-05,False,False,7Networks_LH_Limbic_OFC_1,LO > pIPS
56,0.019585262524503235,0.02090658014640212,-0.0013213176218988855,0.0013213176218988855,-0.005327910896065939,0.002838443204956612,False,1.0164876345581122e-05,False,False,7Networks_LH_Limbic_OFC_2,LO > pIPS
57,0.02034095020682894,0.023065529817310897,-0.002724579610481958,0.002724579610481958,-0.008830728731347909,0.00540663494217657,False,3.7454415678037466e-05,False,False,7Networks_LH_Limbic_TempPole_1,LO > pIPS
58,0.02107628754732248,0.02602070371473306,-0.0049444161674105785,0.0049444161674105785,-0.00915817079581565,-0.0006133858126735242,True,4.250349501215405e-05,False,False,7Networks_LH_Limbic_TempPole_2,LO > pIPS
59,0.018034405068120624,0.02285412200236399,-0.004819716934243365,0.004819716934243365,-0.00930279202199783,0.00013260896620952934,False,4.2943059209129846e-05,False,False,7Networks_LH_Limbic_TempPole_3,LO > pIPS
60,0.01799568182813298,0.020521338342836027,-0.0025256565147030487,0.0025256565147030487,-0.008804988128586527,0.002782400160121094,False,1.848751199943325e-05,False,False,7Networks_LH_Limbic_TempPole_4,LO > pIPS
61,0.05332068204389591,0.04818791718418269,0.005132764859713222,0.005132764859713222,-0.006311451247586904,0.016559351641243614,False,9.916590522596557e-05,False,False,7Networks_LH_Cont_Par_1,pIPS > LO
62,0.08868960639167774,0.08531070645825055,0.0033788999334271874,0.0033788999334271874,-0.008254041932952155,0.016439545583470085,False,6.19903550718579e-05,False,False,7Networks_LH_Cont_Par_2,pIPS > LO
63,0.08215036748075172,0.08882496966735313,-0.006674602186601417,0.006674602186601417,-0.0185774237187089,0.006009612127060168,False,0.0001409924665346156,False,False,7Networks_LH_Cont_Par_3,LO > pIPS
64,0.050438974934973214,0.05429127322215783,-0.0038522982871846134,0.0038522982871846134,-0.010244838143453784,0.002384240500089761,False,4.331021972215972e-05,False,False,7Networks_LH_Cont_Temp_1,LO > pIPS
65,0.033453539945185184,0.03215870066349836,0.0012948392816868257,0.0012948392816868257,-0.006148794280536666,0.009154799764081343,False,1.961309581407931e-05,False,False,7Networks_LH_Cont_OFC_1,pIPS > LO
66,0.022417288170943624,0.021438290064811315,0.0009789981061323096,0.0009789981061323096,-0.004848420517603363,0.008200713184181174,False,1.3367737248065312e-05,False,False,7Networks_LH_Cont_PFCl_1,pIPS > LO
67,0.03944562283638669,0.036871389927048435,0.002574232909338253,0.002574232909338253,-0.008371093608500238,0.01587145414209532,False,5.2398236720538444e-05,False,False,7Networks_LH_Cont_PFCl_2,pIPS > LO
68,0.03969892353550102,0.038456030410567395,0.0012428931249336278,0.0012428931249336278,-0.007293462824887492,0.010973401767229296,False,2.8046631356014156e-05,False,False,7Networks_LH_Cont_PFCl_3,pIPS > LO
69,0.06183287692501357,0.07634964948029895,-0.014516772555285377,0.014516772555285377,-0.023305727364985568,-0.006180719820488445,True,0.0002449516463939982,False,False,7Networks_LH_Cont_PFCl_4,LO > pIPS
70,0.0830417706778175,0.09730977761118036,-0.014268006933362859,0.014268006933362859,-0.024757044634928817,-0.004539892562714072,True,0.0002615119947324456,False,False,7Networks_LH_Cont_PFCl_5,LO > pIPS
71,0.10272140722525747,0.039257502526436984,0.06346390469882049,0.06346390469882049,0.04683191639916529,0.08054468703983156,True,0.003978833639972037,True,True,7Networks_LH_Cont_pCun_1,pIPS > LO
72,0.06118220882490277,0.03907069930880282,0.022111509516099956,0.022111509516099956,0.008506268335775911,0.04102638515530422,True,0.0005019567192308641,False,False,7Networks_LH_Cont_Cing_1,pIPS > LO
73,0.039301331988290736,0.04283966832965808,-0.003538336341367347,0.003538336341367347,-0.009586952250499868,0.0019866198717959586,False,3.364875870945052e-05,False,False,7Networks_LH_Cont_Cing_2,LO > pIPS
74,0.02194677562281293,0.02418393116615909,-0.0022371555433461573,0.0022371555433461573,-0.007627188129117712,0.0038431581652012495,False,2.2113800408735364e-05,False,False,7Networks_LH_Default_Temp_1,LO > pIPS
75,0.030405955554574336,0.035388211915759665,-0.004982256361185329,0.004982256361185329,-0.011388300369358869,0.0016396152656709153,False,5.8535126415427525e-05,False,False,7Networks_LH_Default_Temp_2,LO > pIPS
76,0.04116420677851956,0.04174485533057075,-0.0005806485520511856,0.0005806485520511856,-0.007980975556658543,0.006715417997489369,False,1.516403008593777e-05,False,False,7Networks_LH_Default_Temp_3,LO > pIPS
