ROI_ID,ROI_Name,Difference,CI_Lower,CI_Upper,LOO_Reliability,Combined_Significant,Direction
99,7Networks_LH_Default_pCunPCC_4,0.03272915,0.02266431087628007,0.0443797972984612,1.0,True,pIPS > LO
100,7Networks_LH_Default_PHC_1,0.003420353,-0.006659864075481891,0.01236316580325365,0.631578947368421,False,pIPS > LO
101,7Networks_RH_Vis_1,-0.027534872,-0.03798766965046525,-0.01891625737771392,1.0,True,LO > pIPS
102,7Networks_RH_Vis_2,-0.0024333894,-0.018229304952546953,0.009592578536830836,0.3684210526315789,False,LO > pIPS
103,7Networks_RH_Vis_3,-0.03117814,-0.04613111419603229,-0.01687358026392758,0.7894736842105263,True,LO > pIPS
104,7Networks_RH_Vis_4,0.04874212,0.02844940610229969,0.06498730685561896,0.9473684210526315,True,pIPS > LO
105,7Networks_RH_Vis_5,-0.062409155,-0.07472012303769589,-0.05004731137305498,1.0,True,LO > pIPS
106,7Networks_RH_Vis_6,-0.008467242,-0.022855873871594667,0.006469625025056302,0.631578947368421,False,LO > pIPS
107,7Networks_RH_Vis_7,0.0277888,0.015175908897072076,0.03882459998130798,0.8947368421052632,True,pIPS > LO
108,7Networks_RH_Vis_8,-0.05713991,-0.06582140624523163,-0.04753204761072993,1.0,True,LO > pIPS
109,7Networks_RH_Vis_9,0.075985916,0.05833332734182477,0.09375847037881613,0.9473684210526315,True,pIPS > LO
110,7Networks_RH_Vis_10,0.033254582,0.021252818405628204,0.0452981018461287,0.8947368421052632,True,pIPS > LO
111,7Networks_RH_Vis_11,-0.020462245,-0.03563914867118001,-0.004620398534461882,0.6842105263157895,False,LO > pIPS
112,7Networks_RH_Vis_12,0.065121435,0.05009864810854196,0.07926255296915768,1.0,True,pIPS > LO
113,7Networks_RH_Vis_13,0.07460722,0.05662446953356266,0.09547696802765128,1.0,True,pIPS > LO
114,7Networks_RH_Vis_14,0.06933883,0.056269995868206024,0.08167506512254476,0.9473684210526315,True,pIPS > LO
