ROI_ID,ROI_Name,Difference,CI_Lower,CI_Upper,LOO_Reliability,Combined_Significant
113,7Networks_RH_Vis_13,0.07460722,0.05634975656867027,0.09500265084207057,1.0,True
114,7Networks_RH_Vis_14,0.06933883,0.05618622880429029,0.08192906025797128,0.9473684210526315,True
115,7Networks_RH_Vis_15,0.042046227,0.023375887330621483,0.0632552707567811,0.7894736842105263,True
116,7Networks_RH_SomMot_1,0.011435159,0.0029402065731119367,0.020846659829840065,0.631578947368421,False
117,7Networks_RH_SomMot_2,0.0085505545,-0.0015324776788474986,0.018546432070434087,0.631578947368421,False
118,7Networks_RH_SomMot_3,0.015518665,0.002089068910572678,0.036248281784355636,0.7368421052631579,False
119,7Networks_RH_SomMot_4,0.017219082,0.004663037031423301,0.03598596462979911,0.7368421052631579,False
120,7Networks_RH_SomMot_5,0.021014355,0.00839409411419183,0.03625215161591768,0.7894736842105263,True
121,7Networks_RH_SomMot_6,0.020921793,0.008022810914553702,0.03747676480561493,0.7894736842105263,True
122,7Networks_RH_SomMot_7,0.005780369,-0.0014157322963001206,0.012962949695065616,0.5263157894736842,False
123,7Networks_RH_SomMot_8,0.009375282,-0.007000046654138714,0.021682219626381984,0.7894736842105263,False
124,7Networks_RH_SomMot_9,0.0040467456,-0.005963783490005881,0.0135245018871501,0.631578947368421,False
125,7Networks_RH_SomMot_10,0.005574569,-0.005725676764268428,0.015028290729969737,0.6842105263157895,False
126,7Networks_RH_SomMot_11,0.0074004494,-0.0005178470455575734,0.014502787357196211,0.7368421052631579,False
127,7Networks_RH_SomMot_12,0.011875473,0.003245920827612281,0.02048563733696937,0.631578947368421,False
128,7Networks_RH_SomMot_13,0.021435343,0.011979099083691835,0.03131809644401073,0.8947368421052632,True
129,7Networks_RH_SomMot_14,0.014846981,0.0045172061771154405,0.025177105283364653,0.6842105263157895,False
130,7Networks_RH_SomMot_15,0.022133194,0.01234535095281899,0.03236643690615891,0.8947368421052632,True
131,7Networks_RH_SomMot_16,0.014449663,0.0052651042817160485,0.026152025116607545,0.7894736842105263,True
132,7Networks_RH_SomMot_17,0.020512331,0.012406737008132041,0.028968538669869304,0.8421052631578947,True
133,7Networks_RH_SomMot_18,0.011713542,0.001664716369123198,0.02253599721007049,0.5789473684210527,False
134,7Networks_RH_SomMot_19,0.016838722,0.006277022347785532,0.028860216727480292,0.6842105263157895,False
135,7Networks_RH_DorsAttn_Post_1,-0.037103325,-0.053425456210970876,-0.022447108523920182,0.8947368421052632,True
136,7Networks_RH_DorsAttn_Post_2,-0.004842967,-0.013932957127690314,0.004952772369142618,0.631578947368421,False
137,7Networks_RH_DorsAttn_Post_3,0.011286888,0.0018934059859020635,0.019746272871270776,0.7368421052631579,False
