parcel,schaefer_resolution,schaefer_index,schaefer_name,overlap_percentage,unique_coverage,cumulative_unique_coverage
aIPS,200,36,7Networks_LH_DorsAttn_Post_7,0.07049638778839432,0.07049638778839432,0.16732696341179212
aIPS,200,114,7Networks_RH_Vis_15,0.06035889070146819,0.06035889070146819,0.2276858541132603
aIPS,200,32,7Networks_LH_DorsAttn_Post_3,0.05488231181542764,0.05488231181542764,0.28256816592868794
aIPS,200,142,7Networks_RH_DorsAttn_Post_9,0.05406665113027266,0.05406665113027266,0.3366348170589606
aIPS,200,139,7Networks_RH_DorsAttn_Post_6,0.050337916569564205,0.050337916569564205,0.3869727336285248
aIPS,200,143,7Networks_RH_DorsAttn_Post_10,0.04847354928920997,0.04847354928920997,0.4354462829177348
aIPS,200,166,7Networks_RH_Cont_Par_3,0.0464926590538336,0.0464926590538336,0.4819389419715684
aIPS,200,38,7Networks_LH_DorsAttn_Post_9,0.04416219995339082,0.04416219995339082,0.5261011419249592
aIPS,200,61,7Networks_LH_Cont_Par_2,0.04404567699836868,0.04404567699836868,0.5701468189233279
aIPS,200,39,7Networks_LH_DorsAttn_Post_10,0.038802144022372406,0.038802144022372406,0.6089489629457002
aIPS,200,37,7Networks_LH_DorsAttn_Post_8,0.03705429969704032,0.03705429969704032,0.6460032626427405
aIPS,200,140,7Networks_RH_DorsAttn_Post_7,0.031577720810999764,0.031577720810999764,0.6775809834537403
aIPS,200,35,7Networks_LH_DorsAttn_Post_6,0.028431601025402004,0.028431601025402004,0.7060125844791423
aIPS,200,70,7Networks_LH_Cont_pCun_1,0.02540200419482638,0.02540200419482638,0.7314145886739687
aIPS,200,113,7Networks_RH_Vis_14,0.019459333488697272,0.019459333488697272,0.7508739221626659
aIPS,200,24,7Networks_LH_SomMot_11,0.01642973665812165,0.01642973665812165,0.7673036588207875
aIPS,200,111,7Networks_RH_Vis_12,0.015031461197855978,0.015031461197855978,0.7823351200186435
aIPS,200,176,7Networks_RH_Cont_pCun_1,0.014914938242833839,0.014914938242833839,0.7972500582614773
aIPS,200,13,7Networks_LH_Vis_14,0.014099277557678863,0.014099277557678863,0.8113493358191561
aIPS,200,12,7Networks_LH_Vis_13,0.012351433232346772,0.012351433232346772,0.8237007690515029
aIPS,200,199,7Networks_RH_Default_pCunPCC_3,0.00908879049172687,0.00908879049172687,0.8327895595432298
aIPS,200,81,7Networks_LH_Default_Par_4,0.008739221626660453,0.008739221626660453,0.8415287811698902
aIPS,200,98,7Networks_LH_Default_pCunPCC_4,0.008273129806571895,0.008273129806571895,0.8498019109764621
aIPS,200,127,7Networks_RH_SomMot_13,0.006874854346306222,0.006874854346306222,0.8566767653227683
aIPS,200,79,7Networks_LH_Default_Par_2,0.005360055931018411,0.005360055931018411,0.8620368212537867
