Subject1,Subject2,Dice
sub-071,sub-107,0.29221104495996714
sub-083,sub-085,0.41075619371322214
sub-083,sub-087,0.4565340034875372
sub-083,sub-088,0.43505291398136875
sub-083,sub-093,0.44378692903330247
sub-083,sub-094,0.42769211509170196
sub-083,sub-095,0.4401315508478196
sub-083,sub-096,0.4234064124863965
sub-083,sub-097,0.36795382632134066
sub-083,sub-107,0.4148911715243246
sub-085,sub-087,0.4349943752858715
sub-085,sub-088,0.41026233231325904
sub-085,sub-093,0.4667554823215945
sub-085,sub-094,0.4286365247329249
sub-085,sub-095,0.44065818648617106
sub-085,sub-096,0.4174803006974006
sub-085,sub-097,0.3958406520059018
sub-085,sub-107,0.41685952731608106
sub-087,sub-088,0.41741172031402307
sub-087,sub-093,0.452309469915804
sub-087,sub-094,0.4271562804715894
sub-087,sub-095,0.4272064167092832
sub-087,sub-096,0.3923535126541908
sub-087,sub-097,0.39672507900028725
sub-087,sub-107,0.4313990161849261
sub-088,sub-093,0.48685929335655637
sub-088,sub-094,0.4496905596412081
sub-088,sub-095,0.49931588340273647
sub-088,sub-096,0.46889308699689414
sub-088,sub-097,0.3265444274559694
sub-088,sub-107,0.4250909381620498
sub-093,sub-094,0.504192014516116
sub-093,sub-095,0.5605143094151804
sub-093,sub-096,0.5024129559450498
sub-093,sub-097,0.3385806236242815
sub-093,sub-107,0.4433096291996227
sub-094,sub-095,0.46909627979987784
sub-094,sub-096,0.43578674905022335
sub-094,sub-097,0.34692001987083954
sub-094,sub-107,0.4200866092783614
sub-095,sub-096,0.5966831233685166
sub-095,sub-097,0.32813989835939883
sub-095,sub-107,0.4176885980020668
sub-096,sub-097,0.34002712232167076
sub-096,sub-107,0.3990465823354979
sub-097,sub-107,0.3461132815401298
