ROI,Analysis,Condition,Subject1,Subject2,Dice
pIPS,fc,tools,sub-spaceloc1008,sub-spaceloc1011,0.8865506904856791
pIPS,fc,tools,sub-spaceloc1008,sub-spaceloc1012,0.880439225148787
pIPS,fc,tools,sub-spaceloc1008,sub-spaceloc2013,0.862874334109186
pIPS,fc,tools,sub-spaceloc1008,sub-spaceloc2014,0.8980319530048646
pIPS,fc,tools,sub-spaceloc1008,sub-spaceloc2015,0.879261458726988
pIPS,fc,tools,sub-spaceloc1008,sub-spaceloc2016,0.8781281143036445
pIPS,fc,tools,sub-spaceloc1008,sub-spaceloc2017,0.8668134177040511
pIPS,fc,tools,sub-spaceloc1008,sub-spaceloc2018,0.8540244583325829
pIPS,fc,tools,sub-spaceloc1009,sub-spaceloc1010,0.7969791638634801
pIPS,fc,tools,sub-spaceloc1009,sub-spaceloc1011,0.7914173325674565
pIPS,fc,tools,sub-spaceloc1009,sub-spaceloc1012,0.7917674596256867
pIPS,fc,tools,sub-spaceloc1009,sub-spaceloc2013,0.7996892276407531
pIPS,fc,tools,sub-spaceloc1009,sub-spaceloc2014,0.7974246942583386
pIPS,fc,tools,sub-spaceloc1009,sub-spaceloc2015,0.7933618378143343
pIPS,fc,tools,sub-spaceloc1009,sub-spaceloc2016,0.8008050683614083
pIPS,fc,tools,sub-spaceloc1009,sub-spaceloc2017,0.7876965980478882
pIPS,fc,tools,sub-spaceloc1009,sub-spaceloc2018,0.7691676854502517
pIPS,fc,tools,sub-spaceloc1010,sub-spaceloc1011,0.8734029991995649
pIPS,fc,tools,sub-spaceloc1010,sub-spaceloc1012,0.8639560081502757
pIPS,fc,tools,sub-spaceloc1010,sub-spaceloc2013,0.8620336948912144
pIPS,fc,tools,sub-spaceloc1010,sub-spaceloc2014,0.8831143294377143
pIPS,fc,tools,sub-spaceloc1010,sub-spaceloc2015,0.875110498759989
pIPS,fc,tools,sub-spaceloc1010,sub-spaceloc2016,0.8678692572088856
pIPS,fc,tools,sub-spaceloc1010,sub-spaceloc2017,0.8527022510611886
pIPS,fc,tools,sub-spaceloc1010,sub-spaceloc2018,0.8387473719561847
pIPS,fc,tools,sub-spaceloc1011,sub-spaceloc1012,0.8653592110125442
pIPS,fc,tools,sub-spaceloc1011,sub-spaceloc2013,0.8565254424429792
pIPS,fc,tools,sub-spaceloc1011,sub-spaceloc2014,0.8947116261124325
pIPS,fc,tools,sub-spaceloc1011,sub-spaceloc2015,0.8828560998375825
pIPS,fc,tools,sub-spaceloc1011,sub-spaceloc2016,0.8684221713574843
pIPS,fc,tools,sub-spaceloc1011,sub-spaceloc2017,0.8560139741928213
pIPS,fc,tools,sub-spaceloc1011,sub-spaceloc2018,0.8438340796950101
pIPS,fc,tools,sub-spaceloc1012,sub-spaceloc2013,0.8508717855396198
pIPS,fc,tools,sub-spaceloc1012,sub-spaceloc2014,0.8779855542698747
pIPS,fc,tools,sub-spaceloc1012,sub-spaceloc2015,0.8671187667110825
pIPS,fc,tools,sub-spaceloc1012,sub-spaceloc2016,0.8614708446448011
pIPS,fc,tools,sub-spaceloc1012,sub-spaceloc2017,0.8491890858786268
pIPS,fc,tools,sub-spaceloc1012,sub-spaceloc2018,0.8371757891901722
pIPS,fc,tools,sub-spaceloc2013,sub-spaceloc2014,0.8639945320934769
pIPS,fc,tools,sub-spaceloc2013,sub-spaceloc2015,0.8606626426182223
pIPS,fc,tools,sub-spaceloc2013,sub-spaceloc2016,0.854872293968907
pIPS,fc,tools,sub-spaceloc2013,sub-spaceloc2017,0.8422441111901875
pIPS,fc,tools,sub-spaceloc2013,sub-spaceloc2018,0.820558055298804
pIPS,fc,tools,sub-spaceloc2014,sub-spaceloc2015,0.891831277677373
pIPS,fc,tools,sub-spaceloc2014,sub-spaceloc2016,0.8826636169656196
pIPS,fc,tools,sub-spaceloc2014,sub-spaceloc2017,0.8666026557978824
pIPS,fc,tools,sub-spaceloc2014,sub-spaceloc2018,0.8510063981470473
pIPS,fc,tools,sub-spaceloc2015,sub-spaceloc2016,0.8642585008520928
pIPS,fc,tools,sub-spaceloc2015,sub-spaceloc2017,0.8537679251133591
pIPS,fc,tools,sub-spaceloc2015,sub-spaceloc2018,0.8343580872976727
pIPS,fc,tools,sub-spaceloc2016,sub-spaceloc2017,0.8517444536500046
pIPS,fc,tools,sub-spaceloc2016,sub-spaceloc2018,0.8443261445168683
pIPS,fc,tools,sub-spaceloc2017,sub-spaceloc2018,0.8243291760040361
LO,fc,tools,sub-spaceloc1001,sub-spaceloc1002,0.7469946548532684
LO,fc,tools,sub-spaceloc1001,sub-spaceloc1003,0.8112079186278307
LO,fc,tools,sub-spaceloc1001,sub-spaceloc1004,0.7093401345897992
LO,fc,tools,sub-spaceloc1001,sub-spaceloc1005,0.7724428000576997
LO,fc,tools,sub-spaceloc1001,sub-spaceloc1006,0.790412092891116
LO,fc,tools,sub-spaceloc1001,sub-spaceloc1007,0.7815362721242791
LO,fc,tools,sub-spaceloc1001,sub-spaceloc1008,0.8039592159425967
LO,fc,tools,sub-spaceloc1001,sub-spaceloc1009,0.7043256969239982
LO,fc,tools,sub-spaceloc1001,sub-spaceloc1010,0.8054279488375896
LO,fc,tools,sub-spaceloc1001,sub-spaceloc1011,0.7363662490387827
LO,fc,tools,sub-spaceloc1001,sub-spaceloc1012,0.8037488863811842
LO,fc,tools,sub-spaceloc1001,sub-spaceloc2013,0.7815049507867491
LO,fc,tools,sub-spaceloc1001,sub-spaceloc2014,0.8134850535685608
LO,fc,tools,sub-spaceloc1001,sub-spaceloc2015,0.8057952592801827
LO,fc,tools,sub-spaceloc1001,sub-spaceloc2016,0.7970444698725659
LO,fc,tools,sub-spaceloc1001,sub-spaceloc2017,0.7365867254170704
LO,fc,tools,sub-spaceloc1001,sub-spaceloc2018,0.7199277391963934
LO,fc,tools,sub-spaceloc1002,sub-spaceloc1003,0.8030123348251701
LO,fc,tools,sub-spaceloc1002,sub-spaceloc1004,0.7098380580470183
LO,fc,tools,sub-spaceloc1002,sub-spaceloc1005,0.7751037216165892
LO,fc,tools,sub-spaceloc1002,sub-spaceloc1006,0.7755769000836954
LO,fc,tools,sub-spaceloc1002,sub-spaceloc1007,0.7737696287371799
LO,fc,tools,sub-spaceloc1002,sub-spaceloc1008,0.7974776016203551
LO,fc,tools,sub-spaceloc1002,sub-spaceloc1009,0.6968842369404145
LO,fc,tools,sub-spaceloc1002,sub-spaceloc1010,0.7903375688391975
LO,fc,tools,sub-spaceloc1002,sub-spaceloc1011,0.746156218451733
LO,fc,tools,sub-spaceloc1002,sub-spaceloc1012,0.7985413270542776
LO,fc,tools,sub-spaceloc1002,sub-spaceloc2013,0.7831463395753373
LO,fc,tools,sub-spaceloc1002,sub-spaceloc2014,0.8042513518553048
LO,fc,tools,sub-spaceloc1002,sub-spaceloc2015,0.8039954064787789
LO,fc,tools,sub-spaceloc1002,sub-spaceloc2016,0.7873160493949959
LO,fc,tools,sub-spaceloc1002,sub-spaceloc2017,0.727209808453979
LO,fc,tools,sub-spaceloc1002,sub-spaceloc2018,0.716240310395011
LO,fc,tools,sub-spaceloc1003,sub-spaceloc1004,0.7502814876847542
LO,fc,tools,sub-spaceloc1003,sub-spaceloc1005,0.8333647404671497
LO,fc,tools,sub-spaceloc1003,sub-spaceloc1006,0.8506862178396076
LO,fc,tools,sub-spaceloc1003,sub-spaceloc1007,0.8347178525307373
LO,fc,tools,sub-spaceloc1003,sub-spaceloc1008,0.8598959432221689
LO,fc,tools,sub-spaceloc1003,sub-spaceloc1009,0.7494020932503825
LO,fc,tools,sub-spaceloc1003,sub-spaceloc1010,0.856403471134903
LO,fc,tools,sub-spaceloc1003,sub-spaceloc1011,0.7946450054377641
LO,fc,tools,sub-spaceloc1003,sub-spaceloc1012,0.8692450500546293
LO,fc,tools,sub-spaceloc1003,sub-spaceloc2013,0.8444120799098678
LO,fc,tools,sub-spaceloc1003,sub-spaceloc2014,0.8852781055423375
LO,fc,tools,sub-spaceloc1003,sub-spaceloc2015,0.8701336157265424
LO,fc,tools,sub-spaceloc1003,sub-spaceloc2016,0.8542151882275383
LO,fc,tools,sub-spaceloc1003,sub-spaceloc2017,0.7762571469375895
LO,fc,tools,sub-spaceloc1003,sub-spaceloc2018,0.7699887695166917
LO,fc,tools,sub-spaceloc1004,sub-spaceloc1005,0.7302623129117853
LO,fc,tools,sub-spaceloc1004,sub-spaceloc1006,0.7389987707534279
LO,fc,tools,sub-spaceloc1004,sub-spaceloc1007,0.7367743251002087
LO,fc,tools,sub-spaceloc1004,sub-spaceloc1008,0.7493015550576201
LO,fc,tools,sub-spaceloc1004,sub-spaceloc1009,0.6840816129538243
LO,fc,tools,sub-spaceloc1004,sub-spaceloc1010,0.7531469725425676
LO,fc,tools,sub-spaceloc1004,sub-spaceloc1011,0.697949957565046
LO,fc,tools,sub-spaceloc1004,sub-spaceloc1012,0.7448004023353832
LO,fc,tools,sub-spaceloc1004,sub-spaceloc2013,0.7334784460072415
LO,fc,tools,sub-spaceloc1004,sub-spaceloc2014,0.746010357088409
LO,fc,tools,sub-spaceloc1004,sub-spaceloc2015,0.739379906879869
LO,fc,tools,sub-spaceloc1004,sub-spaceloc2016,0.7406683799212184
LO,fc,tools,sub-spaceloc1004,sub-spaceloc2017,0.6918218362525645
LO,fc,tools,sub-spaceloc1004,sub-spaceloc2018,0.6909657701355992
LO,fc,tools,sub-spaceloc1005,sub-spaceloc1006,0.8096039149717082
LO,fc,tools,sub-spaceloc1005,sub-spaceloc1007,0.8063463885498724
LO,fc,tools,sub-spaceloc1005,sub-spaceloc1008,0.8272628956107043
LO,fc,tools,sub-spaceloc1005,sub-spaceloc1009,0.7305580178879683
LO,fc,tools,sub-spaceloc1005,sub-spaceloc1010,0.817523991178399
LO,fc,tools,sub-spaceloc1005,sub-spaceloc1011,0.7567764440340617
LO,fc,tools,sub-spaceloc1005,sub-spaceloc1012,0.8236735001507386
LO,fc,tools,sub-spaceloc1005,sub-spaceloc2013,0.8217685419505548
LO,fc,tools,sub-spaceloc1005,sub-spaceloc2014,0.8318131869381924
LO,fc,tools,sub-spaceloc1005,sub-spaceloc2015,0.8300391382581724
LO,fc,tools,sub-spaceloc1005,sub-spaceloc2016,0.8030156526037994
LO,fc,tools,sub-spaceloc1005,sub-spaceloc2017,0.7470516790838779
LO,fc,tools,sub-spaceloc1005,sub-spaceloc2018,0.7337820907565881
LO,fc,tools,sub-spaceloc1006,sub-spaceloc1007,0.8048870187370744
LO,fc,tools,sub-spaceloc1006,sub-spaceloc1008,0.8451302803319545
LO,fc,tools,sub-spaceloc1006,sub-spaceloc1009,0.7151529920325479
LO,fc,tools,sub-spaceloc1006,sub-spaceloc1010,0.833945933950095
LO,fc,tools,sub-spaceloc1006,sub-spaceloc1011,0.7683364058386699
LO,fc,tools,sub-spaceloc1006,sub-spaceloc1012,0.8459723164577494
LO,fc,tools,sub-spaceloc1006,sub-spaceloc2013,0.8174159489008929
LO,fc,tools,sub-spaceloc1006,sub-spaceloc2014,0.8569465736539591
LO,fc,tools,sub-spaceloc1006,sub-spaceloc2015,0.8485863988153194
LO,fc,tools,sub-spaceloc1006,sub-spaceloc2016,0.8231157997576349
LO,fc,tools,sub-spaceloc1006,sub-spaceloc2017,0.752222755836084
LO,fc,tools,sub-spaceloc1006,sub-spaceloc2018,0.7525961718487514
LO,fc,tools,sub-spaceloc1007,sub-spaceloc1008,0.8264213662650998
LO,fc,tools,sub-spaceloc1007,sub-spaceloc1009,0.7433964500867541
LO,fc,tools,sub-spaceloc1007,sub-spaceloc1010,0.8319044602426034
LO,fc,tools,sub-spaceloc1007,sub-spaceloc1011,0.7604956323345896
LO,fc,tools,sub-spaceloc1007,sub-spaceloc1012,0.8336822290378593
LO,fc,tools,sub-spaceloc1007,sub-spaceloc2013,0.8293193215957103
LO,fc,tools,sub-spaceloc1007,sub-spaceloc2014,0.8348113262503193
LO,fc,tools,sub-spaceloc1007,sub-spaceloc2015,0.8337062853519457
LO,fc,tools,sub-spaceloc1007,sub-spaceloc2016,0.8091657288904995
LO,fc,tools,sub-spaceloc1007,sub-spaceloc2017,0.7636677333787912
