ROI,Analysis,Condition,Subject1,Subject2,Dice
pIPS,fc,nontools,sub-spaceloc1008,sub-spaceloc2018,0.8296036611451948
pIPS,fc,nontools,sub-spaceloc1009,sub-spaceloc1010,0.8135997727961586
pIPS,fc,nontools,sub-spaceloc1009,sub-spaceloc1011,0.8082116331469582
pIPS,fc,nontools,sub-spaceloc1009,sub-spaceloc1012,0.8061084436567829
pIPS,fc,nontools,sub-spaceloc1009,sub-spaceloc2013,0.8187789946003499
pIPS,fc,nontools,sub-spaceloc1009,sub-spaceloc2014,0.8133549071642457
pIPS,fc,nontools,sub-spaceloc1009,sub-spaceloc2015,0.8132582025744953
pIPS,fc,nontools,sub-spaceloc1009,sub-spaceloc2016,0.8095683268852899
pIPS,fc,nontools,sub-spaceloc1009,sub-spaceloc2017,0.7805349446267801
pIPS,fc,nontools,sub-spaceloc1009,sub-spaceloc2018,0.7579517798451909
pIPS,fc,nontools,sub-spaceloc1010,sub-spaceloc1011,0.8798659922485712
pIPS,fc,nontools,sub-spaceloc1010,sub-spaceloc1012,0.8695675230180808
pIPS,fc,nontools,sub-spaceloc1010,sub-spaceloc2013,0.8869672286831437
pIPS,fc,nontools,sub-spaceloc1010,sub-spaceloc2014,0.8894103382637856
pIPS,fc,nontools,sub-spaceloc1010,sub-spaceloc2015,0.8863662991264954
pIPS,fc,nontools,sub-spaceloc1010,sub-spaceloc2016,0.8705461216636463
pIPS,fc,nontools,sub-spaceloc1010,sub-spaceloc2017,0.8156680082181756
pIPS,fc,nontools,sub-spaceloc1010,sub-spaceloc2018,0.8181334875391733
pIPS,fc,nontools,sub-spaceloc1011,sub-spaceloc1012,0.8662382416767297
pIPS,fc,nontools,sub-spaceloc1011,sub-spaceloc2013,0.8791430272809962
pIPS,fc,nontools,sub-spaceloc1011,sub-spaceloc2014,0.895704845814978
pIPS,fc,nontools,sub-spaceloc1011,sub-spaceloc2015,0.887392152612183
pIPS,fc,nontools,sub-spaceloc1011,sub-spaceloc2016,0.8667405804617228
pIPS,fc,nontools,sub-spaceloc1011,sub-spaceloc2017,0.8142043723785646
pIPS,fc,nontools,sub-spaceloc1011,sub-spaceloc2018,0.8221319380704558
pIPS,fc,nontools,sub-spaceloc1012,sub-spaceloc2013,0.8726812519258705
pIPS,fc,nontools,sub-spaceloc1012,sub-spaceloc2014,0.8797583159028222
pIPS,fc,nontools,sub-spaceloc1012,sub-spaceloc2015,0.8743473705622838
pIPS,fc,nontools,sub-spaceloc1012,sub-spaceloc2016,0.8620506839147493
pIPS,fc,nontools,sub-spaceloc1012,sub-spaceloc2017,0.8171220771354686
pIPS,fc,nontools,sub-spaceloc1012,sub-spaceloc2018,0.8157854503458771
pIPS,fc,nontools,sub-spaceloc2013,sub-spaceloc2014,0.8898279492231634
pIPS,fc,nontools,sub-spaceloc2013,sub-spaceloc2015,0.8870041477273956
pIPS,fc,nontools,sub-spaceloc2013,sub-spaceloc2016,0.871011808856531
pIPS,fc,nontools,sub-spaceloc2013,sub-spaceloc2017,0.8192314070627585
pIPS,fc,nontools,sub-spaceloc2013,sub-spaceloc2018,0.8173143686502177
pIPS,fc,nontools,sub-spaceloc2014,sub-spaceloc2015,0.8985204839915024
pIPS,fc,nontools,sub-spaceloc2014,sub-spaceloc2016,0.8810397024478851
pIPS,fc,nontools,sub-spaceloc2014,sub-spaceloc2017,0.823715264732642
pIPS,fc,nontools,sub-spaceloc2014,sub-spaceloc2018,0.8273190887935652
pIPS,fc,nontools,sub-spaceloc2015,sub-spaceloc2016,0.8683156915718145
pIPS,fc,nontools,sub-spaceloc2015,sub-spaceloc2017,0.8182522703964434
pIPS,fc,nontools,sub-spaceloc2015,sub-spaceloc2018,0.8182036292834173
pIPS,fc,nontools,sub-spaceloc2016,sub-spaceloc2017,0.8128281980577868
pIPS,fc,nontools,sub-spaceloc2016,sub-spaceloc2018,0.8210095771102774
pIPS,fc,nontools,sub-spaceloc2017,sub-spaceloc2018,0.7734519130504532
LO,fc,nontools,sub-spaceloc1001,sub-spaceloc1002,0.7591881739041245
LO,fc,nontools,sub-spaceloc1001,sub-spaceloc1003,0.8289049394221808
LO,fc,nontools,sub-spaceloc1001,sub-spaceloc1004,0.7065565648224608
LO,fc,nontools,sub-spaceloc1001,sub-spaceloc1005,0.7972553552544207
LO,fc,nontools,sub-spaceloc1001,sub-spaceloc1006,0.8058030388837344
LO,fc,nontools,sub-spaceloc1001,sub-spaceloc1007,0.7990801856246014
LO,fc,nontools,sub-spaceloc1001,sub-spaceloc1008,0.8161143136737946
LO,fc,nontools,sub-spaceloc1001,sub-spaceloc1009,0.7094907850875513
LO,fc,nontools,sub-spaceloc1001,sub-spaceloc1010,0.8132157053021051
LO,fc,nontools,sub-spaceloc1001,sub-spaceloc1011,0.7406403218587135
LO,fc,nontools,sub-spaceloc1001,sub-spaceloc1012,0.8004766177506344
LO,fc,nontools,sub-spaceloc1001,sub-spaceloc2013,0.8077809743365024
LO,fc,nontools,sub-spaceloc1001,sub-spaceloc2014,0.8296166396991693
LO,fc,nontools,sub-spaceloc1001,sub-spaceloc2015,0.8217444388888243
LO,fc,nontools,sub-spaceloc1001,sub-spaceloc2016,0.8055286024357017
LO,fc,nontools,sub-spaceloc1001,sub-spaceloc2017,0.7660283606620036
LO,fc,nontools,sub-spaceloc1001,sub-spaceloc2018,0.7242183879126555
LO,fc,nontools,sub-spaceloc1002,sub-spaceloc1003,0.8045558372267475
LO,fc,nontools,sub-spaceloc1002,sub-spaceloc1004,0.6957718769447846
LO,fc,nontools,sub-spaceloc1002,sub-spaceloc1005,0.7777519840611838
LO,fc,nontools,sub-spaceloc1002,sub-spaceloc1006,0.7732550006993986
LO,fc,nontools,sub-spaceloc1002,sub-spaceloc1007,0.7721096193126239
LO,fc,nontools,sub-spaceloc1002,sub-spaceloc1008,0.7943632721957845
LO,fc,nontools,sub-spaceloc1002,sub-spaceloc1009,0.6955341743282731
LO,fc,nontools,sub-spaceloc1002,sub-spaceloc1010,0.7820244198429799
LO,fc,nontools,sub-spaceloc1002,sub-spaceloc1011,0.7394254953478862
LO,fc,nontools,sub-spaceloc1002,sub-spaceloc1012,0.7777947231965838
LO,fc,nontools,sub-spaceloc1002,sub-spaceloc2013,0.7854275386456444
LO,fc,nontools,sub-spaceloc1002,sub-spaceloc2014,0.802179029065406
