ROI_ID,ROI_Name,Clean_Name,Mean_Difference,p_value,t_stat,Significant,Effect_Size,N_pairs,Lobe,Hemisphere
b'17Networks_RH_DefaultA_PFCm_2',Wang_b'17Networks_RH_DefaultA_PFCm_2',b'17Networks_RH_DefaultA_PFCm_2',0.0,,,False,,114,Frontal,R
b'17Networks_LH_DefaultA_IPL_1',Wang_b'17Networks_LH_DefaultA_IPL_1',b'17Networks_LH_DefaultA_IPL_1',0.0,,,False,,1073,Frontal,L
b'17Networks_RH_ContB_PFClv_2',Wang_b'17Networks_RH_ContB_PFClv_2',b'17Networks_RH_ContB_PFClv_2',1.6017632254407295,6.119242027086252e-105,25.44365867150355,True,0.9018265709438117,796,Frontal,R
b'17Networks_RH_SalVentAttnB_Ins_2',Wang_b'17Networks_RH_SalVentAttnB_Ins_2',b'17Networks_RH_SalVentAttnB_Ins_2',0.0,,,False,,364,Insular,R
b'17Networks_RH_DefaultC_Rsp_1',Wang_b'17Networks_RH_DefaultC_Rsp_1',b'17Networks_RH_DefaultC_Rsp_1',0.08271003398042136,0.02250049486007301,2.289164212754536,True,0.10405291876156982,484,Frontal,R
b'17Networks_LH_DorsAttnA_SPL_2',Wang_b'17Networks_LH_DorsAttnA_SPL_2',b'17Networks_LH_DorsAttnA_SPL_2',0.24995332456089722,1.6113954065037607e-11,6.867059926050653,True,0.2771319845369217,614,Temporal,L
b'17Networks_RH_VisPeri_ExStrSup_2',Wang_b'17Networks_RH_VisPeri_ExStrSup_2',b'17Networks_RH_VisPeri_ExStrSup_2',0.20079163225536617,6.6803950136364e-41,14.329184357426517,True,0.5482910016342458,683,Occipital,R
b'17Networks_LH_DefaultB_IPL_1',Wang_b'17Networks_LH_DefaultB_IPL_1',b'17Networks_LH_DefaultB_IPL_1',0.0,,,False,,391,Frontal,L
b'17Networks_LH_DefaultB_PFCd_4',Wang_b'17Networks_LH_DefaultB_PFCd_4',b'17Networks_LH_DefaultB_PFCd_4',0.0,,,False,,686,Frontal,L
b'17Networks_LH_SalVentAttnB_Ins_1',Wang_b'17Networks_LH_SalVentAttnB_Ins_1',b'17Networks_LH_SalVentAttnB_Ins_1',0.0,,,False,,469,Insular,L
b'17Networks_RH_DorsAttnA_SPL_2',Wang_b'17Networks_RH_DorsAttnA_SPL_2',b'17Networks_RH_DorsAttnA_SPL_2',0.137131074240109,1.1281650289816191e-05,4.440114525179369,True,0.20724679801373846,459,Temporal,R
b'17Networks_RH_DefaultA_IPL_1',Wang_b'17Networks_RH_DefaultA_IPL_1',b'17Networks_RH_DefaultA_IPL_1',0.0,,,False,,855,Frontal,R
b'17Networks_LH_ContA_PFCl_1',Wang_b'17Networks_LH_ContA_PFCl_1',b'17Networks_LH_ContA_PFCl_1',0.007643084077027956,0.15774591617110534,1.4139722796928018,False,0.04910928714739241,829,Frontal,L
b'17Networks_RH_VisCent_ExStr_3',Wang_b'17Networks_RH_VisCent_ExStr_3',b'17Networks_RH_VisCent_ExStr_3',-1.6364608787493413,4.988599103546512e-135,-28.92675337424049,True,-0.9026397837107686,1027,Occipital,R
b'17Networks_RH_LimbicB_OFC_3',Wang_b'17Networks_RH_LimbicB_OFC_3',b'17Networks_RH_LimbicB_OFC_3',0.0,,,False,,990,Frontal,R
b'17Networks_LH_ContC_Cingp_1',Wang_b'17Networks_LH_ContC_Cingp_1',b'17Networks_LH_ContC_Cingp_1',0.0,,,False,,208,Frontal,L
b'17Networks_LH_ContA_Cingm_1',Wang_b'17Networks_LH_ContA_Cingm_1',b'17Networks_LH_ContA_Cingm_1',0.0,,,False,,164,Frontal,L
b'17Networks_RH_ContA_IPS_1',Wang_b'17Networks_RH_ContA_IPS_1',b'17Networks_RH_ContA_IPS_1',0.0,,,False,,756,Frontal,R
b'17Networks_RH_VisCent_ExStr_1',Wang_b'17Networks_RH_VisCent_ExStr_1',b'17Networks_RH_VisCent_ExStr_1',-1.8485607295805486,1.4026617610022772e-286,-47.6697229791857,True,-1.3282649007901415,1288,Occipital,R
b'17Networks_LH_DefaultC_PHC_1',Wang_b'17Networks_LH_DefaultC_PHC_1',b'17Networks_LH_DefaultC_PHC_1',-2.671574200048555,1.3706643959823912e-173,-38.405338670001704,True,-1.4599519146198647,692,Frontal,L
b'17Networks_LH_DefaultB_Temp_2',Wang_b'17Networks_LH_DefaultB_Temp_2',b'17Networks_LH_DefaultB_Temp_2',0.0,,,False,,777,Frontal,L
b'17Networks_RH_SalVentAttnB_PFCl_1',Wang_b'17Networks_RH_SalVentAttnB_PFCl_1',b'17Networks_RH_SalVentAttnB_PFCl_1',0.058089213911588077,2.1496855740241545e-05,4.2685528563921755,True,0.13319730621698164,1027,Frontal,R
b'17Networks_RH_VisPeri_ExStrInf_1',Wang_b'17Networks_RH_VisPeri_ExStrInf_1',b'17Networks_RH_VisPeri_ExStrInf_1',-0.11633703500408152,1.7655547073095385e-06,-4.822176906803124,True,-0.18784534254807478,659,Occipital,R
b'17Networks_LH_SalVentAttnA_FrOper_1',Wang_b'17Networks_LH_SalVentAttnA_FrOper_1',b'17Networks_LH_SalVentAttnA_FrOper_1',0.0,,,False,,292,Frontal,L
b'17Networks_LH_DorsAttnB_PostC_1',Wang_b'17Networks_LH_DorsAttnB_PostC_1',b'17Networks_LH_DorsAttnB_PostC_1',0.0,,,False,,526,Temporal,L
b'17Networks_RH_ContA_IPS_2',Wang_b'17Networks_RH_ContA_IPS_2',b'17Networks_RH_ContA_IPS_2',0.0,,,False,,453,Frontal,R
b'17Networks_LH_DefaultB_Temp_4',Wang_b'17Networks_LH_DefaultB_Temp_4',b'17Networks_LH_DefaultB_Temp_4',0.0,,,False,,787,Frontal,L
b'17Networks_LH_DefaultA_PFCm_1',Wang_b'17Networks_LH_DefaultA_PFCm_1',b'17Networks_LH_DefaultA_PFCm_1',0.0,,,False,,557,Frontal,L
b'17Networks_RH_SomMotA_11',Wang_b'17Networks_RH_SomMotA_11',b'17Networks_RH_SomMotA_11',-2.445001936189833,4.482227145894013e-56,-20.75818455295331,True,-1.3181460372592313,248,Somatomotor,R
b'17Networks_RH_VisPeri_ExStrSup_3',Wang_b'17Networks_RH_VisPeri_ExStrSup_3',b'17Networks_RH_VisPeri_ExStrSup_3',1.7335822139341703,5.17970502820047e-70,21.183798482723393,True,0.9866278577173537,461,Occipital,R
b'17Networks_RH_LimbicA_TempPole_4',Wang_b'17Networks_RH_LimbicA_TempPole_4',b'17Networks_RH_LimbicA_TempPole_4',-2.418743959728123,4.7833189078873414e-265,-53.311331198352505,True,-1.8872006672773225,798,Temporal,R
b'17Networks_RH_VisCent_ExStr_2',Wang_b'17Networks_RH_VisCent_ExStr_2',b'17Networks_RH_VisCent_ExStr_2',0.6964834676647972,1.67219552291491e-188,41.426216508518024,True,1.5839709769637407,684,Occipital,R
