ROI_ID,ROI_Name,Clean_Name,Mean_Difference,p_value,t_stat,Significant,Effect_Size,N_pairs,Lobe,Hemisphere
b'17Networks_RH_SomMotA_4',Wang_b'17Networks_RH_SomMotA_4',b'17Networks_RH_SomMotA_4',0.7244942993871459,5.2928468200328535e-23,10.60094568172445,True,0.5610615422508654,357,Somatomotor,R
b'17Networks_LH_DorsAttnB_PostC_3',Wang_b'17Networks_LH_DorsAttnB_PostC_3',b'17Networks_LH_DorsAttnB_PostC_3',0.0,,,False,,369,Temporal,L
b'17Networks_LH_DefaultB_PFCd_2',Wang_b'17Networks_LH_DefaultB_PFCd_2',b'17Networks_LH_DefaultB_PFCd_2',-0.1682947127057475,4.744049603540387e-10,-6.313300692037228,True,-0.233665741910474,730,Frontal,L
b'17Networks_RH_DefaultA_PFCm_2',Wang_b'17Networks_RH_DefaultA_PFCm_2',b'17Networks_RH_DefaultA_PFCm_2',-3.3623398528674957,2.3725857218590933e-43,-22.3885832821143,True,-2.0968829443443364,114,Frontal,R
b'17Networks_LH_DefaultA_IPL_1',Wang_b'17Networks_LH_DefaultA_IPL_1',b'17Networks_LH_DefaultA_IPL_1',0.0,,,False,,1073,Frontal,L
b'17Networks_RH_ContB_PFClv_2',Wang_b'17Networks_RH_ContB_PFClv_2',b'17Networks_RH_ContB_PFClv_2',0.653716369638554,4.491648360533392e-149,32.6647562830137,True,1.157771589760318,796,Frontal,R
b'17Networks_RH_SalVentAttnB_Ins_2',Wang_b'17Networks_RH_SalVentAttnB_Ins_2',b'17Networks_RH_SalVentAttnB_Ins_2',0.0,,,False,,364,Insular,R
b'17Networks_RH_DefaultC_Rsp_1',Wang_b'17Networks_RH_DefaultC_Rsp_1',b'17Networks_RH_DefaultC_Rsp_1',0.0,,,False,,484,Frontal,R
b'17Networks_LH_DorsAttnA_SPL_2',Wang_b'17Networks_LH_DorsAttnA_SPL_2',b'17Networks_LH_DorsAttnA_SPL_2',-2.831277614916015,6.503036363052292e-285,-67.18802766849997,True,-2.7114881252538616,614,Temporal,L
b'17Networks_RH_VisPeri_ExStrSup_2',Wang_b'17Networks_RH_VisPeri_ExStrSup_2',b'17Networks_RH_VisPeri_ExStrSup_2',-1.1995212686293744,1.2737550815471675e-59,-18.01110964645653,True,-0.689175957421589,683,Occipital,R
