ROI_ID,ROI_Name,Clean_Name,Mean_Difference,p_value,t_stat,Significant,Effect_Size,N_pairs,Lobe,Hemisphere
b'17Networks_LH_DefaultB_PFCd_4',Wang_b'17Networks_LH_DefaultB_PFCd_4',b'17Networks_LH_DefaultB_PFCd_4',0.0,,,False,,686,Frontal,L
b'17Networks_LH_SalVentAttnB_Ins_1',Wang_b'17Networks_LH_SalVentAttnB_Ins_1',b'17Networks_LH_SalVentAttnB_Ins_1',0.0,,,False,,469,Insular,L
b'17Networks_RH_DorsAttnA_SPL_2',Wang_b'17Networks_RH_DorsAttnA_SPL_2',b'17Networks_RH_DorsAttnA_SPL_2',0.0,,,False,,459,Temporal,R
b'17Networks_RH_DefaultA_IPL_1',Wang_b'17Networks_RH_DefaultA_IPL_1',b'17Networks_RH_DefaultA_IPL_1',0.0,,,False,,855,Frontal,R
b'17Networks_LH_ContA_PFCl_1',Wang_b'17Networks_LH_ContA_PFCl_1',b'17Networks_LH_ContA_PFCl_1',-0.13182332600109675,2.532561118231943e-09,-6.025668599790101,True,-0.2092801208142556,829,Frontal,L
b'17Networks_RH_VisCent_ExStr_3',Wang_b'17Networks_RH_VisCent_ExStr_3',b'17Networks_RH_VisCent_ExStr_3',-1.5102654921773004,2.707264627562419e-210,-39.807427569832846,True,-1.2421638663298296,1027,Occipital,R
b'17Networks_RH_LimbicB_OFC_3',Wang_b'17Networks_RH_LimbicB_OFC_3',b'17Networks_RH_LimbicB_OFC_3',0.0,,,False,,990,Frontal,R
b'17Networks_LH_ContC_Cingp_1',Wang_b'17Networks_LH_ContC_Cingp_1',b'17Networks_LH_ContC_Cingp_1',0.0,,,False,,208,Frontal,L
b'17Networks_LH_ContA_Cingm_1',Wang_b'17Networks_LH_ContA_Cingm_1',b'17Networks_LH_ContA_Cingm_1',0.0,,,False,,164,Frontal,L
b'17Networks_RH_ContA_IPS_1',Wang_b'17Networks_RH_ContA_IPS_1',b'17Networks_RH_ContA_IPS_1',0.0,,,False,,756,Frontal,R
b'17Networks_RH_VisCent_ExStr_1',Wang_b'17Networks_RH_VisCent_ExStr_1',b'17Networks_RH_VisCent_ExStr_1',-1.1565759467731385,1.1630947303851453e-260,-44.24117210195197,True,-1.232732065560718,1288,Occipital,R
b'17Networks_LH_DefaultC_PHC_1',Wang_b'17Networks_LH_DefaultC_PHC_1',b'17Networks_LH_DefaultC_PHC_1',-2.4118726632884813,1.1396259570667133e-194,-42.44364221421532,True,-1.6134651811438232,692,Frontal,L
b'17Networks_LH_DefaultB_Temp_2',Wang_b'17Networks_LH_DefaultB_Temp_2',b'17Networks_LH_DefaultB_Temp_2',0.0,,,False,,777,Frontal,L
b'17Networks_RH_SalVentAttnB_PFCl_1',Wang_b'17Networks_RH_SalVentAttnB_PFCl_1',b'17Networks_RH_SalVentAttnB_PFCl_1',-2.97171919615644,0.0,-57.60499101380292,True,-1.797524801924823,1027,Frontal,R
