subject,roi,hemisphere,x,y,z,mean_activation
sub-093,pIPS,left,-35.28305075317621,-54.56391594186425,10.316670690197498,1.2848458
sub-093,pIPS,right,39.868661638349295,-56.350306414067745,10.280241099186242,0.8973609
sub-093,LO,left,-35.56771354004741,-46.511313531547785,-11.039230953436345,1.8972379
sub-093,LO,right,35.5689686909318,-48.19107110053301,-9.108916156925261,1.1856465
sub-094,pIPS,left,-27.932919426821172,-44.76830505952239,45.05836199223995,0.5786317
sub-094,pIPS,right,46.49508452787995,-57.05662036687136,33.9462508559227,0.76318425
sub-094,LO,left,-39.70445576775819,-44.69846123829484,16.801923654973507,1.3534076
sub-094,LO,right,35.02614578511566,-32.85580583848059,16.488179203122854,1.55702
sub-095,pIPS,left,-34.491377890110016,-63.72238305211067,5.20848111063242,-0.01662993
sub-095,pIPS,right,19.89452127367258,-49.10896570980549,6.480768773704767,0.18370447
sub-095,LO,left,-42.58706272765994,-48.14844799041748,-20.962349705398083,0.7011464
sub-095,LO,right,43.06174420192838,-38.389317601919174,-19.945891439914703,0.47497493
sub-096,pIPS,left,-16.54693607799709,-61.38634043931961,14.453631855547428,1.5536886
sub-096,pIPS,right,39.219801381230354,-64.80495595932007,0.33271876722574234,0.69992393
sub-096,LO,left,-30.883621968328953,-50.65968084335327,-11.97360847890377,1.7934766
sub-096,LO,right,47.186039093881845,-52.566673934459686,-15.784474089741707,2.386861
sub-097,pIPS,left,-23.057282604277134,-52.47674411069602,27.210446080192924,0.9433923
sub-097,pIPS,right,32.40415841713548,-52.947396266274154,7.518706804141402,0.96482205
sub-097,LO,left,-34.12807249650359,-48.78441945556551,-7.715232564136386,3.049799
sub-097,LO,right,49.71301453001797,-46.228083548136055,-13.463427489623427,1.5792071
sub-107,pIPS,left,-33.52298793941736,-53.702006816864014,46.5653221309185,1.0496664
sub-107,pIPS,right,14.042333982884884,-59.720149993896484,48.86954388022423,0.9080753
sub-107,LO,left,-55.11847918853164,-37.004910349845886,15.183189310133457,1.7832301
sub-107,LO,right,27.26444038376212,-45.53807494044304,21.282516673207283,1.7772752
