subject,roi_pair,mean,std,cv
sub-094,lpIPS -> rLO,8.13334878153167,10.899963723162315,1.3401569287072475
sub-094,rpIPS -> lLO,1.494790394341485,11.365026785801325,7.603090593051391
sub-094,rpIPS -> rLO,6.635992755970297,10.563732862252193,1.5918843269905878
sub-095,lpIPS -> lLO,-3.166589612322426,8.334728311938253,-2.6320835132865334
sub-095,lpIPS -> rLO,-0.4454094640500275,1.0723903613833305,-2.4076505955492715
sub-095,rpIPS -> lLO,-6.070691452705549,21.988032724321915,-3.6219980698446514
sub-095,rpIPS -> rLO,3.639602448302886,10.01627206907961,2.752023665043447
sub-096,lpIPS -> lLO,2.99441577600682,5.266097353854257,1.7586393299319378
sub-096,lpIPS -> rLO,-5.734321966164135,4.964977360410439,-0.8658351222178872
sub-096,rpIPS -> lLO,3.9791593990313676,11.985800537875377,3.012143856512267
sub-096,rpIPS -> rLO,-1.2447304626965616,4.483583935191729,-3.602052066339386
sub-097,lpIPS -> lLO,-11.30875314615883,9.620077314732216,-0.8506753300207817
sub-097,lpIPS -> rLO,-2.933861931019378,11.032480447551643,-3.7603952424981295
sub-097,rpIPS -> lLO,-3.1779251568828037,3.832204602763955,-1.2058825848884775
sub-097,rpIPS -> rLO,2.778465145355566,4.837040759054671,1.7409038825411158
sub-107,lpIPS -> lLO,21.094506001468297,20.519453476320436,0.9727392276876342
sub-107,lpIPS -> rLO,9.831861585343603,13.19892451162726,1.342464435351994
sub-107,rpIPS -> lLO,-0.23247915788616846,0.7814186258413363,-3.3612416396653995
sub-107,rpIPS -> rLO,1.196674570604945,5.75628611385393,4.810235176088017
