subject,roi,hemisphere,task,analysis,mean_activation
sub-084,LO,left,loc,ppi,0.00900235473109856
sub-084,LO,right,loc,ppi,0.005475985763216603
sub-085,pIPS,left,loc,fc,0.2222805768251419
sub-085,pIPS,right,loc,fc,0.153944194316864
sub-085,LO,left,loc,fc,0.3341119885444641
sub-085,LO,right,loc,fc,0.33195897936820984
sub-085,pIPS,left,loc,ppi,-8.57730436595272e-05
sub-085,pIPS,right,loc,ppi,0.03547018846950389
sub-085,LO,left,loc,ppi,0.11890088333641326
sub-085,LO,right,loc,ppi,0.05247680780574831
sub-087,pIPS,left,loc,fc,0.1868113875389099
sub-087,pIPS,right,loc,fc,0.16313104331493378
sub-087,LO,left,loc,fc,0.2701663076877594
sub-087,LO,right,loc,fc,0.4010116457939148
sub-087,pIPS,left,loc,ppi,0.01979257964925969
sub-087,pIPS,right,loc,ppi,0.024305534728513815
sub-087,LO,left,loc,ppi,0.04456197787271319
sub-087,LO,right,loc,ppi,0.038025230924440344
sub-088,pIPS,left,loc,fc,0.27688291668891907
sub-088,pIPS,right,loc,fc,0.2780255079269409
sub-088,LO,left,loc,fc,0.24304066598415375
sub-088,LO,right,loc,fc,0.4129982888698578
sub-088,pIPS,left,loc,ppi,0.047023967372892245
sub-088,pIPS,right,loc,ppi,0.0021402758655436824
sub-088,LO,left,loc,ppi,0.0528781481012443
sub-088,LO,right,loc,ppi,0.08341663798869844
sub-093,pIPS,left,loc,fc,0.4218018651008606
sub-093,pIPS,right,loc,fc,0.24302084743976593
sub-093,LO,left,loc,fc,0.39775413274765015
sub-093,LO,right,loc,fc,0.3822680115699768
sub-093,pIPS,left,loc,ppi,0.09410783205642685
sub-093,pIPS,right,loc,ppi,0.04409162021985124
sub-093,LO,left,loc,ppi,0.10063315142309119
sub-093,LO,right,loc,ppi,0.09106725797867724
sub-094,pIPS,left,loc,fc,0.13729436695575714
sub-094,pIPS,right,loc,fc,0.20454922318458557
sub-094,LO,left,loc,fc,0.2681707441806793
sub-094,LO,right,loc,fc,0.14723782241344452
sub-094,pIPS,left,loc,ppi,0.01050580846801057
sub-094,pIPS,right,loc,ppi,-0.0017125395727589044
sub-094,LO,left,loc,ppi,0.04250497961411603
sub-094,LO,right,loc,ppi,0.022114601018144095
sub-095,pIPS,left,loc,fc,0.21133117377758026
sub-095,pIPS,right,loc,fc,0.22688938677310944
sub-095,LO,left,loc,fc,0.1823859065771103
sub-095,LO,right,loc,fc,0.2595829963684082
sub-095,pIPS,left,loc,ppi,0.01599937092229821
sub-095,pIPS,right,loc,ppi,0.005265888320447309
sub-095,LO,left,loc,ppi,0.03591201115861998
sub-095,LO,right,loc,ppi,0.025375717857135913
sub-096,pIPS,left,loc,fc,0.2727843225002289
sub-096,pIPS,right,loc,fc,0.18422693014144897
sub-096,LO,left,loc,fc,0.27180954813957214
sub-096,LO,right,loc,fc,0.35905691981315613
sub-096,pIPS,left,loc,ppi,0.03355243609386535
sub-096,pIPS,right,loc,ppi,0.016415898128549707
sub-096,LO,left,loc,ppi,0.02486557524635765
sub-096,LO,right,loc,ppi,0.0462457263640159
sub-097,pIPS,left,loc,fc,0.134184792637825
sub-097,pIPS,right,loc,fc,0.1371668130159378
sub-097,LO,left,loc,fc,0.37624603509902954
sub-097,LO,right,loc,fc,0.30420276522636414
sub-097,pIPS,left,loc,ppi,0.01610088405435821
sub-097,pIPS,right,loc,ppi,0.018541957987884362
sub-097,LO,left,loc,ppi,0.14008415022908297
sub-097,LO,right,loc,ppi,0.11143928717411085
sub-107,pIPS,left,loc,fc,0.147105872631073
sub-107,pIPS,right,loc,fc,0.21987216174602509
sub-107,LO,left,loc,fc,0.2142995297908783
sub-107,LO,right,loc,fc,0.29857301712036133
